Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Гусевская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130					
1	"Число избирателей, внесенных в список"	26720	1765	2038	2827	1236	1601	1730	2294	1643	2456	2034	1114	157	524	367	712	525	593	617	621	900	287	679					
2	Число полученных избирательных бюллетеней	25450	1650	1900	2700	1150	1550	1600	2100	1500	2300	1900	1050	150	550	400	700	550	600	600	650	900	300	650					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14677	966	1077	1545	599	1060	902	1097	949	1454	1215	530	94	264	224	347	320	324	341	337	439	215	378					
5	"Число избирательных бюллетеней, выданных вне помещения"	680	19	27	26	32	3	16	27	20	59	27	57	50	58	23	38	28	21	9	34	54	0	52					
6	Число погашенных избирательных бюллетеней	10093	665	796	1129	519	487	682	976	531	787	658	463	6	228	153	315	202	255	250	279	407	85	220					
7	Число избирательных бюллетеней в переносных ящиках	680	19	27	26	32	3	16	27	20	59	27	57	50	58	23	38	28	21	9	34	54	0	52					
8	Число бюллетеней в стационарных ящиках для голосования	14674	966	1077	1544	599	1060	902	1097	949	1454	1214	530	94	264	224	347	319	324	341	337	439	215	378					
9	Число недействительных избирательных бюллетеней	116	0	12	14	7	4	5	9	9	9	6	3	0	4	7	5	9	1	3	1	2	3	3					
10	Число действительных избирательных бюллетеней	15238	985	1092	1556	624	1059	913	1115	960	1504	1235	584	144	318	240	380	338	344	347	370	491	212	427					
11	Число полученных открепительных  удостоверений	210	15	15	20	10	10	10	25	10	20	15	5	0	5	5	5	5	5	5	5	10	5	5					
12	Число выданных открепительных удостоверений	114	13	6	14	8	3	5	7	10	12	14	2	0	0	3	1	1	5	5	0	1	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	4	6	7	3	7	3	11	2	4	9	0	0	2	0	2	1	1	2	0	1	2	1					
14	Число неиспользованных открепительных удостоверений	96	2	9	6	2	7	5	18	0	8	1	3	0	5	2	4	4	0	0	5	9	5	1					
15	"Число открепительных удостоверений, выданных в ТИК"	7	0	0	1	0	0	0	0	2	1	1	0	0	0	1	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	519	35	44	59	24	25	27	39	55	76	47	18	9	2	5	7	4	1	11	10	9	5	7					
		3.38%	3.55%	3.99%	3.76%	3.80%	2.35%	2.94%	3.47%	5.68%	5.02%	3.79%	3.07%	6.25%	0.62%	2.02%	1.82%	1.15%	0.29%	3.14%	2.70%	1.83%	2.33%	1.63%					
19	. Малышкин Олег Александрович	454	36	31	56	19	23	25	38	22	40	27	16	2	12	7	13	11	14	10	6	18	8	20					
		2.96%	3.65%	2.81%	3.57%	3.01%	2.16%	2.72%	3.38%	2.27%	2.64%	2.18%	2.73%	1.39%	3.73%	2.83%	3.38%	3.17%	4.06%	2.86%	1.62%	3.65%	3.72%	4.65%					
20	. Миронов Сергей Михайлович	166	12	14	16	6	11	9	11	9	18	19	6	1	1	1	2	6	5	5	2	1	4	7					
		1.08%	1.22%	1.27%	1.02%	0.95%	1.03%	0.98%	0.98%	0.93%	1.19%	1.53%	1.02%	0.69%	0.31%	0.40%	0.52%	1.73%	1.45%	1.43%	0.54%	0.20%	1.86%	1.63%					
21	. Путин Владимир Владимирович	10624	646	737	1015	400	830	627	791	584	976	786	388	101	261	193	299	250	280	279	288	385	176	332					
		69.19%	65.58%	66.76%	64.65%	63.39%	78.08%	68.30%	70.37%	60.27%	64.51%	63.34%	66.10%	70.14%	81.06%	78.14%	77.66%	72.05%	81.16%	79.71%	77.63%	78.09%	81.86%	77.21%					
22	. Хакамада Ирина Муцуовна	464	26	56	50	26	25	18	31	45	59	45	19	4	4	7	7	8	3	2	9	9	2	9					
		3.02%	2.64%	5.07%	3.18%	4.12%	2.35%	1.96%	2.76%	4.64%	3.90%	3.63%	3.24%	2.78%	1.24%	2.83%	1.82%	2.31%	0.87%	0.57%	2.43%	1.83%	0.93%	2.09%					
23	. Харитонов Николай Михайлович	2383	170	166	268	120	93	175	166	200	269	251	119	20	30	24	40	47	36	29	46	60	13	41					
		15.52%	17.26%	15.04%	17.07%	19.02%	8.75%	19.06%	14.77%	20.64%	17.78%	20.23%	20.27%	13.89%	9.32%	9.72%	10.39%	13.54%	10.43%	8.29%	12.40%	12.17%	6.05%	9.53%					
																													
24	Против всех	628	60	44	92	29	52	32	39	45	66	60	18	7	8	3	12	12	5	11	9	9	4	11					
		4.09%	6.09%	3.99%	5.86%	4.60%	4.89%	3.49%	3.47%	4.64%	4.36%	4.83%	3.07%	4.86%	2.48%	1.21%	3.12%	3.46%	1.45%	3.14%	2.43%	1.83%	1.86%	2.56%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
