Выборы Президента Российской Федерации																																									
																																									
Наименование Избирательной комиссии:    район Ивановское 																																									
																																									
Итоги голосования 																																									
																																									
		Сумма	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009					
15	"Число открепительных удостоверений, выданных в ТИК"	19	1	0	0	1	1	0	1	1	0	0	2	1	0	2	0	2	0	1	0	0	1	1	0	1	1	0	0	0	2	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																									
18	. Глазьев Сергей Юрьевич	2832	54	81	105	136	89	74	99	82	83	94	89	97	60	67	66	79	82	81	81	73	57	71	88	72	72	61	71	92	107	76	90	132	83	88					
		6.30%	4.21%	6.27%	6.66%	8.77%	7.28%	6.65%	6.50%	5.82%	7.76%	6.37%	5.62%	6.34%	6.69%	7.53%	5.34%	5.15%	6.39%	6.55%	6.96%	6.12%	5.03%	6.56%	5.77%	5.56%	5.35%	5.29%	7.10%	7.19%	7.05%	5.23%	5.83%	8.57%	5.26%	5.97%					
19	. Малышкин Олег Александрович	532	13	12	17	14	17	16	20	20	12	15	14	14	13	18	13	20	18	12	21	15	13	14	26	12	8	11	3	18	17	25	14	21	17	19					
		1.18%	1.01%	0.93%	1.08%	0.90%	1.39%	1.44%	1.31%	1.42%	1.12%	1.02%	0.88%	0.92%	1.45%	2.02%	1.05%	1.30%	1.40%	0.97%	1.80%	1.26%	1.15%	1.29%	1.70%	0.93%	0.59%	0.95%	0.30%	1.41%	1.12%	1.72%	0.91%	1.36%	1.08%	1.29%					
20	. Миронов Сергей Михайлович	222	7	7	11	12	5	8	4	5	4	4	15	3	1	2	3	10	7	2	6	0	4	5	5	6	11	4	7	12	7	10	5	8	13	9					
		0.49%	0.55%	0.54%	0.70%	0.77%	0.41%	0.72%	0.26%	0.36%	0.37%	0.27%	0.95%	0.20%	0.11%	0.22%	0.24%	0.65%	0.55%	0.16%	0.52%	0.00%	0.35%	0.46%	0.33%	0.46%	0.82%	0.35%	0.70%	0.94%	0.46%	0.69%	0.32%	0.52%	0.82%	0.61%					
