Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Хвастовичская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717					
1	"Число избирателей, внесенных в список"	9672	179	587	298	185	671	74	276	445	129	229	234	59	108	242	435	176	362	2520	1117	1283	63					
2	Число полученных избирательных бюллетеней	8978	178	527	298	187	588	76	275	401	130	226	236	59	110	240	432	178	360	2251	999	1161	66					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5895	88	365	207	142	480	63	188	277	83	128	212	51	51	166	247	77	242	1440	585	744	59					
5	"Число избирательных бюллетеней, выданных вне помещения"	969	77	123	65	26	58	1	44	57	34	58	2	4	45	24	98	47	58	49	51	48	0					
6	Число погашенных избирательных бюллетеней	2114	13	39	26	19	50	12	43	67	13	40	22	4	14	50	87	54	60	762	363	369	7					
7	Число избирательных бюллетеней в переносных ящиках	969	77	123	65	26	58	1	44	57	34	58	2	4	45	24	98	47	58	49	51	48	0					
8	Число бюллетеней в стационарных ящиках для голосования	5895	88	365	207	142	480	63	188	277	83	128	212	51	51	166	247	77	242	1440	585	744	59					
9	Число недействительных избирательных бюллетеней	50	2	4	2	2	3	0	0	1	0	0	2	0	0	1	3	1	1	19	4	5	0					
10	Число действительных избирательных бюллетеней	6814	163	484	270	166	535	64	232	333	117	186	212	55	96	189	342	123	299	1470	632	787	59					
11	Число полученных открепительных  удостоверений	94	2	3	3	3	3	2	3	3	2	3	3	2	2	3	6	3	3	18	15	10	2					
12	Число выданных открепительных удостоверений	24	0	0	0	0	2	0	0	1	0	1	0	0	0	0	2	0	0	10	4	3	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	3	0	0	1	1	1	0	1	0	0	0	0	0	1	3	0	0	6	1	6	0					
14	Число неиспользованных открепительных удостоверений	70	2	3	3	3	1	2	3	2	2	2	3	2	2	3	4	3	3	8	11	7	1					
15	"Число открепительных удостоверений, выданных в ТИК"	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	113	2	13	8	1	7	0	2	3	1	2	4	0	1	6	2	3	3	30	10	15	0					
		1.65%	1.21%	2.66%	2.94%	0.60%	1.30%	0.00%	0.86%	0.90%	0.85%	1.08%	1.87%	0.00%	1.04%	3.16%	0.58%	2.42%	1.00%	2.01%	1.57%	1.89%	0.00%					
19	. Малышкин Олег Александрович	73	1	0	2	1	3	0	6	2	1	4	2	1	1	0	4	5	4	16	11	9	0					
		1.06%	0.61%	0.00%	0.74%	0.60%	0.56%	0.00%	2.59%	0.60%	0.85%	2.15%	0.93%	1.82%	1.04%	0.00%	1.16%	4.03%	1.33%	1.07%	1.73%	1.14%	0.00%					
20	. Миронов Сергей Михайлович	32	0	0	1	0	2	0	2	0	1	3	0	0	0	3	2	0	1	4	8	5	0					
		0.47%	0.00%	0.00%	0.37%	0.00%	0.37%	0.00%	0.86%	0.00%	0.85%	1.61%	0.00%	0.00%	0.00%	1.58%	0.58%	0.00%	0.33%	0.27%	1.26%	0.63%	0.00%					
21	. Путин Владимир Владимирович	5200	142	402	224	132	384	54	188	259	102	143	175	53	74	162	245	94	218	1130	479	517	23					
		75.76%	86.06%	82.38%	82.35%	78.57%	71.38%	84.38%	81.03%	77.54%	87.18%	76.88%	81.78%	96.36%	77.08%	85.26%	71.01%	75.81%	72.67%	75.89%	75.31%	65.28%	38.98%					
22	. Хакамада Ирина Муцуовна	75	1	2	1	2	4	0	2	7	0	2	2	0	1	0	3	1	2	27	2	13	3					
		1.09%	0.61%	0.41%	0.37%	1.19%	0.74%	0.00%	0.86%	2.10%	0.00%	1.08%	0.93%	0.00%	1.04%	0.00%	0.87%	0.81%	0.67%	1.81%	0.31%	1.64%	5.08%					
23	. Харитонов Николай Михайлович	1248	15	59	29	25	131	10	32	59	12	26	27	1	18	17	85	19	70	251	110	219	33					
		18.18%	9.09%	12.09%	10.66%	14.88%	24.35%	15.62%	13.79%	17.66%	10.26%	13.98%	12.62%	1.82%	18.75%	8.95%	24.64%	15.32%	23.33%	16.86%	17.30%	27.65%	55.93%					
																												
24	Против всех	73	2	8	5	5	4	0	0	3	0	6	2	0	1	1	1	1	1	12	12	9	0					
		1.06%	1.21%	1.64%	1.84%	2.98%	0.74%	0.00%	0.00%	0.90%	0.00%	3.23%	0.93%	0.00%	1.04%	0.53%	0.29%	0.81%	0.33%	0.81%	1.89%	1.14%	0.00%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
