Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Бутурлинская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395	УИК  396	УИК  397	УИК  398	УИК  399	УИК  400	УИК  401	УИК  402					
11	Число полученных открепительных  удостоверений	496	96	100	80	20	5	5	5	5	5	5	5	5	15	5	5	5	5	15	5	15	5	5	15	5	5	5	15	15	15	5					
12	Число выданных открепительных удостоверений	100	27	28	16	2	0	3	0	3	0	1	0	1	6	1	0	1	0	0	0	0	0	0	6	0	0	3	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	14	5	5	2	1	1	2	0	0	0	2	1	3	2	2	0	1	2	0	0	1	2	2	1	2	1	6	3	0	3					
14	Число неиспользованных открепительных удостоверений	396	69	72	64	18	5	2	5	2	5	4	5	4	9	4	5	4	5	15	5	15	5	5	9	5	5	2	14	15	15	4					
15	"Число открепительных удостоверений, выданных в ТИК"	4	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																					
18	. Глазьев Сергей Юрьевич	261	55	54	25	17	16	1	0	7	1	9	4	0	7	3	2	8	3	10	1	5	0	1	6	0	0	1	3	13	6	3					
		2.98%	4.15%	4.68%	2.45%	5.65%	3.58%	0.41%	0.00%	1.44%	0.89%	3.93%	2.20%	0.00%	3.02%	5.77%	1.90%	3.72%	8.33%	2.36%	0.80%	1.87%	0.00%	1.33%	2.01%	0.00%	0.00%	0.68%	1.15%	3.69%	2.84%	2.13%					
19	. Малышкин Олег Александрович	240	22	28	20	15	16	7	2	19	3	9	1	0	16	3	4	7	2	9	6	8	1	1	9	0	0	3	0	12	10	7					
		2.74%	1.66%	2.43%	1.96%	4.98%	3.58%	2.89%	1.85%	3.92%	2.68%	3.93%	0.55%	0.00%	6.90%	5.77%	3.81%	3.26%	5.56%	2.13%	4.80%	3.00%	1.22%	1.33%	3.01%	0.00%	0.00%	2.03%	0.00%	3.41%	4.74%	4.96%					
20	. Миронов Сергей Михайлович	71	5	12	7	2	7	1	0	3	2	0	2	1	2	0	2	2	0	5	0	3	0	0	0	1	0	1	4	2	4	3					
		0.81%	0.38%	1.04%	0.69%	0.66%	1.57%	0.41%	0.00%	0.62%	1.79%	0.00%	1.10%	2.13%	0.86%	0.00%	1.90%	0.93%	0.00%	1.18%	0.00%	1.12%	0.00%	0.00%	0.00%	2.22%	0.00%	0.68%	1.54%	0.57%	1.90%	2.13%					
21	. Путин Владимир Владимирович	5327	761	648	695	175	273	147	69	290	83	126	135	36	139	25	55	137	11	159	58	171	78	53	228	24	27	114	174	202	131	103					
		60.86%	57.43%	56.15%	68.20%	58.14%	61.07%	60.74%	63.89%	59.79%	74.11%	55.02%	74.18%	76.60%	59.91%	48.08%	52.38%	63.72%	30.56%	37.59%	46.40%	64.04%	95.12%	70.67%	76.25%	53.33%	79.41%	77.03%	66.92%	57.39%	62.09%	73.05%					
22	. Хакамада Ирина Муцуовна	156	19	24	8	5	13	3	9	22	2	6	4	0	2	0	0	4	1	6	1	2	1	0	3	1	2	2	7	3	4	2					
		1.78%	1.43%	2.08%	0.79%	1.66%	2.91%	1.24%	8.33%	4.54%	1.79%	2.62%	2.20%	0.00%	0.86%	0.00%	0.00%	1.86%	2.78%	1.42%	0.80%	0.75%	1.22%	0.00%	1.00%	2.22%	5.88%	1.35%	2.69%	0.85%	1.90%	1.42%					
23	. Харитонов Николай Михайлович	2422	423	336	237	77	112	76	26	116	16	66	33	8	59	21	37	49	18	221	58	72	1	20	45	19	5	23	67	113	51	17					
		27.67%	31.92%	29.12%	23.26%	25.58%	25.06%	31.40%	24.07%	23.92%	14.29%	28.82%	18.13%	17.02%	25.43%	40.38%	35.24%	22.79%	50.00%	52.25%	46.40%	26.97%	1.22%	26.67%	15.05%	42.22%	14.71%	15.54%	25.77%	32.10%	24.17%	12.06%					
																																					
24	Против всех	194	32	44	16	10	6	7	0	20	4	10	3	2	5	0	2	5	0	5	0	3	1	0	5	0	0	0	2	5	4	3					
		2.22%	2.42%	3.81%	1.57%	3.32%	1.34%	2.89%	0.00%	4.12%	3.57%	4.37%	1.65%	4.26%	2.16%	0.00%	1.90%	2.33%	0.00%	1.18%	0.00%	1.12%	1.22%	0.00%	1.67%	0.00%	0.00%	0.00%	0.77%	1.42%	1.90%	2.13%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
