Выборы Президента Российской Федерации																																																																																																																	
Дата голосования: 18.03.2018																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Уссурийская городская																																																																																																																	
																																																																																																																	
Сводная таблица итогов голосования																																																																																																																	
																																																																																																																	
	Число участковых избирательных комиссий	102																																																																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	102																																																																																																															
																																																																																																																	
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831									
1	"Число избирателей, включенных в список избирателей"	143646	2623	2491	2449	2043	565	801	1798	1509	2498	2533	1642	2030	2459	992	2398	1846	2358	2658	2709	1307	1418	1695	1889	2195	259	2073	1246	1981	2954	2041	1207	2200	1649	1262	2956	2993	320	2716	2285	1702	2288	1835	655	1163	1510	1682	2279	929	1817	1397	717	2021	1714	2232	1398	1289	1139	2521	1009	1757	1459	1541	1522	2661	1356	1641	2126	363	356	377	2175	546	122	124	410	231	232	120	1022	480	239	1912	2018	535	1366	2201	947	228	121	266	342	130	288	235	174	195	538	620	243	794	1810	1478									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	136100	2300	2300	2000	1900	500	800	1800	1500	2300	2300	1700	1900	2300	900	2000	1500	2300	2500	2500	1300	1300	1600	1800	3000	200	1800	1200	1900	2400	2000	1200	2100	1600	1200	2500	2700	300	2500	2500	1600	2200	1900	600	1200	1500	1700	2000	800	1700	1400	500	1800	1700	2000	1400	1300	1030	2300	1000	1700	1500	1500	1500	2400	1300	1600	2000	350	400	450	2240	550	110	130	400	200	200	120	1000	500	220	1900	2000	500	1300	2200	900	200	100	200	300	100	250	200	150	200	500	600	200	700	1800	1400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	96398	2030	1479	1333	1288	257	384	1022	891	1994	1726	1067	1818	1456	676	1683	1207	1990	2227	1775	857	971	1325	1094	1997	99	1282	759	1574	2335	1606	694	1236	1162	812	2286	1815	166	1559	1305	1366	1509	1132	382	571	1002	936	1765	450	1011	900	424	1326	1372	1779	1174	753	803	1510	656	813	841	838	967	1727	1090	907	1720	176	356	377	2160	506	99	60	343	181	160	83	789	422	213	1088	1104	409	881	1118	632	143	82	151	227	86	148	168	101	125	342	175	170	473	1041	848									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3363	22	25	273	25	13	5	19	19	80	8	21	9	22	13	176	16	35	37	19	24	20	25	20	43	11	15	15	36	29	33	34	37	27	12	12	37	2	21	22	26	29	27	12	5	20	59	22	70	30	39	14	81	25	33	28	14	23	32	10	15	18	28	15	25	16	10	33	156	0	0	15	25	11	3	8	14	10	5	28	38	7	140	25	56	12	51	52	9	12	6	42	2	35	7	24	8	71	373	3	7	19	18									
6	Число погашенных избирательных бюллетеней	36257	248	796	394	587	230	411	759	590	226	566	612	73	822	211	141	277	275	236	706	419	309	250	686	960	90	503	426	290	36	361	472	827	411	376	202	848	132	920	1173	208	662	741	206	624	478	705	213	280	659	461	62	393	303	188	198	533	204	758	334	872	641	634	518	648	194	683	247	18	44	73	65	19	0	31	49	5	30	32	137	40	0	672	871	35	407	1031	216	48	6	43	31	12	67	25	25	67	87	52	27	220	740	534									
7	Число избирательных бюллетеней в переносных ящиках для голосования	3445	22	25	273	25	13	5	19	19	80	8	21	9	22	13	176	16	35	37	19	24	20	25	20	43	11	15	15	36	29	33	34	37	27	12	12	37	2	21	22	26	29	27	12	5	20	59	22	70	30	39	14	81	25	33	28	14	23	32	10	15	18	28	15	25	16	10	33	156	0	0	15	25	11	39	8	14	10	5	74	38	7	140	25	56	12	51	52	9	12	6	42	2	35	7	24	8	71	373	3	7	19	18									
8	Число бюллетеней в стационарных ящиках для голосования	96365	2030	1479	1333	1287	257	384	1021	891	1994	1726	1066	1818	1455	676	1683	1207	1990	2227	1775	857	969	1325	1093	1997	99	1282	759	1574	2335	1606	694	1235	1162	812	2286	1815	166	1559	1305	1366	1502	1132	382	571	1002	936	1753	450	1011	900	424	1326	1372	1779	1174	752	803	1510	656	813	836	838	967	1727	1090	907	1720	176	356	377	2160	506	99	60	343	181	160	83	789	422	213	1088	1104	409	881	1118	632	143	82	151	227	86	148	168	101	125	342	175	170	473	1041	848									
9	Число недействительных избирательных бюллетеней	1390	29	29	31	21	3	6	18	14	19	27	26	0	32	6	7	20	20	5	29	10	7	0	23	33	1	29	7	10	31	23	13	8	11	4	45	37	2	23	28	14	21	26	9	10	15	9	35	5	20	11	7	26	13	24	10	9	21	35	11	12	10	11	23	23	13	23	26	6	4	16	32	0	1	1	0	0	1	0	2	1	0	16	16	0	16	16	13	1	0	1	5	0	0	1	2	6	4	9	2	3	32	24									
10	Число действительных избирательных бюллетеней	98420	2023	1475	1575	1291	267	383	1022	896	2055	1707	1061	1827	1445	683	1852	1203	2005	2259	1765	871	982	1350	1090	2007	109	1268	767	1600	2333	1616	715	1264	1178	820	2253	1815	166	1557	1299	1378	1510	1133	385	566	1007	986	1740	515	1021	928	431	1381	1384	1788	1192	757	805	1507	655	816	844	855	959	1729	1093	894	1727	326	352	361	2143	531	109	98	351	195	169	88	861	459	220	1212	1113	465	877	1153	671	151	94	156	264	88	183	174	123	127	409	539	171	477	1028	842									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																																	
13	Бабурин Сергей Николаевич	623	6	7	14	2	2	1	6	16	13	10	5	9	15	3	13	8	10	13	14	7	9	3	5	8	0	8	3	5	20	8	7	6	3	9	26	17	0	13	20	4	16	19	1	3	3	8	5	5	5	8	3	4	6	7	6	7	4	13	3	5	4	6	2	18	3	5	8	2	4	0	4	1	1	1	4	0	2	0	4	0	9	3	7	0	5	7	2	0	0	0	5	0	1	0	0	1	2	9	0	5	10	9									
		0.62%	0.29%	0.47%	0.87%	0.15%	0.74%	0.26%	0.58%	1.76%	0.63%	0.58%	0.46%	0.49%	1.02%	0.44%	0.70%	0.65%	0.49%	0.57%	0.78%	0.79%	0.91%	0.22%	0.45%	0.39%	0.00%	0.62%	0.39%	0.31%	0.85%	0.49%	0.96%	0.47%	0.25%	1.09%	1.13%	0.92%	0.00%	0.82%	1.51%	0.29%	1.05%	1.64%	0.25%	0.52%	0.29%	0.80%	0.28%	0.96%	0.48%	0.85%	0.68%	0.28%	0.43%	0.39%	0.50%	0.91%	0.48%	0.84%	0.45%	0.60%	0.47%	0.69%	0.20%	1.03%	0.27%	0.55%	0.46%	0.60%	1.12%	0.00%	0.18%	0.19%	0.91%	1.01%	1.14%	0.00%	1.18%	0.00%	0.46%	0.00%	4.09%	0.24%	0.62%	0.00%	0.56%	0.60%	0.29%	0.00%	0.00%	0.00%	1.86%	0.00%	0.55%	0.00%	0.00%	0.75%	0.48%	1.64%	0.00%	1.04%	0.94%	1.04%									
