Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Щербиновская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК №5701	УИК №5702	УИК №5703	УИК №5704	УИК №5705	УИК №5706	УИК №5707	УИК №5708	УИК №5709	УИК №5710	УИК №5711	УИК №5712	УИК №5713	УИК №5714	УИК №5715	УИК №5716	УИК №5717	УИК №5718					
1	"Число избирателей, внесенных в список"	29679	2095	2836	2388	1581	1893	2437	1887	2337	2518	1695	1940	1142	1552	1042	1074	813	317	132					
2	Число полученных избирательных бюллетеней	29470	2080	2843	2359	1580	1884	2418	1865	2338	2502	1671	1930	1162	1511	1034	1066	800	304	123					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	17111	1089	1431	1243	850	990	1195	921	1296	1512	1005	1173	675	1187	845	732	611	244	112					
5	"Число избирательных бюллетеней, выданных вне помещения"	1138	33	76	90	29	63	81	68	40	51	121	175	78	48	34	71	72	6	2					
6	Число погашенных избирательных бюллетеней	11221	958	1336	1026	701	831	1142	876	1002	939	545	582	409	276	155	263	117	54	9					
7	Число избирательных бюллетеней в переносных ящиках	1138	33	76	90	29	63	81	68	40	51	121	175	78	48	34	71	72	6	2					
8	Число бюллетеней в стационарных ящиках для голосования	17111	1089	1431	1243	850	990	1195	921	1296	1512	1005	1173	675	1187	845	732	611	244	112					
9	Число недействительных избирательных бюллетеней	146	15	8	6	3	6	7	11	20	15	7	13	8	5	7	3	6	4	2					
10	Число действительных избирательных бюллетеней	18103	1107	1499	1327	876	1047	1269	978	1316	1548	1119	1335	745	1230	872	800	677	246	112					
11	Число полученных открепительных  удостоверений	498	30	30	28	30	30	30	30	30	30	30	30	25	30	25	25	25	20	20					
12	Число выданных открепительных удостоверений	107	4	11	11	7	3	10	3	9	8	6	9	3	5	0	5	6	5	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	99	30	5	13	0	5	21	1	1	1	5	2	4	4	0	5	1	1	0					
14	Число неиспользованных открепительных удостоверений	391	26	19	17	23	27	20	27	21	22	24	21	22	25	25	20	19	15	18					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	619	36	61	65	42	62	57	21	38	44	33	31	28	38	13	22	22	6	0					
		3.39%	3.21%	4.05%	4.88%	4.78%	5.89%	4.47%	2.12%	2.84%	2.82%	2.93%	2.30%	3.72%	3.08%	1.48%	2.74%	3.22%	2.40%	0.00%					
19	. Малышкин Олег Александрович	386	17	33	29	20	16	32	27	31	26	17	22	16	29	11	19	24	15	2					
		2.12%	1.52%	2.19%	2.18%	2.28%	1.52%	2.51%	2.73%	2.32%	1.66%	1.51%	1.63%	2.12%	2.35%	1.25%	2.37%	3.51%	6.00%	1.75%					
20	. Миронов Сергей Михайлович	101	6	5	5	10	4	7	6	8	4	4	14	3	5	3	9	5	1	2					
		0.55%	0.53%	0.33%	0.38%	1.14%	0.38%	0.55%	0.61%	0.60%	0.26%	0.36%	1.04%	0.40%	0.40%	0.34%	1.12%	0.73%	0.40%	1.75%					
21	. Путин Владимир Владимирович	11694	767	1010	861	578	644	846	703	753	1046	831	942	476	767	538	427	300	147	58					
		64.08%	68.36%	67.02%	64.59%	65.76%	61.16%	66.30%	71.08%	56.36%	66.92%	73.80%	69.88%	63.21%	62.11%	61.21%	53.18%	43.92%	58.80%	50.88%					
22	. Хакамада Ирина Муцуовна	282	13	21	28	20	39	16	19	10	12	23	16	13	20	4	13	10	2	3					
		1.55%	1.16%	1.39%	2.10%	2.28%	3.70%	1.25%	1.92%	0.75%	0.77%	2.04%	1.19%	1.73%	1.62%	0.46%	1.62%	1.46%	0.80%	2.63%					
23	. Харитонов Николай Михайлович	4565	252	333	310	176	256	256	191	438	387	183	284	196	324	292	282	301	57	47					
		25.02%	22.46%	22.10%	23.26%	20.02%	24.31%	20.06%	19.31%	32.78%	24.76%	16.25%	21.07%	26.03%	26.23%	33.22%	35.12%	44.07%	22.80%	41.23%					
																									
24	Против всех	456	16	36	29	30	26	55	11	38	29	28	26	13	47	11	28	15	18	0					
		2.50%	1.43%	2.39%	2.18%	3.41%	2.47%	4.31%	1.11%	2.84%	1.86%	2.49%	1.93%	1.73%	3.81%	1.25%	3.49%	2.20%	7.20%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
