Выборы Президента Российской Федерации																																																									
Дата голосования: 02.03.2008																																																									
																																																									
Наименование Избирательной комиссии:    Нижнеломовская																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
	Число участковых избирательных комиссий	50																																																							
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	50																																																							
																																																									
		Сумма	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901					
1	"Число избирателей, включенных в списки избирателей"	34571	518	555	306	420	498	342	743	707	658	669	1155	682	99	1388	55	272	360	184	287	385	272	1214	347	1214	237	663	452	872	230	663	501	164	332	242	523	1141	353	84	586	1388	1319	1226	988	1233	1738	1727	1143	1134	1111	1191					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	34675	555	580	300	460	510	350	730	700	660	670	1150	685	95	1370	55	260	360	175	275	370	270	1220	340	1200	240	670	455	860	225	665	500	165	345	265	535	1135	410	90	595	1395	1335	1235	1000	1235	1660	1735	1150	1105	1120	1210					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	27904	286	213	156	346	384	246	489	515	595	614	1049	609	77	1056	31	221	214	152	218	242	224	999	239	1083	140	510	359	757	168	498	395	121	205	160	411	1042	238	52	388	1172	1170	1086	863	1084	1423	1509	965	920	921	1089					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	4693	218	297	119	52	96	90	205	179	50	41	60	69	18	126	22	34	129	19	45	128	41	175	86	74	87	112	53	32	47	148	92	29	100	68	93	65	86	32	177	175	93	59	76	37	190	93	123	117	78	58					
6	Число погашенных избирательных бюллетеней	2078	51	70	25	62	30	14	36	6	15	15	41	7	0	188	2	5	17	4	12	0	5	46	15	43	13	48	43	71	10	19	13	15	40	37	31	28	86	6	30	48	72	90	61	114	47	133	62	68	121	63					
