Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Яровская городская													
													
Итоги голосования 													
													
		Сумма	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516					
1	"Число избирателей, внесенных в список"	15539	2658	2457	2326	2686	2558	2854					
2	Число полученных избирательных бюллетеней	13641	2354	2098	2070	2346	2242	2531					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9831	1739	1519	1381	1734	1585	1873					
5	"Число избирательных бюллетеней, выданных вне помещения"	445	55	148	60	53	70	59					
6	Число погашенных избирательных бюллетеней	3364	560	431	629	559	587	598					
7	Число избирательных бюллетеней в переносных ящиках	445	55	148	60	53	70	59					
8	Число бюллетеней в стационарных ящиках для голосования	9826	1739	1519	1381	1734	1581	1872					
9	Число недействительных избирательных бюллетеней	70	10	12	15	15	15	3					
10	Число действительных избирательных бюллетеней	10201	1784	1655	1426	1772	1636	1928					
11	Число полученных открепительных  удостоверений	150	25	25	25	25	25	25					
12	Число выданных открепительных удостоверений	49	13	7	3	9	9	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	68	6	6	5	8	38	5					
14	Число неиспользованных открепительных удостоверений	101	12	18	22	16	16	17					
15	"Число открепительных удостоверений, выданных в ТИК"	23	3	2	3	5	2	8					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	1					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	442	84	67	36	82	65	108					
		4.30%	4.68%	4.02%	2.50%	4.59%	3.94%	5.59%					
19	. Малышкин Олег Александрович	315	48	41	38	61	56	71					
		3.07%	2.68%	2.46%	2.64%	3.41%	3.39%	3.68%					
20	. Миронов Сергей Михайлович	76	17	16	4	12	9	18					
		0.74%	0.95%	0.96%	0.28%	0.67%	0.55%	0.93%					
21	. Путин Владимир Владимирович	7086	1251	1066	1043	1223	1203	1300					
		68.99%	69.73%	63.95%	72.38%	68.44%	72.86%	67.32%					
22	. Хакамада Ирина Муцуовна	355	72	57	41	69	28	88					
		3.46%	4.01%	3.42%	2.85%	3.86%	1.70%	4.56%					
23	. Харитонов Николай Михайлович	1646	260	371	227	273	223	292					
		16.03%	14.49%	22.26%	15.75%	15.28%	13.51%	15.12%					
													
24	Против всех	281	52	37	37	52	52	51					
		2.74%	2.90%	2.22%	2.57%	2.91%	3.15%	2.64%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
