Выборы Президента Российской Федерации																																													
Дата голосования: 18.03.2018																																													
																																													
Наименование Избирательной комиссии:    Нерчинская																																													
																																													
Сводная таблица итогов голосования																																													
																																													
	Число участковых избирательных комиссий	34																																											
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	34																																											
																																													
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434									
1	"Число избирателей, включенных в список избирателей"	17099	192	772	86	577	505	498	582	194	175	134	175	628	139	319	145	286	152	576	124	244	86	262	227	382	150	505	867	698	1440	1892	1349	993	1527	218									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19550	240	1179	95	617	594	533	694	201	186	189	210	710	141	359	154	338	263	732	144	295	99	347	269	498	185	618	1018	810	1428	1958	1498	1116	1609	223									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	278	0	2	0	32	4	9	49	0	0	28	0	0	0	0	17	0	17	0	0	0	0	43	0	37	29	11	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9399	165	552	53	267	250	252	294	87	82	58	120	319	91	221	96	175	122	334	91	134	59	166	148	218	81	283	477	361	721	945	794	509	757	117									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	975	7	71	11	34	51	33	19	24	11	9	9	26	9	0	4	35	10	67	12	12	14	22	17	30	10	26	24	29	33	69	137	38	47	25									
6	Число погашенных избирательных бюллетеней	8898	68	554	31	284	289	239	332	90	93	94	81	365	41	138	37	128	114	331	41	149	26	116	104	213	65	298	517	420	674	944	567	569	805	81									
7	Число избирательных бюллетеней в переносных ящиках для голосования	1253	7	73	11	66	55	42	68	24	11	37	9	26	9	0	21	35	27	67	12	12	14	65	17	67	39	37	24	29	33	69	137	38	47	25									
8	Число бюллетеней в стационарных ящиках для голосования	9399	165	552	53	267	250	252	294	87	82	58	120	319	91	221	96	175	122	334	91	134	59	166	148	218	81	283	477	361	721	945	794	509	757	117									
9	Число недействительных избирательных бюллетеней	78	1	4	0	1	5	0	3	0	1	0	1	4	1	2	1	4	0	2	0	0	1	1	1	2	0	3	0	7	10	5	7	5	5	1									
