Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Атюрьевская 																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72					
1	"Число избирателей, внесенных в список"	9110	1100	1021	1118	313	411	110	165	170	260	183	545	246	515	527	118	405	128	51	316	244	333	230	361	108	132					
2	Число полученных избирательных бюллетеней	9199	1110	1029	1130	308	410	113	170	173	262	185	549	250	517	530	120	406	129	53	316	253	339	233	370	110	134					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8707	1033	971	989	305	387	110	155	169	260	182	544	244	505	526	117	398	128	51	305	204	308	229	359	96	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	225	20	11	107	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	40	20	0	0	12	0					
6	Число погашенных избирательных бюллетеней	267	57	47	34	3	23	3	7	4	2	3	5	6	12	4	3	1	1	2	11	9	11	4	11	2	2					
7	Число избирательных бюллетеней в переносных ящиках	225	20	11	107	0	0	0	8	0	0	0	0	0	0	0	0	7	0	0	0	40	20	0	0	12	0					
8	Число бюллетеней в стационарных ящиках для голосования	8707	1033	971	989	305	387	110	155	169	260	182	544	244	505	526	117	398	128	51	305	204	308	229	359	96	132					
9	Число недействительных избирательных бюллетеней	14	2	0	1	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0					
10	Число действительных избирательных бюллетеней	8918	1051	982	1095	305	379	110	163	169	260	182	544	244	504	526	117	405	128	51	305	244	328	227	359	108	132					
11	Число полученных открепительных  удостоверений	180	20	20	20	6	7	4	4	4	5	4	9	5	9	9	4	7	5	3	5	4	6	5	7	4	4					
12	Число выданных открепительных удостоверений	37	8	3	12	0	1	1	0	0	0	0	1	2	0	0	0	0	0	0	0	4	0	1	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	14	0	2	4	0	1	0	0	0	0	1	0	0	2	0	0	0	1	0	0	2	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	143	12	17	8	6	6	3	4	4	5	4	8	3	9	9	4	7	5	3	5	0	6	4	3	4	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	18	2	0	7	0	5	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	1	0	0					
		0.20%	0.19%	0.00%	0.64%	0.00%	1.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.20%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%					
19	. Малышкин Олег Александрович	12	2	0	3	0	4	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.19%	0.00%	0.27%	0.00%	1.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	9	1	2	2	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.09%	0.20%	0.18%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	8701	1021	956	1062	300	344	108	161	163	260	180	537	241	485	520	113	397	126	50	299	240	322	223	355	106	132					
		97.41%	96.96%	97.35%	96.90%	98.36%	88.89%	98.18%	98.77%	96.45%	100.00%	98.90%	98.71%	98.77%	96.04%	98.86%	96.58%	98.02%	98.44%	98.04%	98.03%	98.36%	98.17%	97.38%	98.89%	98.15%	100.00%					
22	. Хакамада Ирина Муцуовна	18	3	1	3	0	3	0	1	0	0	1	1	0	2	1	2	0	0	0	0	0	0	0	0	0	0					
		0.20%	0.28%	0.10%	0.27%	0.00%	0.78%	0.00%	0.61%	0.00%	0.00%	0.55%	0.18%	0.00%	0.40%	0.19%	1.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	149	21	23	12	5	18	2	1	5	0	1	3	2	14	5	2	7	2	1	6	4	6	4	3	2	0					
		1.67%	1.99%	2.34%	1.09%	1.64%	4.65%	1.82%	0.61%	2.96%	0.00%	0.55%	0.55%	0.82%	2.77%	0.95%	1.71%	1.73%	1.56%	1.96%	1.97%	1.64%	1.83%	1.75%	0.84%	1.85%	0.00%					
																																
24	Против всех	11	1	0	6	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.09%	0.00%	0.55%	0.00%	0.52%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
