Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Майская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97					
1	"Число избирателей, внесенных в список"	25287	1320	1070	1037	1020	1003	885	1374	806	938	642	1646	1720	2145	1524	195	91	2468	2467	720	220	1723	273					
2	Число полученных избирательных бюллетеней	25912	1350	1110	1070	1060	1030	900	1400	830	960	640	1690	1750	2150	1570	195	92	2540	2540	760	225	1770	280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23475	1181	981	902	990	955	849	1300	741	831	614	1561	1649	1867	1468	190	86	2347	2278	677	199	1599	210					
5	"Число избирательных бюллетеней, выданных вне помещения"	1444	117	73	119	17	35	21	56	53	88	16	62	34	237	26	0	4	95	178	32	21	100	60					
6	Число погашенных избирательных бюллетеней	993	52	56	49	53	40	30	44	36	41	10	67	67	46	76	5	2	98	84	51	5	71	10					
7	Число избирательных бюллетеней в переносных ящиках	1444	117	73	119	17	35	21	56	53	88	16	62	34	237	26	0	4	95	178	32	21	100	60					
8	Число бюллетеней в стационарных ящиках для голосования	23475	1181	981	902	990	955	849	1300	741	831	614	1561	1649	1867	1468	190	86	2347	2278	677	199	1599	210					
9	Число недействительных избирательных бюллетеней	60	0	2	0	0	4	5	7	1	0	2	17	8	0	0	2	2	0	0	0	1	9	0					
10	Число действительных избирательных бюллетеней	24859	1298	1052	1021	1007	986	865	1349	793	919	628	1606	1675	2104	1494	188	88	2442	2456	709	219	1690	270					
11	Число полученных открепительных  удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	19	1	0	2	0	0	1	0	1	0	0	0	2	1	1	0	0	0	2	0	2	6	0					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	71	2	3	7	6	4	3	3	2	3	1	2	3	6	4	0	0	3	17	0	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	36	2	1	3	2	1	0	0	0	5	0	4	3	0	4	0	0	5	0	4	0	0	2					
		0.14%	0.15%	0.09%	0.29%	0.20%	0.10%	0.00%	0.00%	0.00%	0.54%	0.00%	0.25%	0.18%	0.00%	0.27%	0.00%	0.00%	0.20%	0.00%	0.56%	0.00%	0.00%	0.74%					
19	. Малышкин Олег Александрович	43	2	2	2	0	3	0	0	1	4	0	1	2	0	0	1	0	10	2	1	1	0	11					
		0.17%	0.15%	0.19%	0.20%	0.00%	0.30%	0.00%	0.00%	0.13%	0.44%	0.00%	0.06%	0.12%	0.00%	0.00%	0.53%	0.00%	0.41%	0.08%	0.14%	0.45%	0.00%	4.07%					
20	. Миронов Сергей Михайлович	40	2	2	1	0	2	3	0	0	2	1	7	2	0	0	0	0	12	0	2	0	1	3					
		0.16%	0.15%	0.19%	0.10%	0.00%	0.20%	0.34%	0.00%	0.00%	0.22%	0.16%	0.43%	0.12%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.28%	0.00%	0.06%	1.11%					
21	. Путин Владимир Владимирович	23972	1255	1037	952	992	969	689	1326	780	821	621	1574	1606	2070	1467	185	86	2383	2345	695	213	1669	237					
		96.20%	96.69%	98.39%	93.24%	98.51%	97.88%	79.20%	97.79%	98.24%	89.34%	98.57%	96.98%	95.42%	98.38%	98.19%	97.37%	95.56%	97.58%	95.48%	98.03%	96.82%	98.23%	87.78%					
22	. Хакамада Ирина Муцуовна	22	1	1	2	3	0	0	0	0	2	0	3	2	0	0	0	0	3	0	2	1	0	2					
		0.09%	0.08%	0.09%	0.20%	0.30%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.18%	0.12%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.28%	0.45%	0.00%	0.74%					
23	. Харитонов Николай Михайлович	652	34	7	58	7	8	159	2	10	83	6	12	54	21	18	2	2	27	100	5	3	20	14					
		2.62%	2.62%	0.66%	5.68%	0.70%	0.81%	18.28%	0.15%	1.26%	9.03%	0.95%	0.74%	3.21%	1.00%	1.20%	1.05%	2.22%	1.11%	4.07%	0.71%	1.36%	1.18%	5.19%					
																													
24	Против всех	94	2	2	3	3	3	14	21	2	2	0	5	6	13	5	0	0	2	9	0	1	0	1					
		0.38%	0.15%	0.19%	0.29%	0.30%	0.30%	1.61%	1.55%	0.25%	0.22%	0.00%	0.31%	0.36%	0.62%	0.33%	0.00%	0.00%	0.08%	0.37%	0.00%	0.45%	0.00%	0.37%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
