Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Курчалоевская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171					
1	"Число избирателей, внесенных в список"	42879	2816	2631	2846	1794	2304	2041	2425	2815	2936	2237	2164	2323	2508	2390	2341	1932	1286	437	508	675	355	136	180	324	475					
2	Число полученных избирательных бюллетеней	43260	2835	2625	3000	1800	2320	2015	2425	2815	2950	2250	2180	2295	2500	2390	2355	2100	1295	445	510	677	355	140	182	326	475					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	41586	2636	2435	2648	1741	2241	2012	2386	2759	2936	2209	2100	2150	2473	2317	2306	1932	1254	435	502	661	355	130	180	313	475					
5	"Число избирательных бюллетеней, выданных вне помещения"	16	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	1658	199	178	352	59	79	3	39	56	14	41	80	145	27	73	45	168	41	10	8	16	0	10	2	13	0					
7	Число избирательных бюллетеней в переносных ящиках	16	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	41586	2636	2435	2648	1741	2241	2012	2386	2759	2936	2209	2100	2150	2473	2317	2306	1932	1254	435	502	661	355	130	180	313	475					
9	Число недействительных избирательных бюллетеней	291	25	37	24	29	13	2	15	24	3	0	0	18	12	31	15	16	0	1	7	3	11	0	0	5	0					
10	Число действительных избирательных бюллетеней	41311	2611	2410	2624	1712	2228	2010	2371	2735	2933	2209	2100	2132	2461	2286	2295	1916	1254	434	495	658	344	130	180	308	475					
11	Число полученных открепительных  удостоверений	550	80	20	180	10	10	10	10	10	30	15	15	30	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	149	7	0	135	0	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	106	2	8	0	6	0	31	12	15	0	0	0	0	20	12	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	401	73	20	45	10	10	10	9	10	30	15	14	30	10	10	10	10	10	5	10	10	10	10	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
18	. Глазьев Сергей Юрьевич	316	4	15	8	11	2	6	8	7	11	12	22	40	3	68	23	42	6	5	3	0	0	6	12	2	0					
		0.76%	0.15%	0.61%	0.30%	0.63%	0.09%	0.30%	0.34%	0.25%	0.37%	0.54%	1.05%	1.86%	0.12%	2.93%	1.00%	2.17%	0.48%	1.15%	0.60%	0.00%	0.00%	4.62%	6.67%	0.64%	0.00%					
19	. Малышкин Олег Александрович	166	17	32	8	5	4	4	2	7	0	0	0	28	2	25	6	21	3	2	0	0	0	0	0	0	0					
		0.40%	0.64%	1.31%	0.30%	0.29%	0.18%	0.20%	0.08%	0.25%	0.00%	0.00%	0.00%	1.30%	0.08%	1.08%	0.26%	1.09%	0.24%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	162	6	14	9	10	4	3	8	6	11	7	0	15	2	17	7	24	8	6	3	0	0	0	0	2	0					
		0.39%	0.23%	0.57%	0.34%	0.57%	0.18%	0.15%	0.34%	0.22%	0.37%	0.32%	0.00%	0.70%	0.08%	0.73%	0.30%	1.24%	0.64%	1.38%	0.60%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%					
21	. Путин Владимир Владимирович	37417	2398	2165	2386	1535	2208	1919	2261	2689	2853	2110	1628	1867	2339	1864	2106	1294	1194	398	403	521	306	114	164	280	415					
		89.94%	90.97%	88.48%	90.11%	88.17%	98.53%	95.38%	94.76%	97.46%	97.17%	95.52%	77.52%	86.84%	94.58%	80.45%	91.17%	66.98%	95.22%	91.49%	80.28%	78.82%	86.20%	87.69%	91.11%	89.46%	87.37%					
22	. Хакамада Ирина Муцуовна	1740	80	154	108	84	6	14	37	9	30	48	165	37	76	157	127	346	22	19	77	85	11	8	4	11	25					
