Выборы Президента Российской Федерации																			
																			
Наименование Избирательной комиссии:    Полярнозоринская																			
																			
Итоги голосования 																			
																			
		Сумма	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420					
1	"Число избирателей, внесенных в список"	15641	1544	1422	1395	1339	1399	1564	1561	1600	1496	854	434	1033					
2	Число полученных избирательных бюллетеней	14090	1350	1300	1250	1250	1260	1450	1400	1470	1350	750	360	900					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	8860	853	831	803	706	761	843	927	943	873	459	230	631					
5	"Число избирательных бюллетеней, выданных вне помещения"	239	86	18	11	19	14	13	16	7	2	26	21	6					
6	Число погашенных избирательных бюллетеней	4991	411	451	436	525	485	594	457	520	475	265	109	263					
7	Число избирательных бюллетеней в переносных ящиках	239	86	18	11	19	14	13	16	7	2	26	21	6					
8	Число бюллетеней в стационарных ящиках для голосования	8848	850	831	802	705	761	841	926	943	870	458	230	631					
9	Число недействительных избирательных бюллетеней	42	3	1	7	2	2	1	5	6	0	2	3	10					
10	Число действительных избирательных бюллетеней	9045	933	848	806	722	773	853	937	944	872	482	248	627					
11	Число полученных открепительных  удостоверений	240	20	20	20	20	20	20	20	20	20	20	20	20					
12	Число выданных открепительных удостоверений	52	6	7	3	1	6	8	4	3	4	1	5	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	3	7	5	3	4	4	1	4	3	5	1	4					
14	Число неиспользованных открепительных удостоверений	188	14	13	17	19	14	12	16	17	16	19	15	16					
15	"Число открепительных удостоверений, выданных в ТИК"	27	2	1	2	6	4	2	2	3	4	1	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																			
18	. Глазьев Сергей Юрьевич	355	42	30	35	28	20	34	32	37	56	7	7	27					
		3.91%	4.49%	3.53%	4.31%	3.87%	2.58%	3.98%	3.40%	3.89%	6.42%	1.45%	2.79%	4.24%					
19	. Малышкин Олег Александрович	170	21	19	12	13	17	15	14	11	17	13	4	14					
		1.87%	2.24%	2.24%	1.48%	1.80%	2.19%	1.76%	1.49%	1.16%	1.95%	2.69%	1.59%	2.20%					
20	. Миронов Сергей Михайлович	84	8	6	8	10	2	8	6	11	8	4	6	7					
		0.92%	0.85%	0.71%	0.98%	1.38%	0.26%	0.94%	0.64%	1.16%	0.92%	0.83%	2.39%	1.10%					
21	. Путин Владимир Владимирович	6850	695	641	601	538	574	638	713	709	629	394	213	505					
		75.38%	74.25%	75.50%	73.92%	74.31%	74.06%	74.71%	75.69%	74.63%	72.13%	81.40%	84.86%	79.28%					
22	. Хакамада Ирина Муцуовна	464	48	54	43	33	54	40	42	62	59	8	5	16					
		5.11%	5.13%	6.36%	5.29%	4.56%	6.97%	4.68%	4.46%	6.53%	6.77%	1.65%	1.99%	2.51%					
23	. Харитонов Николай Михайлович	627	61	48	49	54	64	63	79	58	51	45	11	44					
		6.90%	6.52%	5.65%	6.03%	7.46%	8.26%	7.38%	8.39%	6.11%	5.85%	9.30%	4.38%	6.91%					
																			
24	Против всех	495	58	50	58	46	42	55	51	56	52	11	2	14					
		5.45%	6.20%	5.89%	7.13%	6.35%	5.42%	6.44%	5.41%	5.89%	5.96%	2.27%	0.80%	2.20%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
