Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Комсомольская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401					
1	"Число избирателей, внесенных в список"	20032	1492	1526	681	226	556	115	190	104	537	281	308	193	244	297	219	365	380	566	271	412	522	189	585	234	133	1456	664	1156	543	593	611	387	272	323	170	202	569	135	407	465	811	315	327					
2	Число полученных избирательных бюллетеней	20638	1510	1570	690	235	570	120	190	107	550	280	310	193	250	310	216	375	390	570	275	410	520	186	650	265	146	1460	670	1165	540	630	635	410	293	335	171	209	620	137	450	485	855	335	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13637	842	906	412	157	392	73	136	81	374	213	258	154	175	218	187	286	287	451	217	284	321	143	391	182	97	1012	427	530	423	429	419	276	173	236	124	172	436	120	314	350	481	234	244					
5	"Число избирательных бюллетеней, выданных вне помещения"	1133	35	31	0	20	26	13	11	6	40	12	33	19	34	25	7	43	46	43	23	7	39	12	47	17	16	39	46	49	36	31	33	40	44	14	15	23	33	7	33	29	20	26	10					
6	Число погашенных избирательных бюллетеней	5868	633	633	278	58	152	34	43	20	136	55	19	20	41	67	22	46	57	76	35	119	160	31	212	66	33	409	197	586	81	170	183	94	76	85	32	14	151	10	103	106	354	75	96					
7	Число избирательных бюллетеней в переносных ящиках	1133	35	31	0	20	26	13	11	6	40	12	33	19	34	25	7	43	46	43	23	7	39	12	47	17	16	39	46	49	36	31	33	40	44	14	15	23	33	7	33	29	20	26	10					
8	Число бюллетеней в стационарных ящиках для голосования	13637	842	906	412	157	392	73	136	81	374	213	258	154	175	218	187	286	287	451	217	284	321	143	391	182	97	1012	427	530	423	429	419	276	173	236	124	172	436	120	314	350	481	234	244					
9	Число недействительных избирательных бюллетеней	259	17	23	1	1	9	0	0	3	9	5	1	2	1	2	2	7	1	21	6	7	1	2	14	5	1	19	5	14	3	3	7	8	3	11	5	3	11	0	4	2	8	3	9					
10	Число действительных избирательных бюллетеней	14511	860	914	411	176	409	86	147	84	405	220	290	171	208	241	192	322	332	473	234	284	359	153	424	194	112	1032	468	565	456	457	445	308	214	239	134	192	458	127	343	377	493	257	245					
11	Число полученных открепительных  удостоверений	598	30	40	20	10	17	5	5	5	20	10	10	1	10	10	10	15	9	12	10	10	10	5	10	11	9	15	20	25	20	20	25	15	10	10	10	5	26	5	18	20	14	15	21					
12	Число выданных открепительных удостоверений	441	26	38	12	10	16	1	5	1	18	6	5	0	8	10	2	12	9	12	5	0	1	0	10	11	1	13	7	14	3	20	23	15	2	7	5	4	26	5	18	20	4	15	21					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	99	7	7	0	1	5	0	3	2	3	5	2	2	2	1	0	3	3	2	5	0	1	3	1	0	0	4	2	3	2	3	3	0	0	2	3	0	4	5	0	2	2	4	2					
