Выборы Президента Российской Федерации																		
																		
Наименование Избирательной комиссии:    Малодербетовская																		
																		
Итоги голосования 																		
																		
		Сумма	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147					
1	"Число избирателей, внесенных в список"	7997	162	407	75	1962	1369	712	1259	199	277	133	1442					
2	Число полученных избирательных бюллетеней	8165	170	445	75	1990	1390	730	1285	195	285	160	1440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4506	130	316	62	1055	590	419	730	147	240	120	697					
5	"Число избирательных бюллетеней, выданных вне помещения"	836	24	43	12	143	154	141	141	40	26	8	104					
6	Число погашенных избирательных бюллетеней	2823	16	86	1	792	646	170	414	8	19	32	639					
7	Число избирательных бюллетеней в переносных ящиках	836	24	43	12	143	154	141	141	40	26	8	104					
8	Число бюллетеней в стационарных ящиках для голосования	4506	130	316	62	1055	590	419	730	147	240	120	697					
9	Число недействительных избирательных бюллетеней	60	0	5	0	12	9	7	9	3	1	0	14					
10	Число действительных избирательных бюллетеней	5282	154	354	74	1186	735	553	862	184	265	128	787					
11	Число полученных открепительных  удостоверений	299	20	40	15	40	40	30	20	15	20	20	39					
12	Число выданных открепительных удостоверений	214	2	40	4	32	38	17	20	1	5	20	35					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	59	3	0	6	11	11	4	1	1	1	2	19					
14	Число неиспользованных открепительных удостоверений	85	18	0	11	8	2	13	0	14	15	0	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																		
18	. Глазьев Сергей Юрьевич	126	0	3	0	32	14	12	30	3	8	3	21					
		2.36%	0.00%	0.84%	0.00%	2.67%	1.88%	2.14%	3.44%	1.60%	3.01%	2.34%	2.62%					
19	. Малышкин Олег Александрович	52	0	0	1	17	7	10	10	0	0	0	7					
		0.97%	0.00%	0.00%	1.35%	1.42%	0.94%	1.79%	1.15%	0.00%	0.00%	0.00%	0.87%					
20	. Миронов Сергей Михайлович	31	0	1	1	10	3	3	4	1	0	1	7					
		0.58%	0.00%	0.28%	1.35%	0.83%	0.40%	0.54%	0.46%	0.53%	0.00%	0.78%	0.87%					
21	. Путин Владимир Владимирович	3678	136	303	66	719	524	329	595	163	223	103	517					
		68.85%	88.31%	84.40%	89.19%	60.02%	70.43%	58.75%	68.31%	87.17%	83.83%	80.47%	64.54%					
22	. Хакамада Ирина Муцуовна	229	9	13	1	67	49	13	14	7	10	3	43					
		4.29%	5.84%	3.62%	1.35%	5.59%	6.59%	2.32%	1.61%	3.74%	3.76%	2.34%	5.37%					
23	. Харитонов Николай Михайлович	1121	8	32	5	326	126	184	206	10	23	16	185					
		20.98%	5.19%	8.91%	6.76%	27.21%	16.94%	32.86%	23.65%	5.35%	8.65%	12.50%	23.10%					
																		
24	Против всех	45	1	2	0	15	12	2	3	0	1	2	7					
		0.84%	0.65%	0.56%	0.00%	1.25%	1.61%	0.36%	0.34%	0.00%	0.38%	1.56%	0.87%					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
