Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Апанасенковская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218					
1	"Число избирателей, внесенных в список"	26667	2482	2355	1684	1584	1774	1998	586	1841	1571	1023	1434	2049	1608	546	227	259	1716	1930					
2	Число полученных избирательных бюллетеней	27500	2500	2400	1700	1600	1800	2100	600	1900	1600	1100	1500	2100	1600	600	300	300	1800	2000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14546	1415	1168	950	785	1038	920	397	949	863	531	835	1150	779	367	158	171	987	1083					
5	"Число избирательных бюллетеней, выданных вне помещения"	3605	143	135	223	248	201	335	73	536	296	312	180	185	275	33	4	29	235	162					
6	Число погашенных избирательных бюллетеней	9349	942	1097	527	567	561	845	130	415	441	257	485	765	546	200	138	100	578	755					
7	Число избирательных бюллетеней в переносных ящиках	3605	143	135	223	248	201	335	73	536	296	312	180	185	275	33	4	29	235	162					
8	Число бюллетеней в стационарных ящиках для голосования	14540	1415	1168	950	783	1038	920	397	949	862	531	835	1150	779	367	157	171	987	1081					
9	Число недействительных избирательных бюллетеней	260	14	16	109	13	7	17	4	10	3	11	5	14	13	3	3	1	7	10					
10	Число действительных избирательных бюллетеней	17885	1544	1287	1064	1018	1232	1238	466	1475	1155	832	1010	1321	1041	397	158	199	1215	1233					
11	Число полученных открепительных  удостоверений	195	10	10	10	10	10	10	10	10	20	15	10	10	10	12	3	5	20	10					
12	Число выданных открепительных удостоверений	195	10	10	10	10	10	10	10	10	20	15	10	10	10	12	3	5	20	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	8	2	7	1	3	2	1	4	3	1	1	4	3	1	0	0	3	0					
14	Число неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	5	2	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	453	54	50	43	34	46	47	10	18	18	15	22	13	25	15	5	1	18	19					
		2.50%	3.47%	3.84%	3.67%	3.30%	3.71%	3.75%	2.13%	1.21%	1.55%	1.78%	2.17%	0.97%	2.37%	3.75%	3.11%	0.50%	1.47%	1.53%					
19	. Малышкин Олег Александрович	538	36	39	26	22	24	48	23	52	45	26	38	32	41	12	6	7	29	32					
		2.97%	2.31%	2.99%	2.22%	2.13%	1.94%	3.82%	4.89%	3.50%	3.89%	3.08%	3.74%	2.40%	3.89%	3.00%	3.73%	3.50%	2.37%	2.57%					
20	. Миронов Сергей Михайлович	110	13	8	6	10	9	6	5	6	5	4	8	13	1	2	1	3	3	7					
		0.61%	0.83%	0.61%	0.51%	0.97%	0.73%	0.48%	1.06%	0.40%	0.43%	0.47%	0.79%	0.97%	0.09%	0.50%	0.62%	1.50%	0.25%	0.56%					
21	. Путин Владимир Владимирович	9750	851	745	580	527	721	719	298	926	654	577	672	471	498	207	64	79	676	485					
		53.73%	54.62%	57.18%	49.45%	51.12%	58.19%	57.29%	63.40%	62.36%	56.48%	68.45%	66.21%	35.28%	47.25%	51.75%	39.75%	39.50%	55.32%	39.02%					
22	. Хакамада Ирина Муцуовна	382	31	24	28	28	30	24	16	27	22	23	33	20	16	7	5	4	25	19					
		2.11%	1.99%	1.84%	2.39%	2.72%	2.42%	1.91%	3.40%	1.82%	1.90%	2.73%	3.25%	1.50%	1.52%	1.75%	3.11%	2.00%	2.05%	1.53%					
23	. Харитонов Николай Михайлович	6075	475	383	303	361	368	341	93	418	382	175	199	728	426	146	76	100	445	656					
		33.48%	30.49%	29.39%	25.83%	35.01%	29.70%	27.17%	19.79%	28.15%	32.99%	20.76%	19.61%	54.53%	40.42%	36.50%	47.20%	50.00%	36.42%	52.78%					
																									
24	Против всех	577	84	38	78	36	34	53	21	28	29	12	38	44	34	8	1	5	19	15					
		3.18%	5.39%	2.92%	6.65%	3.49%	2.74%	4.22%	4.47%	1.89%	2.50%	1.42%	3.74%	3.30%	3.23%	2.00%	0.62%	2.50%	1.55%	1.21%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
