Выборы Президента Российской Федерации																																	
																																	
Наименование Избирательной комиссии:    Онгудайская																																	
																																	
Итоги голосования 																																	
																																	
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94					
1	"Число избирателей, внесенных в список"	10648	200	153	197	496	178	165	429	254	226	1865	1879	528	368	547	213	234	389	255	64	99	285	461	204	182	607	170					
2	Число полученных избирательных бюллетеней	10600	195	154	189	491	180	167	433	256	231	1851	1877	524	366	542	212	239	386	245	63	99	288	461	202	179	610	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6414	123	91	118	306	123	143	259	167	135	861	850	296	229	353	179	174	287	170	50	84	235	315	145	140	449	132					
5	"Число избирательных бюллетеней, выданных вне помещения"	482	28	0	0	29	6	0	27	24	16	65	58	61	19	42	11	6	12	16	2	0	10	23	2	5	13	7					
6	Число погашенных избирательных бюллетеней	3704	44	63	71	156	51	24	147	65	80	925	969	167	118	147	22	59	87	59	11	15	43	123	55	34	148	21					
7	Число избирательных бюллетеней в переносных ящиках	482	28	0	0	29	6	0	27	24	16	65	58	61	19	42	11	6	12	16	2	0	10	23	2	5	13	7					
8	Число бюллетеней в стационарных ящиках для голосования	6413	123	91	118	306	123	143	259	167	135	861	850	296	229	352	179	174	287	170	50	84	235	315	145	140	449	132					
9	Число недействительных избирательных бюллетеней	76	6	1	0	2	0	3	4	4	0	8	16	5	3	4	3	0	4	2	0	1	3	0	0	1	5	1					
10	Число действительных избирательных бюллетеней	6819	145	90	118	333	129	140	282	187	151	918	892	352	245	390	187	180	295	184	52	83	242	338	147	144	457	138					
11	Число полученных открепительных  удостоверений	289	5	5	5	10	5	5	10	5	5	64	50	10	5	20	5	5	10	5	5	5	5	10	5	5	20	5					
12	Число выданных открепительных удостоверений	56	0	0	0	0	0	1	4	2	5	14	13	1	3	1	0	0	0	0	0	0	3	6	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	1	1	1	4	0	0	1	1	1	6	2	0	1	1	1	0	4	1	1	0	2	0	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	233	5	5	5	10	5	4	6	3	0	50	37	9	2	19	5	5	10	5	5	5	2	4	5	5	17	5					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	1	0	0	0	0	3	1	1	2	0	0	0	0	1	0	0	0	0	1	0	0	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
