Выборы Президента Российской Федерации																																																	
																																																	
"Наименование Избирательной комиссии:    Новороссийск, Приморская"																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №3501	УИК №3502	УИК №3503	УИК №3504	УИК №3505	УИК №3506	УИК №3507	УИК №3508	УИК №3509	УИК №3510	УИК №3511	УИК №3512	УИК №3513	УИК №3514	УИК №3515	УИК №3516	УИК №3517	УИК №3518	УИК №3519	УИК №3520	УИК №3521	УИК №3522	УИК №3523	УИК №3524	УИК №3525	УИК №3526	УИК №3527	УИК №3528	УИК №3529	УИК №3530	УИК №3531	УИК №3532	УИК №3533	УИК №3534	УИК №3535	УИК №3536	УИК №3537	УИК №3538	УИК №3539	УИК №3540	УИК №3541	УИК №3542					
1	"Число избирателей, внесенных в список"	69776	2493	2145	1464	1126	1203	1982	1703	1480	1466	2187	1838	1724	2121	2516	1948	2851	2212	2117	1939	772	1412	803	376	233	581	2350	2282	1549	1249	1777	263	1111	1966	2004	2181	2387	2175	1479	1434	1773	2021	1083					
2	Число полученных избирательных бюллетеней	74860	2650	2190	1530	1200	1290	2150	1900	1730	1630	2250	1730	2100	2340	2030	2560	2830	2590	2560	2150	840	1420	900	400	230	540	2550	2520	1700	1280	1970	280	1140	2040	2020	2280	2400	2140	1540	1580	1800	2600	1280					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	41785	1393	1183	847	762	758	1352	864	911	856	1510	1367	921	1201	1653	1719	1685	1397	1279	1088	494	785	519	252	190	455	1514	1458	816	566	920	141	570	1025	1080	1191	1229	1165	806	907	1003	1293	660					
5	"Число избирательных бюллетеней, выданных вне помещения"	1473	32	29	17	21	16	37	38	34	31	34	59	23	52	41	132	10	5	37	34	17	19	25	26	3	12	38	29	37	59	66	23	30	62	54	57	44	22	37	18	51	48	14					
6	Число погашенных избирательных бюллетеней	31602	1225	978	666	417	516	761	998	785	743	706	304	1156	1087	336	709	1135	1188	1244	1028	329	616	356	122	37	73	998	1033	847	655	984	116	540	953	886	1032	1127	953	697	655	746	1259	606					
7	Число избирательных бюллетеней в переносных ящиках	1473	32	29	17	21	16	37	38	34	31	34	59	23	52	41	132	10	5	37	34	17	19	25	26	3	12	38	29	37	59	66	23	30	62	54	57	44	22	37	18	51	48	14					
8	Число бюллетеней в стационарных ящиках для голосования	41725	1393	1181	847	762	758	1351	864	911	856	1510	1366	920	1201	1653	1719	1685	1397	1277	1088	493	785	515	252	190	455	1514	1458	816	566	920	141	570	1025	1080	1191	1229	1165	806	907	1003	1245	660					
9	Число недействительных избирательных бюллетеней	354	12	5	1	13	7	11	8	4	4	26	5	6	10	20	12	4	3	12	31	0	6	3	4	3	7	11	10	3	4	15	2	2	7	11	6	20	13	6	1	12	10	4					
10	Число действительных избирательных бюллетеней	42844	1413	1205	863	770	767	1377	894	941	883	1518	1420	937	1243	1674	1839	1691	1399	1302	1091	510	798	537	274	190	460	1541	1477	850	621	971	162	598	1080	1123	1242	1253	1174	837	924	1042	1283	670					
11	Число полученных открепительных  удостоверений	1462	40	40	30	30	30	40	40	40	40	40	40	30	40	40	40	40	60	40	52	20	30	20	20	20	20	40	40	30	30	30	20	30	40	40	40	40	40	30	30	40	40	20					
12	Число выданных открепительных удостоверений	341	14	11	6	8	4	15	7	9	10	14	10	19	5	9	10	25	10	7	3	0	4	5	0	1	7	10	3	8	2	7	4	6	6	10	8	5	7	5	3	7	34	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	311	4	2	3	5	7	17	0	7	10	8	5	8	2	3	0	27	3	3	12	2	5	0	5	2	18	16	5	4	4	5	7	5	8	10	2	5	4	2	61	3	9	3					
14	Число неиспользованных открепительных удостоверений	1121	26	29	24	22	26	25	33	31	30	26	30	11	35	31	30	15	50	33	49	20	26	15	20	19	13	30	37	22	28	23	16	24	34	30	32	35	33	25	27	33	6	17					
15	"Число открепительных удостоверений, выданных в ТИК"	38	2	2	0	1	0	1	1	1	0	1	1	2	1	0	1	0	0	3	1	0	3	1	0	0	1	1	0	3	0	1	0	1	2	2	1	0	0	0	2	0	2	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	1312	54	41	38	27	32	61	27	30	24	45	46	20	37	57	20	55	51	58	21	17	44	17	12	9	14	47	44	32	11	24	5	19	49	27	50	28	26	16	19	13	32	13					
		3.04%	3.79%	3.39%	4.40%	3.45%	4.13%	4.39%	2.99%	3.17%	2.71%	2.91%	3.23%	2.12%	2.95%	3.36%	1.08%	3.24%	3.64%	4.41%	1.87%	3.33%	5.47%	3.15%	4.32%	4.66%	3.00%	3.03%	2.96%	3.75%	1.76%	2.43%	3.05%	3.17%	4.51%	2.38%	4.01%	2.20%	2.19%	1.90%	2.05%	1.23%	2.47%	1.93%					
19	. Малышкин Олег Александрович	829	23	24	18	11	13	15	9	17	19	16	32	18	20	46	49	35	23	17	28	8	10	20	6	4	14	28	38	18	23	26	2	8	17	18	24	22	19	20	12	19	26	14					
		1.92%	1.61%	1.98%	2.08%	1.40%	1.68%	1.08%	1.00%	1.80%	2.14%	1.04%	2.25%	1.91%	1.60%	2.72%	2.65%	2.06%	1.64%	1.29%	2.50%	1.57%	1.24%	3.70%	2.16%	2.07%	3.00%	1.80%	2.56%	2.11%	3.68%	2.64%	1.22%	1.33%	1.56%	1.59%	1.92%	1.73%	1.60%	2.37%	1.30%	1.80%	2.01%	2.08%					
20	. Миронов Сергей Михайлович	189	5	14	2	4	3	4	5	3	6	8	2	4	3	4	17	7	6	8	3	2	10	0	0	0	3	5	8	1	3	2	0	5	5	4	7	1	4	3	2	1	10	5					
		0.44%	0.35%	1.16%	0.23%	0.51%	0.39%	0.29%	0.55%	0.32%	0.68%	0.52%	0.14%	0.42%	0.24%	0.24%	0.92%	0.41%	0.43%	0.61%	0.27%	0.39%	1.24%	0.00%	0.00%	0.00%	0.64%	0.32%	0.54%	0.12%	0.48%	0.20%	0.00%	0.83%	0.46%	0.35%	0.56%	0.08%	0.34%	0.36%	0.22%	0.09%	0.77%	0.74%					
21	. Путин Владимир Владимирович	33054	1053	909	653	575	557	1005	714	718	662	1200	1122	675	972	1344	1593	1335	1141	980	855	389	544	419	213	135	368	1179	1164	647	459	738	130	466	825	881	928	995	843	659	729	810	947	523					
		76.52%	73.89%	75.12%	75.58%	73.44%	71.96%	72.41%	79.16%	75.98%	74.63%	77.72%	78.74%	71.58%	77.57%	79.34%	86.06%	78.76%	81.38%	74.58%	76.20%	76.27%	67.66%	77.59%	76.62%	69.95%	78.80%	75.97%	78.28%	75.85%	73.44%	74.85%	79.27%	77.67%	75.90%	77.69%	74.36%	78.16%	71.02%	78.17%	78.81%	76.85%	73.24%	77.60%					
22	. Хакамада Ирина Муцуовна	1581	65	61	48	38	36	56	29	40	35	67	50	38	40	50	51	80	46	72	41	34	47	20	13	10	13	51	37	25	11	32	3	17	33	44	66	27	28	15	15	25	36	36					
		3.66%	4.56%	5.04%	5.56%	4.85%	4.65%	4.03%	3.22%	4.23%	3.95%	4.34%	3.51%	4.03%	3.19%	2.95%	2.76%	4.72%	3.28%	5.48%	3.65%	6.67%	5.85%	3.70%	4.68%	5.18%	2.78%	3.29%	2.49%	2.93%	1.76%	3.25%	1.83%	2.83%	3.04%	3.88%	5.29%	2.12%	2.36%	1.78%	1.62%	2.37%	2.78%	5.34%					
23	. Харитонов Николай Михайлович	4705	166	116	70	90	101	197	101	101	117	156	128	150	140	125	55	111	104	136	124	43	112	52	25	19	37	184	141	98	90	138	18	63	114	120	122	148	217	114	138	163	208	53					
		10.89%	11.65%	9.59%	8.10%	11.49%	13.05%	14.19%	11.20%	10.69%	13.19%	10.10%	8.98%	15.91%	11.17%	7.38%	2.97%	6.55%	7.42%	10.35%	11.05%	8.43%	13.93%	9.63%	8.99%	9.84%	7.92%	11.86%	9.48%	11.49%	14.40%	14.00%	10.98%	10.50%	10.49%	10.58%	9.78%	11.63%	18.28%	13.52%	14.92%	15.46%	16.09%	7.86%					
																																																	
24	Против всех	1174	47	40	34	25	25	39	9	32	20	26	40	32	31	48	54	68	28	31	19	17	31	9	5	13	11	47	45	29	24	11	4	20	37	29	45	32	37	10	9	11	24	26					
		2.72%	3.30%	3.31%	3.94%	3.19%	3.23%	2.81%	1.00%	3.39%	2.25%	1.68%	2.81%	3.39%	2.47%	2.83%	2.92%	4.01%	2.00%	2.36%	1.69%	3.33%	3.86%	1.67%	1.80%	6.74%	2.36%	3.03%	3.03%	3.40%	3.84%	1.12%	2.44%	3.33%	3.40%	2.56%	3.61%	2.51%	3.12%	1.19%	0.97%	1.04%	1.86%	3.86%					
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
																																																	
