Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Уральская поселковая								
								
Итоги голосования 								
								
		Сумма	УИК №2604					
1	"Число избирателей, внесенных в список"	1882	1882					
2	Число полученных избирательных бюллетеней	1850	1850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1387	1387					
5	"Число избирательных бюллетеней, выданных вне помещения"	23	23					
6	Число погашенных избирательных бюллетеней	440	440					
7	Число избирательных бюллетеней в переносных ящиках	23	23					
8	Число бюллетеней в стационарных ящиках для голосования	1387	1387					
9	Число недействительных избирательных бюллетеней	12	12					
10	Число действительных избирательных бюллетеней	1398	1398					
11	Число полученных открепительных  удостоверений	40	40					
12	Число выданных открепительных удостоверений	31	31					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	7					
14	Число неиспользованных открепительных удостоверений	9	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	11	11					
		0.78%	0.78%					
19	. Малышкин Олег Александрович	28	28					
		1.99%	1.99%					
20	. Миронов Сергей Михайлович	4	4					
		0.28%	0.28%					
21	. Путин Владимир Владимирович	1247	1247					
		88.44%	88.44%					
22	. Хакамада Ирина Муцуовна	28	28					
		1.99%	1.99%					
23	. Харитонов Николай Михайлович	42	42					
		2.98%	2.98%					
								
24	Против всех	38	38					
		2.70%	2.70%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
