Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Егорлыкская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184					
1	"Число избирателей, внесенных в список"	27906	1755	1010	1664	1171	2008	1762	1936	1008	1315	831	677	426	646	1021	1335	341	1050	1264	813	1221	2040	1140	1472					
2	Число полученных избирательных бюллетеней	27854	1752	1005	1664	1136	2001	1762	1920	1005	1300	838	687	433	644	989	1345	343	1034	1279	818	1224	2046	1145	1484					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	23743	1501	897	1502	1066	1799	1633	1639	869	907	518	565	322	518	859	1250	250	843	1040	704	1210	1663	900	1288					
5	"Число избирательных бюллетеней, выданных вне помещения"	1893	103	23	33	48	68	45	92	39	42	258	56	78	73	64	21	77	139	115	66	3	195	203	52					
6	Число погашенных избирательных бюллетеней	2218	148	85	129	22	134	84	189	97	351	62	66	33	53	66	74	16	52	124	48	11	188	42	144					
7	Число избирательных бюллетеней в переносных ящиках	1893	103	23	33	48	68	45	92	39	42	258	56	78	73	64	21	77	139	115	66	3	195	203	52					
8	Число бюллетеней в стационарных ящиках для голосования	23743	1501	897	1502	1066	1799	1633	1639	869	907	518	565	322	518	859	1250	250	843	1040	704	1210	1663	900	1288					
9	Число недействительных избирательных бюллетеней	90	8	25	2	0	0	6	0	0	4	0	0	4	0	0	3	8	0	0	2	20	0	3	5					
10	Число действительных избирательных бюллетеней	25546	1596	895	1533	1114	1867	1672	1731	908	945	776	621	396	591	923	1268	319	982	1155	768	1193	1858	1100	1335					
11	Число полученных открепительных  удостоверений	285	10	10	10	10	10	10	10	10	50	10	10	10	10	10	10	10	10	20	10	10	15	10	10					
12	Число выданных открепительных удостоверений	150	10	2	4	6	8	10	6	5	44	5	5	3	5	0	2	0	1	9	0	1	12	2	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	64	6	1	7	0	5	6	3	3	8	2	0	0	0	10	0	0	0	0	0	0	4	3	6					
14	Число неиспользованных открепительных удостоверений	135	0	8	6	4	2	0	4	5	6	5	5	7	5	10	8	10	9	11	10	9	3	8	0					
15	"Число открепительных удостоверений, выданных в ТИК"	110	2	2	2	0	0	0	1	0	101	0	0	0	0	1	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	120	8	5	14	1	8	4	2	9	31	2	1	0	1	3	1	8	0	2	4	6	8	0	2					
		0.47%	0.50%	0.54%	0.91%	0.09%	0.43%	0.24%	0.12%	0.99%	3.27%	0.26%	0.16%	0.00%	0.17%	0.33%	0.08%	2.45%	0.00%	0.17%	0.52%	0.49%	0.43%	0.00%	0.15%					
19	. Малышкин Олег Александрович	112	6	0	15	2	5	6	4	4	42	2	1	0	2	3	1	6	0	3	2	0	4	0	4					
		0.44%	0.37%	0.00%	0.98%	0.18%	0.27%	0.36%	0.23%	0.44%	4.43%	0.26%	0.16%	0.00%	0.34%	0.33%	0.08%	1.83%	0.00%	0.26%	0.26%	0.00%	0.22%	0.00%	0.30%					
20	. Миронов Сергей Михайлович	40	4	2	0	0	6	1	1	0	6	0	1	0	0	2	0	1	0	4	3	0	6	0	3					
		0.16%	0.25%	0.22%	0.00%	0.00%	0.32%	0.06%	0.06%	0.00%	0.63%	0.00%	0.16%	0.00%	0.00%	0.22%	0.00%	0.31%	0.00%	0.35%	0.39%	0.00%	0.32%	0.00%	0.22%					
21	. Путин Владимир Владимирович	24331	1517	855	1457	1070	1779	1593	1665	870	760	755	609	396	490	879	1246	266	953	1099	747	1172	1784	1070	1299					
		94.91%	94.58%	92.93%	94.92%	96.05%	95.29%	94.93%	96.19%	95.81%	80.08%	97.29%	98.07%	99.00%	82.91%	95.23%	98.03%	81.35%	97.05%	95.15%	97.01%	96.62%	96.02%	97.01%	96.94%					
22	. Хакамада Ирина Муцуовна	85	5	3	0	0	6	2	0	8	28	2	1	0	2	2	5	5	0	5	4	0	2	0	5					
		0.33%	0.31%	0.33%	0.00%	0.00%	0.32%	0.12%	0.00%	0.88%	2.95%	0.26%	0.16%	0.00%	0.34%	0.22%	0.39%	1.53%	0.00%	0.43%	0.52%	0.00%	0.11%	0.00%	0.37%					
23	. Харитонов Николай Михайлович	705	52	20	47	32	47	52	49	16	48	13	8	0	94	33	12	26	15	30	3	8	52	30	18					
		2.75%	3.24%	2.17%	3.06%	2.87%	2.52%	3.10%	2.83%	1.76%	5.06%	1.68%	1.29%	0.00%	15.91%	3.58%	0.94%	7.95%	1.53%	2.60%	0.39%	0.66%	2.80%	2.72%	1.34%					
																														
24	Против всех	153	4	10	0	9	16	14	10	1	30	2	0	0	2	1	3	7	14	12	5	7	2	0	4					
		0.60%	0.25%	1.09%	0.00%	0.81%	0.86%	0.83%	0.58%	0.11%	3.16%	0.26%	0.00%	0.00%	0.34%	0.11%	0.24%	2.14%	1.43%	1.04%	0.65%	0.58%	0.11%	0.00%	0.30%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
