Выборы Президента Российской Федерации																																																			
																																																			
Наименование Избирательной комиссии:    Бирская  городская 																																																			
																																																			
Итоги голосования 																																																			
																																																			
		Сумма	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703					
1	"Число избирателей, внесенных в список"	42430	1853	1880	2696	1509	2054	2023	2681	1037	2052	1928	2855	2625	2725	866	525	547	417	383	305	867	345	285	178	795	104	370	312	362	169	503	761	1195	386	456	95	132	944	721	306	548	352	395	455	433					
2	Число полученных избирательных бюллетеней	41330	1700	1700	2800	1500	2000	2000	2600	1000	1900	1800	2700	2600	2700	800	520	550	420	380	290	860	340	280	173	790	100	370	310	360	160	510	740	1160	380	470	92	135	950	690	300	550	370	390	450	440					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	36062	1653	1575	2360	1396	1916	1917	1398	953	1724	1667	2186	2372	2515	654	439	474	372	352	249	618	179	255	145	648	72	349	251	322	133	431	724	1094	323	420	77	118	892	605	260	524	344	303	420	383					
5	"Число избирательных бюллетеней, выданных вне помещения"	1746	25	125	38	38	8	18	34	44	25	38	158	63	28	27	70	23	18	14	33	197	159	7	25	24	24	9	25	14	17	62	13	31	8	22	15	12	28	42	37	8	8	71	20	41					
6	Число погашенных избирательных бюллетеней	3522	22	0	402	66	76	65	1168	3	151	95	356	165	157	119	11	53	30	14	8	45	2	18	3	118	4	12	34	24	10	17	3	35	49	28	0	5	30	43	3	18	18	16	10	16					
7	Число избирательных бюллетеней в переносных ящиках	1746	25	125	38	38	8	18	34	44	25	38	158	63	28	27	70	23	18	14	33	197	159	7	25	24	24	9	25	14	17	62	13	31	8	22	15	12	28	42	37	8	8	71	20	41					
8	Число бюллетеней в стационарных ящиках для голосования	36061	1653	1575	2360	1396	1916	1917	1398	953	1723	1667	2186	2372	2515	654	439	474	372	352	249	618	179	255	145	648	72	349	251	322	133	431	724	1094	323	420	77	118	892	605	260	524	344	303	420	383					
9	Число недействительных избирательных бюллетеней	193	0	11	9	0	0	8	11	0	11	7	3	2	0	3	3	13	3	0	32	5	1	4	3	0	1	0	1	5	0	0	0	4	1	1	0	4	8	3	2	2	0	3	20	9					
10	Число действительных избирательных бюллетеней	37614	1678	1689	2389	1434	1924	1927	1421	997	1737	1698	2341	2433	2543	678	506	484	387	366	250	810	337	258	167	672	95	358	275	331	150	493	737	1121	330	441	92	126	912	644	295	530	352	371	420	415					
11	Число полученных открепительных  удостоверений	639	20	40	50	50	50	50	30	30	30	30	46	50	50	30	0	12	0	5	0	1	5	0	0	9	1	5	0	1	0	1	10	5	0	10	0	0	8	0	0	4	0	1	3	2					
12	Число выданных открепительных удостоверений	331	3	9	36	24	24	17	21	9	11	26	23	38	30	10	0	12	0	0	0	1	5	0	0	2	1	2	0	1	0	1	3	4	0	5	0	0	5	0	0	2	0	1	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	241	8	4	6	13	11	7	4	10	20	15	31	10	5	12	3	5	2	1	1	2	2	4	3	5	1	2	2	0	1	2	4	9	0	3	1	4	3	5	8	1	3	3	1	4					
14	Число неиспользованных открепительных удостоверений	308	17	31	14	26	26	33	9	21	19	4	23	12	20	20	0	0	0	5	0	0	0	0	0	7	0	3	0	0	0	0	7	1	0	5	0	0	3	0	0	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	1	0	0	0	2	1	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																			
18	. Глазьев Сергей Юрьевич	361	27	21	31	19	18	20	31	2	31	13	19	13	15	12	1	6	0	0	3	7	3	2	0	1	6	4	7	2	0	6	2	5	1	3	0	1	2	11	1	4	0	5	3	3					
		0.95%	1.61%	1.24%	1.29%	1.32%	0.94%	1.03%	2.16%	0.20%	1.77%	0.76%	0.81%	0.53%	0.59%	1.76%	0.20%	1.21%	0.00%	0.00%	1.06%	0.86%	0.89%	0.76%	0.00%	0.15%	6.25%	1.12%	2.54%	0.60%	0.00%	1.22%	0.27%	0.44%	0.30%	0.68%	0.00%	0.77%	0.22%	1.70%	0.34%	0.75%	0.00%	1.34%	0.68%	0.71%					
19	. Малышкин Олег Александрович	239	16	8	27	11	8	22	17	0	22	6	8	7	2	4	1	1	3	0	3	8	1	0	0	1	3	5	5	0	0	1	4	12	3	0	2	1	3	10	2	2	0	1	7	2					
		0.63%	0.95%	0.47%	1.13%	0.77%	0.42%	1.14%	1.19%	0.00%	1.26%	0.35%	0.34%	0.29%	0.08%	0.59%	0.20%	0.20%	0.77%	0.00%	1.06%	0.98%	0.30%	0.00%	0.00%	0.15%	3.12%	1.40%	1.81%	0.00%	0.00%	0.20%	0.54%	1.07%	0.91%	0.00%	2.17%	0.77%	0.33%	1.55%	0.67%	0.38%	0.00%	0.27%	1.59%	0.47%					
20	. Миронов Сергей Михайлович	123	5	12	7	5	2	8	11	0	3	5	4	10	12	7	0	2	0	0	0	6	2	1	1	0	0	0	2	0	0	2	1	1	1	0	0	0	1	0	1	2	0	1	6	2					
		0.33%	0.30%	0.71%	0.29%	0.35%	0.10%	0.41%	0.77%	0.00%	0.17%	0.29%	0.17%	0.41%	0.47%	1.03%	0.00%	0.40%	0.00%	0.00%	0.00%	0.74%	0.59%	0.38%	0.59%	0.00%	0.00%	0.00%	0.72%	0.00%	0.00%	0.41%	0.14%	0.09%	0.30%	0.00%	0.00%	0.00%	0.11%	0.00%	0.34%	0.38%	0.00%	0.27%	1.36%	0.47%					
21	. Путин Владимир Владимирович	35161	1561	1614	2191	1334	1789	1819	1160	982	1522	1611	2256	2327	2460	583	491	448	346	333	241	746	324	249	161	664	78	341	247	327	146	467	708	1032	296	431	88	123	855	595	282	511	314	324	382	402					
