Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Сунженская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120					
1	"Число избирателей, внесенных в список"	29390	1504	754	1064	1187	1131	1077	2429	1975	976	1667	1454	1030	2621	2206	1176	779	694	1318	708	578	396	290	592	152	1632					
2	Число полученных избирательных бюллетеней	29835	1560	750	1060	1180	1130	1100	2350	2080	1230	1700	1450	1030	2640	2200	1170	765	690	1300	700	630	400	290	580	150	1700					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28145	1486	650	1050	1125	1085	1077	2340	1862	974	1647	1358	1010	2483	2143	1087	703	627	1286	639	506	395	272	562	146	1632					
5	"Число избирательных бюллетеней, выданных вне помещения"	215	18	4	10	0	13	0	2	25	0	20	4	0	0	17	15	4	10	11	13	19	0	9	18	3	0					
6	Число погашенных избирательных бюллетеней	1475	56	96	0	55	32	23	8	193	256	33	88	20	157	40	68	58	53	3	48	105	5	9	0	1	68					
7	Число избирательных бюллетеней в переносных ящиках	215	18	4	10	0	13	0	2	25	0	20	4	0	0	17	15	4	10	11	13	19	0	9	18	3	0					
8	Число бюллетеней в стационарных ящиках для голосования	28145	1486	650	1050	1125	1085	1077	2340	1862	974	1647	1358	1010	2483	2143	1087	703	627	1286	639	506	395	272	562	146	1632					
9	Число недействительных избирательных бюллетеней	93	0	0	3	0	15	0	0	0	0	25	4	0	0	8	2	0	0	0	0	5	0	0	0	0	31					
10	Число действительных избирательных бюллетеней	28267	1504	654	1057	1125	1083	1077	2342	1887	974	1642	1358	1010	2483	2152	1100	707	637	1297	652	520	395	281	580	149	1601					
11	Число полученных открепительных  удостоверений	890	15	10	15	15	15	15	20	20	15	15	15	25	25	25	15	10	10	10	10	10	10	10	10	10	540					
12	Число выданных открепительных удостоверений	423	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	417					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	467	15	10	15	15	15	15	20	19	15	14	15	24	22	25	15	10	10	10	10	10	10	10	10	10	123					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
