Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Агинская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21					
1	"Число избирателей, внесенных в список"	18204	2041	2282	1225	2235	1050	458	450	507	532	650	120	93	909	719	593	442	615	850	247	283	1903					
2	Число полученных избирательных бюллетеней	18527	1937	2290	1187	2304	1074	471	460	509	540	642	122	95	969	807	660	487	627	860	258	297	1931					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10739	916	1201	658	1165	655	305	303	342	388	469	93	71	571	479	381	316	401	545	158	198	1124					
5	"Число избирательных бюллетеней, выданных вне помещения"	1944	50	172	23	70	128	101	106	69	104	130	27	22	173	169	124	89	163	88	65	30	41					
6	Число погашенных избирательных бюллетеней	5844	971	917	506	1069	291	65	51	98	48	43	2	2	225	159	155	82	63	227	35	69	766					
7	Число избирательных бюллетеней в переносных ящиках	1944	50	172	23	70	128	101	106	69	104	130	27	22	173	169	124	89	163	88	65	30	41					
8	Число бюллетеней в стационарных ящиках для голосования	10736	916	1201	658	1165	655	305	303	342	388	469	93	71	571	479	381	315	401	543	158	198	1124					
9	Число недействительных избирательных бюллетеней	81	4	9	5	8	5	3	1	1	6	6	0	0	4	7	3	0	2	8	0	4	5					
10	Число действительных избирательных бюллетеней	12599	962	1364	676	1227	778	403	408	410	486	593	120	93	740	641	502	404	562	623	223	224	1160					
11	Число полученных открепительных  удостоверений	397	40	50	31	47	21	9	24	10	11	13	5	2	18	14	14	9	13	17	5	6	38					
12	Число выданных открепительных удостоверений	169	11	21	6	6	6	1	19	7	4	2	3	0	18	13	12	4	4	16	1	0	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	95	16	18	7	12	1	2	3	0	2	3	2	2	5	2	3	2	3	6	0	1	5					
14	Число неиспользованных открепительных удостоверений	228	29	29	25	41	15	8	5	3	7	11	2	2	0	1	2	5	9	1	4	6	23					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	257	22	29	28	19	18	4	4	15	6	12	2	0	11	7	12	6	7	13	1	7	34					
		2.03%	2.28%	2.11%	4.11%	1.54%	2.30%	0.99%	0.98%	3.65%	1.22%	2.00%	1.67%	0.00%	1.48%	1.08%	2.38%	1.49%	1.24%	2.06%	0.45%	3.07%	2.92%					
19	. Малышкин Олег Александрович	121	21	6	5	19	5	3	1	1	2	3	1	1	1	2	2	1	2	9	3	4	29					
		0.95%	2.17%	0.44%	0.73%	1.54%	0.64%	0.74%	0.24%	0.24%	0.41%	0.50%	0.83%	1.08%	0.13%	0.31%	0.40%	0.25%	0.35%	1.43%	1.35%	1.75%	2.49%					
20	. Миронов Сергей Михайлович	92	14	14	7	9	2	4	3	0	2	0	0	0	3	4	6	2	6	4	1	3	8					
		0.73%	1.45%	1.02%	1.03%	0.73%	0.26%	0.99%	0.73%	0.00%	0.41%	0.00%	0.00%	0.00%	0.40%	0.62%	1.19%	0.50%	1.06%	0.63%	0.45%	1.32%	0.69%					
21	. Путин Владимир Владимирович	10680	776	1168	560	1013	706	361	368	366	447	530	110	84	680	550	434	363	463	443	199	138	921					
		84.23%	80.33%	85.07%	82.23%	82.02%	90.17%	88.92%	89.98%	89.05%	90.85%	88.48%	91.67%	90.32%	91.40%	84.88%	85.94%	89.85%	82.09%	70.21%	89.24%	60.53%	79.06%					
22	. Хакамада Ирина Муцуовна	489	48	82	42	59	22	14	18	14	6	19	2	0	16	42	12	14	32	17	7	2	21					
		3.86%	4.97%	5.97%	6.17%	4.78%	2.81%	3.45%	4.40%	3.41%	1.22%	3.17%	1.67%	0.00%	2.15%	6.48%	2.38%	3.47%	5.67%	2.69%	3.14%	0.88%	1.80%					
23	. Харитонов Николай Михайлович	890	72	58	32	100	23	14	13	13	22	25	5	8	29	34	36	17	49	133	10	64	133					
		7.02%	7.45%	4.22%	4.70%	8.10%	2.94%	3.45%	3.18%	3.16%	4.47%	4.17%	4.17%	8.60%	3.90%	5.25%	7.13%	4.21%	8.69%	21.08%	4.48%	28.07%	11.42%					
																												
24	Против всех	70	9	7	2	8	2	3	1	1	1	4	0	0	0	2	0	1	3	4	2	6	14					
		0.55%	0.93%	0.51%	0.29%	0.65%	0.26%	0.74%	0.24%	0.24%	0.20%	0.67%	0.00%	0.00%	0.00%	0.31%	0.00%	0.25%	0.53%	0.63%	0.90%	2.63%	1.20%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
