Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																						
Дата голосования: 04.12.2011																						
																						
Наименование Избирательной комиссии:    Сарпинская																						
																						
Сводная таблица результатов выборов																						
																						
		Сумма	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176					
1	"Число избирателей, внесенных в список избирателей"	9962	1562	2060	1491	764	132	644	421	88	259	824	429	126	152	473	537					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9945	1528	1985	1487	813	131	667	400	90	256	839	416	127	147	491	568					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6713	1143	1267	1147	583	94	587	308	74	163	394	228	67	90	345	223					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	500	60	57	49	46	2	14	52	0	18	91	24	4	7	26	50					
6	Число погашенных избирательных бюллетеней	2732	325	661	291	184	35	66	40	16	75	354	164	56	50	120	295					
7	Число избирательных бюллетеней в переносных ящиках для голосования	500	60	57	49	46	2	14	52	0	18	91	24	4	7	26	50					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6713	1143	1267	1147	583	94	587	308	74	163	394	228	67	90	345	223					
9	Число недействительных избирательных бюллетеней	80	7	22	7	4	1	1	1	0	8	4	3	0	0	17	5					
10	Число действительных избирательных бюллетеней	7133	1196	1302	1189	625	95	600	359	74	173	481	249	71	97	354	268					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	20	25	20	25	5	15	10	5	10	15	15	5	5	15	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	84	2	14	10	9	0	12	1	1	0	0	6	3	3	9	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	13	10	4	4	3	2	2	3	2	5	6	2	3	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	136	18	11	10	16	5	3	9	4	10	15	9	2	2	6	16					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	402	12	105	87	22	13	26	10	1	12	46	15	10	5	9	29					
		5.57%	0.99%	7.93%	7.27%	3.50%	13.54%	4.33%	2.78%	1.35%	6.63%	9.48%	5.95%	14.08%	5.15%	2.43%	10.62%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	416	70	107	83	19	0	53	4	1	11	45	2	2	0	14	5					
		5.77%	5.82%	8.08%	6.94%	3.02%	0.00%	8.82%	1.11%	1.35%	6.08%	9.28%	0.79%	2.82%	0.00%	3.77%	1.83%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	43	3	13	8	2	2	0	3	0	1	8	0	1	1	1	0					
		0.60%	0.25%	0.98%	0.67%	0.32%	2.08%	0.00%	0.83%	0.00%	0.55%	1.65%	0.00%	1.41%	1.03%	0.27%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1231	231	256	139	72	10	67	64	20	16	132	79	8	14	61	62					
		17.07%	19.20%	19.34%	11.62%	11.45%	10.42%	11.15%	17.78%	27.03%	8.84%	27.22%	31.35%	11.27%	14.43%	16.44%	22.71%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	27	0	4	8	3	0	0	3	0	2	2	2	0	2	1	0					
		0.37%	0.00%	0.30%	0.67%	0.48%	0.00%	0.00%	0.83%	0.00%	1.10%	0.41%	0.79%	0.00%	2.06%	0.27%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4993	879	814	862	499	70	453	275	52	131	246	150	48	74	268	172					
		69.22%	73.07%	61.48%	72.07%	79.33%	72.92%	75.37%	76.39%	70.27%	72.38%	50.72%	59.52%	67.61%	76.29%	72.24%	63.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	21	1	3	2	8	0	1	0	0	0	2	1	2	1	0	0					
		0.29%	0.08%	0.23%	0.17%	1.27%	0.00%	0.17%	0.00%	0.00%	0.00%	0.41%	0.40%	2.82%	1.03%	0.00%	0.00%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
