Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Вагайская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188					
1	"Число избирателей, внесенных в список"	16811	477	167	1389	1047	1076	871	72	170	497	323	176	311	98	101	341	505	325	417	1122	82	115	428	596	106	670	109	375	1189	80	173	244	478	263	336	493	354	368	190	174	323	180					
2	Число полученных избирательных бюллетеней	17170	487	167	1405	1080	1090	900	72	180	505	335	176	312	98	100	370	520	330	420	1136	96	116	455	590	110	690	113	367	1218	82	173	243	493	277	334	515	356	378	193	174	334	180					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13534	335	155	853	798	892	656	70	148	407	302	108	263	98	94	264	364	235	375	797	46	106	392	549	104	469	109	218	1155	60	163	227	410	253	239	415	277	349	175	164	280	160					
5	"Число избирательных бюллетеней, выданных вне помещения"	2326	142	12	148	163	130	169	2	11	84	17	60	42	0	4	60	128	68	32	225	34	9	36	41	2	155	0	141	14	20	10	14	66	8	64	60	51	19	14	10	41	20					
6	Число погашенных избирательных бюллетеней	1310	10	0	404	119	68	75	0	21	14	16	8	7	0	2	46	28	27	13	114	16	1	27	0	4	66	4	8	49	2	0	2	17	16	31	40	28	10	4	0	13	0					
7	Число избирательных бюллетеней в переносных ящиках	2326	142	12	148	163	130	169	2	11	84	17	60	42	0	4	60	128	68	32	225	34	9	36	41	2	155	0	141	14	20	10	14	66	8	64	60	51	19	14	10	41	20					
8	Число бюллетеней в стационарных ящиках для голосования	13534	335	155	853	798	892	656	70	148	407	302	108	263	98	94	264	364	235	375	797	46	106	392	549	104	469	109	218	1155	60	163	227	410	253	239	415	277	349	175	164	280	160					
9	Число недействительных избирательных бюллетеней	48	1	0	8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	6	6	4	0	0	0	0					
10	Число действительных избирательных бюллетеней	15812	476	167	993	954	1022	825	72	159	491	319	168	305	98	98	324	492	303	406	1012	80	115	428	590	106	622	109	358	1169	80	171	241	476	261	303	469	322	364	189	174	321	180					
11	Число полученных открепительных  удостоверений	347	9	2	35	28	14	20	1	2	12	11	5	8	1	1	31	5	3	4	23	1	1	21	5	1	23	1	10	20	1	2	2	10	8	3	8	3	3	2	2	3	2					
12	Число выданных открепительных удостоверений	327	9	2	35	22	13	20	0	2	12	11	2	8	1	1	31	5	2	1	23	1	1	21	5	1	23	1	10	20	0	0	0	10	8	3	8	3	3	2	2	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	2	4	5	5	4	6	0	2	6	0	2	4	2	1	2	3	1	1	8	2	2	5	2	0	5	2	3	9	2	0	0	0	0	3	0	7	1	3	6	2	2					
14	Число неиспользованных открепительных удостоверений	20	0	0	0	6	1	0	1	0	0	0	3	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																
18	. Глазьев Сергей Юрьевич	122	4	2	35	12	18	5	0	0	2	2	0	0	0	0	1	3	1	2	5	0	0	1	4	1	1	0	3	9	0	0	0	1	1	2	3	1	1	0	1	1	0					
		0.77%	0.84%	1.20%	3.50%	1.25%	1.76%	0.61%	0.00%	0.00%	0.41%	0.63%	0.00%	0.00%	0.00%	0.00%	0.31%	0.61%	0.33%	0.49%	0.49%	0.00%	0.00%	0.23%	0.68%	0.94%	0.16%	0.00%	0.84%	0.77%	0.00%	0.00%	0.00%	0.21%	0.38%	0.66%	0.63%	0.30%	0.27%	0.00%	0.57%	0.31%	0.00%					
19	. Малышкин Олег Александрович	121	2	3	46	16	5	0	0	0	3	0	0	2	0	1	2	2	0	1	4	3	0	1	1	1	1	1	4	10	0	0	0	1	1	3	2	2	1	0	1	1	0					
		0.76%	0.42%	1.80%	4.60%	1.66%	0.49%	0.00%	0.00%	0.00%	0.61%	0.00%	0.00%	0.66%	0.00%	1.02%	0.62%	0.41%	0.00%	0.25%	0.39%	3.75%	0.00%	0.23%	0.17%	0.94%	0.16%	0.92%	1.11%	0.86%	0.00%	0.00%	0.00%	0.21%	0.38%	0.99%	0.42%	0.61%	0.27%	0.00%	0.57%	0.31%	0.00%					
20	. Миронов Сергей Михайлович	53	5	0	9	9	2	3	0	0	3	0	0	0	0	0	1	1	1	1	3	4	0	1	1	0	0	0	0	3	0	0	0	1	1	0	4	0	0	0	0	0	0					
		0.33%	1.05%	0.00%	0.90%	0.94%	0.20%	0.36%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.20%	0.33%	0.25%	0.29%	5.00%	0.00%	0.23%	0.17%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.21%	0.38%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14964	454	155	795	865	993	776	64	157	472	313	156	290	93	96	313	473	293	388	981	47	110	415	566	100	590	103	330	1111	78	171	235	466	254	290	455	315	357	187	168	312	177					
		94.35%	95.18%	92.81%	79.42%	90.01%	97.16%	94.06%	88.89%	98.74%	96.13%	98.12%	92.86%	95.08%	94.90%	97.96%	96.60%	96.14%	96.70%	95.33%	95.99%	58.75%	95.65%	96.96%	95.93%	94.34%	94.55%	94.50%	91.92%	95.04%	97.50%	98.84%	97.51%	97.90%	97.32%	95.71%	95.79%	96.04%	97.01%	98.94%	96.55%	97.20%	98.33%					
22	. Хакамада Ирина Муцуовна	100	1	1	28	13	4	3	2	0	3	3	1	2	0	0	2	1	0	3	4	0	0	2	2	0	7	3	3	5	0	0	1	1	1	1	1	2	0	0	0	0	0					
		0.63%	0.21%	0.60%	2.80%	1.35%	0.39%	0.36%	2.78%	0.00%	0.61%	0.94%	0.60%	0.66%	0.00%	0.00%	0.62%	0.20%	0.00%	0.74%	0.39%	0.00%	0.00%	0.47%	0.34%	0.00%	1.12%	2.75%	0.84%	0.43%	0.00%	0.00%	0.41%	0.21%	0.38%	0.33%	0.21%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	345	4	6	38	28	0	38	6	1	5	1	11	11	5	1	3	11	8	4	12	25	5	7	15	4	20	2	15	19	2	0	4	5	3	4	2	2	5	2	2	6	3					
