Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Косихинская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922					
1	"Число избирателей, внесенных в список"	15624	929	2571	850	228	1450	1043	1305	588	479	699	270	215	831	188	143	770	174	418	118	236	516	258	355	113	244	158	475					
2	Число полученных избирательных бюллетеней	15324	900	2350	855	209	1465	1042	1267	559	561	689	286	219	804	182	130	753	166	413	118	242	524	247	352	115	240	163	473					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10260	553	1620	535	148	966	494	667	398	446	529	200	145	583	128	102	534	147	330	84	177	306	198	271	84	183	88	344					
5	"Число избирательных бюллетеней, выданных вне помещения"	838	59	116	65	14	38	88	25	34	33	27	21	21	36	18	7	16	14	19	10	6	39	37	25	6	30	14	20					
6	Число погашенных избирательных бюллетеней	4225	288	614	255	47	461	460	575	127	82	132	65	53	185	36	21	203	5	64	24	59	179	12	56	25	27	61	109					
7	Число избирательных бюллетеней в переносных ящиках	838	59	116	65	14	38	88	25	34	33	27	21	21	36	18	7	16	14	19	10	6	39	37	25	6	30	14	20					
8	Число бюллетеней в стационарных ящиках для голосования	10223	553	1619	535	148	966	494	667	398	446	529	200	145	547	128	102	534	147	330	84	177	306	198	271	84	183	88	344					
9	Число недействительных избирательных бюллетеней	130	6	17	2	1	16	6	9	6	7	4	5	2	10	1	2	3	3	6	0	4	5	5	4	0	3	1	2					
10	Число действительных избирательных бюллетеней	10931	606	1718	598	161	988	576	683	426	472	552	216	164	573	145	107	547	158	343	94	179	340	230	292	90	210	101	362					
11	Число полученных открепительных  удостоверений	200	10	30	10	5	15	10	10	10	10	10	5	5	10	3	2	10	5	10	2	3	5	3	6	2	2	2	5					
12	Число выданных открепительных удостоверений	31	2	10	1	1	4	2	1	0	0	3	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	70	2	14	2	1	4	5	1	2	3	4	2	3	5	0	6	4	2	2	0	0	1	1	0	1	2	2	1					
14	Число неиспользованных открепительных удостоверений	169	8	20	9	4	11	8	9	10	10	7	4	5	10	3	2	7	5	10	2	3	4	3	6	2	2	1	4					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	349	21	61	11	5	27	19	36	22	7	10	5	4	16	4	1	18	2	22	4	5	9	9	2	1	10	5	13					
		3.16%	3.43%	3.52%	1.83%	3.09%	2.69%	3.26%	5.20%	5.09%	1.46%	1.80%	2.26%	2.41%	2.74%	2.74%	0.92%	3.27%	1.24%	6.30%	4.26%	2.73%	2.61%	3.83%	0.68%	1.11%	4.69%	4.90%	3.57%					
19	. Малышкин Олег Александрович	369	13	35	23	4	29	20	21	22	14	21	2	7	17	3	2	24	17	11	5	6	13	5	11	3	12	11	18					
		3.34%	2.12%	2.02%	3.83%	2.47%	2.89%	3.44%	3.03%	5.09%	2.92%	3.78%	0.90%	4.22%	2.92%	2.05%	1.83%	4.36%	10.56%	3.15%	5.32%	3.28%	3.77%	2.13%	3.72%	3.33%	5.63%	10.78%	4.95%					
20	. Миронов Сергей Михайлович	92	4	10	7	3	6	3	5	8	2	5	3	0	7	1	0	6	0	5	1	1	4	3	3	0	0	2	3					
		0.83%	0.65%	0.58%	1.17%	1.85%	0.60%	0.52%	0.72%	1.85%	0.42%	0.90%	1.36%	0.00%	1.20%	0.68%	0.00%	1.09%	0.00%	1.43%	1.06%	0.55%	1.16%	1.28%	1.01%	0.00%	0.00%	1.96%	0.82%					
21	. Путин Владимир Владимирович	7844	462	1324	443	123	727	387	491	300	334	432	165	123	405	106	91	375	110	153	60	129	231	146	190	61	136	71	269					
		70.92%	75.49%	76.31%	73.83%	75.93%	72.41%	66.49%	70.95%	69.44%	69.73%	77.70%	74.66%	74.10%	69.47%	72.60%	83.49%	68.18%	68.32%	43.84%	63.83%	70.49%	66.96%	62.13%	64.19%	67.78%	63.85%	69.61%	73.90%					
22	. Хакамада Ирина Муцуовна	164	7	29	15	1	9	10	11	8	8	5	1	2	6	0	0	10	0	13	3	1	6	6	6	1	3	1	2					
		1.48%	1.14%	1.67%	2.50%	0.62%	0.90%	1.72%	1.59%	1.85%	1.67%	0.90%	0.45%	1.20%	1.03%	0.00%	0.00%	1.82%	0.00%	3.72%	3.19%	0.55%	1.74%	2.55%	2.03%	1.11%	1.41%	0.98%	0.55%					
