Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Нижневартовская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК  212	УИК  213	УИК  214	УИК  215	УИК  216	УИК  217	УИК  218	УИК  219	УИК  220	УИК  221	УИК  222	УИК  223	УИК  224	УИК  225	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232					
1	"Число избирателей, внесенных в список"	19410	353	921	589	1132	307	517	471	314	325	163	2019	1786	1682	371	1544	1452	1973	1542	1564	227	158					
2	Число полученных избирательных бюллетеней	19310	370	920	570	1000	310	490	480	340	330	170	1950	1800	1800	370	1500	1500	1900	1550	1550	240	170					
3	"Число избирательных бюллетеней, выданных  досрочно"	893	25	180	83	0	0	0	0	0	15	73	159	93	137	63	0	65	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12400	243	543	440	709	232	406	371	263	265	75	1183	1009	1000	251	938	974	1196	984	1036	183	99					
5	"Число избирательных бюллетеней, выданных вне помещения"	298	6	5	5	12	6	11	17	7	5	0	21	42	19	10	56	5	53	14	0	4	0					
6	Число погашенных избирательных бюллетеней	5719	96	192	42	279	72	73	92	70	45	22	587	656	644	46	506	456	651	552	514	53	71					
7	Число избирательных бюллетеней в переносных ящиках	1191	31	185	88	12	6	11	17	7	20	73	180	135	156	73	56	70	53	14	0	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	12400	243	543	440	709	232	406	371	263	265	75	1183	1009	1000	251	938	974	1196	984	1036	183	99					
9	Число недействительных избирательных бюллетеней	100	5	2	8	8	1	5	1	2	4	0	10	9	8	3	3	7	8	9	6	1	0					
10	Число действительных избирательных бюллетеней	13491	269	726	520	713	237	412	387	268	281	148	1353	1135	1148	321	991	1037	1241	989	1030	186	99					
11	Число полученных открепительных  удостоверений	377	25	21	15	35	10	5	25	10	20	7	20	20	25	7	13	14	40	15	18	11	21					
12	Число выданных открепительных удостоверений	307	25	9	12	28	6	1	25	10	11	3	19	16	23	6	13	9	40	6	14	11	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	268	4	5	120	50	2	12	11	2	3	1	8	0	6	4	6	3	11	5	4	6	5					
14	Число неиспользованных открепительных удостоверений	70	0	12	3	7	4	4	0	0	9	4	1	4	2	1	0	5	0	9	4	0	1					
15	"Число открепительных удостоверений, выданных в ТИК"	15	0	1	1	0	0	0	0	0	0	0	3	2	2	0	3	0	0	1	1	0	1					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	431	3	25	18	33	6	6	17	6	7	3	65	32	51	7	25	27	31	23	41	5	0					
		3.17%	1.09%	3.43%	3.41%	4.58%	2.52%	1.44%	4.38%	2.22%	2.46%	2.03%	4.77%	2.80%	4.41%	2.16%	2.52%	2.59%	2.48%	2.30%	3.96%	2.67%	0.00%					
19	. Малышкин Олег Александрович	386	7	27	13	29	10	8	17	11	4	4	41	32	31	10	24	14	30	39	25	7	3					
		2.84%	2.55%	3.71%	2.46%	4.02%	4.20%	1.92%	4.38%	4.07%	1.40%	2.70%	3.01%	2.80%	2.68%	3.09%	2.41%	1.34%	2.40%	3.91%	2.41%	3.74%	3.03%					
20	. Миронов Сергей Михайлович	95	3	4	4	9	2	7	0	5	1	0	7	5	14	3	7	3	7	8	5	1	0					
		0.70%	1.09%	0.55%	0.76%	1.25%	0.84%	1.68%	0.00%	1.85%	0.35%	0.00%	0.51%	0.44%	1.21%	0.93%	0.70%	0.29%	0.56%	0.80%	0.48%	0.53%	0.00%					
21	. Путин Владимир Владимирович	10432	232	605	392	526	174	275	271	207	239	125	1040	865	860	249	784	799	995	769	786	154	85					
		76.76%	84.67%	83.10%	74.24%	72.95%	73.11%	65.95%	69.85%	76.67%	83.86%	84.46%	76.30%	75.61%	74.39%	76.85%	78.87%	76.53%	79.66%	77.05%	75.87%	82.35%	85.86%					
22	. Хакамада Ирина Муцуовна	648	9	23	23	27	5	48	17	8	8	6	56	49	50	18	54	61	64	53	64	3	2					
		4.77%	3.28%	3.16%	4.36%	3.74%	2.10%	11.51%	4.38%	2.96%	2.81%	4.05%	4.11%	4.28%	4.33%	5.56%	5.43%	5.84%	5.12%	5.31%	6.18%	1.60%	2.02%					
23	. Харитонов Николай Михайлович	798	11	17	38	56	25	33	49	17	15	7	87	107	77	9	34	52	51	52	50	7	4					
		5.87%	4.01%	2.34%	7.20%	7.77%	10.50%	7.91%	12.63%	6.30%	5.26%	4.73%	6.38%	9.35%	6.66%	2.78%	3.42%	4.98%	4.08%	5.21%	4.83%	3.74%	4.04%					
																												
24	Против всех	701	4	25	32	33	15	35	16	14	7	3	57	45	65	25	63	81	63	45	59	9	5					
		5.16%	1.46%	3.43%	6.06%	4.58%	6.30%	8.39%	4.12%	5.19%	2.46%	2.03%	4.18%	3.93%	5.62%	7.72%	6.34%	7.76%	5.04%	4.51%	5.69%	4.81%	5.05%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
