Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Мясниковская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1493	УИК №1758	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №2566					
1	"Число избирателей, внесенных в список"	28100	1526	1348	2250	2277	2270	1684	1268	1945	2540	1070	380	770	476	242	2469	1491	645	1225	227	972	787	238					
2	Число полученных избирательных бюллетеней	27500	1500	1300	2250	2250	2250	1600	1230	1930	2550	1025	360	740	470	235	2300	1500	650	1200	220	940	770	230					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	21043	1335	1036	1808	1635	1596	1122	853	1610	2012	693	282	622	341	159	1238	1232	472	1058	188	833	725	193					
5	"Число избирательных бюллетеней, выданных вне помещения"	1144	22	70	23	32	26	11	55	36	193	109	9	20	46	22	80	170	71	28	12	59	25	25					
6	Число погашенных избирательных бюллетеней	5313	143	194	419	583	628	467	322	284	345	223	69	98	83	54	982	98	107	114	20	48	20	12					
7	Число избирательных бюллетеней в переносных ящиках	1144	22	70	23	32	26	11	55	36	193	109	9	20	46	22	80	170	71	28	12	59	25	25					
8	Число бюллетеней в стационарных ящиках для голосования	21032	1335	1036	1808	1635	1596	1111	853	1610	2012	693	282	622	341	159	1238	1232	472	1058	188	833	725	193					
9	Число недействительных избирательных бюллетеней	293	4	32	23	20	26	23	14	41	23	8	3	11	1	0	26	7	2	4	7	11	7	0					
10	Число действительных избирательных бюллетеней	21883	1353	1074	1808	1647	1596	1099	894	1605	2182	794	288	631	386	181	1292	1395	541	1082	193	881	743	218					
11	Число полученных открепительных  удостоверений	499	27	24	30	36	40	30	22	35	46	19	7	13	8	4	41	27	22	29	4	17	14	4					
12	Число выданных открепительных удостоверений	244	12	12	17	10	14	6	12	9	46	5	3	9	2	2	21	27	19	5	0	8	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	119	4	0	3	7	3	3	5	1	8	2	6	3	3	1	18	17	14	3	2	9	2	5					
14	Число неиспользованных открепительных удостоверений	255	15	12	13	26	26	24	10	26	0	14	4	4	6	2	20	0	3	24	4	9	9	4					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	810	49	35	69	69	75	41	32	37	72	43	9	37	11	4	32	66	27	45	9	29	7	12					
		3.65%	3.61%	3.16%	3.77%	4.14%	4.62%	3.65%	3.52%	2.25%	3.27%	5.36%	3.09%	5.76%	2.84%	2.21%	2.43%	4.71%	4.97%	4.14%	4.50%	3.25%	0.93%	5.50%					
19	. Малышкин Олег Александрович	338	8	16	15	31	16	16	16	18	34	15	3	6	6	3	24	27	11	23	9	23	14	4					
		1.52%	0.59%	1.45%	0.82%	1.86%	0.99%	1.43%	1.76%	1.09%	1.54%	1.87%	1.03%	0.93%	1.55%	1.66%	1.82%	1.93%	2.03%	2.12%	4.50%	2.58%	1.87%	1.83%					
20	. Миронов Сергей Михайлович	143	6	4	15	12	12	7	8	7	10	5	3	3	5	7	6	8	7	2	6	7	3	0					
		0.64%	0.44%	0.36%	0.82%	0.72%	0.74%	0.62%	0.88%	0.43%	0.45%	0.62%	1.03%	0.47%	1.29%	3.87%	0.46%	0.57%	1.29%	0.18%	3.00%	0.78%	0.40%	0.00%					
21	. Путин Владимир Владимирович	15345	1026	745	1298	1074	1022	649	649	1082	1794	469	190	370	261	124	801	1081	382	778	136	671	610	133					
		69.20%	75.61%	67.36%	70.89%	64.43%	63.01%	57.84%	71.48%	65.74%	81.36%	58.48%	65.29%	57.63%	67.44%	68.51%	60.77%	77.10%	70.35%	71.64%	68.00%	75.22%	81.33%	61.01%					
22	. Хакамада Ирина Муцуовна	549	32	24	39	61	32	41	33	32	30	31	10	13	5	9	56	27	13	15	2	17	10	17					
		2.48%	2.36%	2.17%	2.13%	3.66%	1.97%	3.65%	3.63%	1.94%	1.36%	3.87%	3.44%	2.02%	1.29%	4.97%	4.25%	1.93%	2.39%	1.38%	1.00%	1.91%	1.33%	7.80%					
23	. Харитонов Николай Михайлович	3973	186	206	307	330	359	327	113	374	190	205	68	174	83	30	333	148	82	195	27	120	83	33					
		17.92%	13.71%	18.63%	16.77%	19.80%	22.13%	29.14%	12.44%	22.72%	8.62%	25.56%	23.37%	27.10%	21.45%	16.57%	25.27%	10.56%	15.10%	17.96%	13.50%	13.45%	11.07%	15.14%					
																													
24	Против всех	725	46	44	65	70	80	18	43	55	52	26	5	28	15	4	40	38	19	24	4	14	16	19					
		3.27%	3.39%	3.98%	3.55%	4.20%	4.93%	1.60%	4.74%	3.34%	2.36%	3.24%	1.72%	4.36%	3.88%	2.21%	3.03%	2.71%	3.50%	2.21%	2.00%	1.57%	2.13%	8.72%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
