Выборы Президента Российской Федерации																																																																			
Дата голосования: 02.03.2008																																																																			
																																																																			
Наименование Избирательной комиссии:    Арзамасская																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
	Число участковых избирательных комиссий	60																																																																	
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	60																																																																	
																																																																			
		Сумма	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100					
1	"Число избирателей, включенных в списки избирателей"	32979	755	120	118	363	477	624	85	194	1678	1597	336	1014	460	1135	174	47	176	386	1370	1642	2124	1142	430	345	405	63	122	180	1860	600	1011	266	265	1014	715	86	517	433	491	88	294	266	86	290	304	329	363	225	138	105	458	111	667	1074	567	808	436	1366	89	95					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31780	700	110	115	350	450	600	80	180	1600	1600	320	990	450	1100	170	45	170	390	1300	1600	2000	1100	400	320	400	60	110	170	1800	590	1000	250	250	1000	700	80	500	400	500	110	270	250	80	270	300	300	350	230	130	100	450	100	650	1000	550	800	400	1300	90	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	22693	550	98	81	292	240	499	40	121	1320	1254	213	713	345	658	134	37	128	235	897	957	1260	745	276	258	234	24	80	128	1332	425	775	221	180	686	561	58	373	327	380	48	220	169	59	192	231	243	267	171	100	49	260	82	499	668	394	557	285	953	46	65					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	3567	72	12	18	13	194	91	35	43	48	44	69	168	68	230	26	6	30	66	25	157	116	36	75	61	137	36	30	36	77	49	107	27	64	76	96	22	56	44	68	28	14	52	12	46	20	42	38	35	24	38	55	13	72	90	33	102	93	93	26	13					
6	Число погашенных избирательных бюллетеней	5520	78	0	16	45	16	10	5	16	232	302	38	109	37	212	10	2	12	89	378	486	624	319	49	1	29	0	0	6	391	116	118	2	6	238	43	0	71	29	52	34	36	29	9	32	49	15	45	24	6	13	135	5	79	242	123	141	22	254	18	22					
