Выборы Президента Российской Федерации																
																
Наименование Избирательной комиссии:    Шаройская																
																
Итоги голосования 																
																
		Сумма	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312					
1	"Число избирателей, внесенных в список"	1362	232	144	276	149	180	151	122	51	57					
2	Число полученных избирательных бюллетеней	1380	235	150	280	150	180	155	122	51	57					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	1285	220	137	251	145	171	144	115	49	53					
5	"Число избирательных бюллетеней, выданных вне помещения"	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	95	15	13	29	5	9	11	7	2	4					
7	Число избирательных бюллетеней в переносных ящиках	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1285	220	137	251	145	171	144	115	49	53					
9	Число недействительных избирательных бюллетеней	12	6	4	1	0	1	0	0	0	0					
10	Число действительных избирательных бюллетеней	1273	214	133	250	145	170	144	115	49	53					
11	Число полученных открепительных  удостоверений	80	10	10	10	10	10	10	10	5	5					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	80	10	10	10	10	10	10	10	5	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																
18	. Глазьев Сергей Юрьевич	15	2	3	1	0	7	0	0	0	2					
		1.17%	0.91%	2.19%	0.40%	0.00%	4.09%	0.00%	0.00%	0.00%	3.77%					
19	. Малышкин Олег Александрович	4	0	1	0	1	0	0	2	0	0					
		0.31%	0.00%	0.73%	0.00%	0.69%	0.00%	0.00%	1.74%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	8	3	0	2	0	0	0	2	0	1					
		0.62%	1.36%	0.00%	0.80%	0.00%	0.00%	0.00%	1.74%	0.00%	1.89%					
21	. Путин Владимир Владимирович	1074	170	90	225	131	143	133	95	49	38					
		83.58%	77.27%	65.69%	89.64%	90.34%	83.63%	92.36%	82.61%	100.00%	71.70%					
22	. Хакамада Ирина Муцуовна	74	2	7	7	13	18	10	11	0	6					
		5.76%	0.91%	5.11%	2.79%	8.97%	10.53%	6.94%	9.57%	0.00%	11.32%					
23	. Харитонов Николай Михайлович	19	0	2	12	0	1	0	0	0	4					
		1.48%	0.00%	1.46%	4.78%	0.00%	0.58%	0.00%	0.00%	0.00%	7.55%					
																
24	Против всех	79	37	30	3	0	1	1	5	0	2					
		6.15%	16.82%	21.90%	1.20%	0.00%	0.58%	0.69%	4.35%	0.00%	3.77%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
