Выборы Президента Российской Федерации																																
																																
Наименование Избирательной комиссии:    Иссинская																																
																																
Итоги голосования 																																
																																
		Сумма	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394	УИК  395					
1	"Число избирателей, внесенных в список"	10096	795	82	166	418	146	267	84	419	142	134	219	1392	1451	1649	265	389	123	287	107	124	382	146	398	239	272					
2	Число полученных избирательных бюллетеней	10076	802	83	167	422	147	266	87	419	140	133	220	1386	1450	1618	264	392	124	287	109	123	382	147	400	231	277					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6736	511	65	91	301	103	188	74	348	131	112	144	819	767	897	232	338	102	241	90	100	290	115	307	159	211					
5	"Число избирательных бюллетеней, выданных вне помещения"	860	36	6	36	31	25	61	0	30	0	10	49	76	155	90	20	25	11	22	11	12	23	21	47	47	16					
6	Число погашенных избирательных бюллетеней	2480	255	12	40	90	19	17	13	41	9	11	27	491	528	631	12	29	11	24	8	11	69	11	46	25	50					
7	Число избирательных бюллетеней в переносных ящиках	860	36	6	36	31	25	61	0	30	0	10	49	76	155	90	20	25	11	22	11	12	23	21	47	47	16					
8	Число бюллетеней в стационарных ящиках для голосования	6727	511	65	91	301	103	188	74	348	131	112	144	819	767	888	232	338	102	241	90	100	290	115	307	159	211					
9	Число недействительных избирательных бюллетеней	77	17	1	1	3	1	0	1	2	0	0	0	7	5	0	4	1	0	1	0	3	2	0	20	4	4					
10	Число действительных избирательных бюллетеней	7510	530	70	126	329	127	249	73	376	131	122	193	888	917	978	248	362	113	262	101	109	311	136	334	202	223					
11	Число полученных открепительных  удостоверений	164	13	2	2	6	2	4	2	7	2	2	3	22	23	25	4	7	2	4	2	2	11	2	6	5	4					
12	Число выданных открепительных удостоверений	65	7	0	0	0	0	0	1	1	0	0	1	7	16	12	0	2	0	1	0	0	8	0	4	3	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	3	1	2	0	0	0	1	2	1	2	1	3	5	5	1	1	1	3	0	4	0	1	3	4	4					
14	Число неиспользованных открепительных удостоверений	99	6	2	2	6	2	4	1	6	2	2	2	15	7	13	4	5	2	3	2	2	3	2	2	2	2					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																
