Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Нюксенская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673					
1	"Число избирателей, внесенных в список"	8894	308	270	167	383	258	260	175	264	311	719	235	47	215	141	173	36	674	85	390	1516	362	1526	379					
2	Число полученных избирательных бюллетеней	9017	300	270	180	380	270	270	180	260	310	720	240	47	215	140	180	40	670	90	405	1550	370	1550	380					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5479	208	223	129	252	176	153	139	147	198	365	109	33	108	94	122	20	391	59	102	930	255	1006	260					
5	"Число избирательных бюллетеней, выданных вне помещения"	1533	65	14	23	51	61	84	12	80	22	183	99	7	75	33	33	12	82	15	252	122	24	102	82					
6	Число погашенных избирательных бюллетеней	2005	27	33	28	77	33	33	29	33	90	172	32	7	32	13	25	8	197	16	51	498	91	442	38					
7	Число избирательных бюллетеней в переносных ящиках	1533	65	14	23	51	61	84	12	80	22	183	99	7	75	33	33	12	82	15	252	122	24	102	82					
8	Число бюллетеней в стационарных ящиках для голосования	5479	208	223	129	252	176	153	139	147	198	365	109	33	108	94	122	20	391	59	102	930	255	1006	260					
9	Число недействительных избирательных бюллетеней	60	1	0	1	4	0	0	6	7	2	4	6	0	0	2	0	0	5	0	2	14	0	2	4					
10	Число действительных избирательных бюллетеней	6952	272	237	151	299	237	237	145	220	218	544	202	40	183	125	155	32	468	74	352	1038	279	1106	338					
11	Число полученных открепительных  удостоверений	190	5	5	10	5	10	10	5	5	5	15	5	3	5	5	5	2	15	5	5	30	10	20	5					
12	Число выданных открепительных удостоверений	102	0	2	6	5	7	10	1	0	2	3	1	0	0	4	2	2	6	0	2	25	7	14	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	52	1	2	1	3	0	3	1	1	1	5	3	1	0	2	0	3	5	2	1	4	5	7	1					
14	Число неиспользованных открепительных удостоверений	88	5	3	4	0	3	0	4	5	3	12	4	3	5	1	3	0	9	5	3	5	3	6	2					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	110	4	3	1	0	2	2	1	3	2	10	2	0	3	3	6	0	9	0	11	20	5	20	3					
		1.57%	1.47%	1.27%	0.66%	0.00%	0.84%	0.84%	0.66%	1.32%	0.91%	1.82%	0.96%	0.00%	1.64%	2.36%	3.87%	0.00%	1.90%	0.00%	3.11%	1.90%	1.79%	1.81%	0.88%					
19	. Малышкин Олег Александрович	118	10	1	4	2	6	3	2	5	2	12	5	1	1	3	0	0	8	1	9	18	5	16	4					
		1.68%	3.66%	0.42%	2.63%	0.66%	2.53%	1.27%	1.32%	2.20%	0.91%	2.19%	2.40%	2.50%	0.55%	2.36%	0.00%	0.00%	1.69%	1.35%	2.54%	1.71%	1.79%	1.44%	1.17%					
20	. Миронов Сергей Михайлович	36	2	1	3	3	0	0	0	2	0	5	1	0	3	1	0	0	0	0	0	8	2	3	2					
		0.51%	0.73%	0.42%	1.97%	0.99%	0.00%	0.00%	0.00%	0.88%	0.00%	0.91%	0.48%	0.00%	1.64%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.72%	0.27%	0.58%					
21	. Путин Владимир Владимирович	5574	240	217	118	242	167	212	133	184	156	406	164	28	123	92	122	25	333	58	275	866	211	914	288					
		79.49%	87.91%	91.56%	77.63%	79.87%	70.46%	89.45%	88.08%	81.06%	70.91%	74.09%	78.85%	70.00%	67.21%	72.44%	78.71%	78.12%	70.40%	78.38%	77.68%	82.32%	75.63%	82.49%	84.21%					
22	. Хакамада Ирина Муцуовна	145	1	3	6	3	5	1	0	0	4	3	3	0	1	4	1	2	32	0	7	21	4	37	7					
		2.07%	0.37%	1.27%	3.95%	0.99%	2.11%	0.42%	0.00%	0.00%	1.82%	0.55%	1.44%	0.00%	0.55%	3.15%	0.65%	6.25%	6.77%	0.00%	1.98%	2.00%	1.43%	3.34%	2.05%					
23	. Харитонов Николай Михайлович	854	14	10	18	46	56	15	5	26	49	98	21	10	52	20	24	5	78	13	44	87	42	92	29					
		12.18%	5.13%	4.22%	11.84%	15.18%	23.63%	6.33%	3.31%	11.45%	22.27%	17.88%	10.10%	25.00%	28.42%	15.75%	15.48%	15.62%	16.49%	17.57%	12.43%	8.27%	15.05%	8.30%	8.48%					
																														
