Выборы Президента Российской Федерации																																																		
																																																		
Наименование Избирательной комиссии:    Партизанская городская																																																		
																																																		
Итоги голосования 																																																		
																																																		
		Сумма	УИК  748	УИК  749	УИК  750	УИК  751	УИК  752	УИК  753	УИК  754	УИК  755	УИК  756	УИК  757	УИК  758	УИК  759	УИК  760	УИК  761	УИК  762	УИК  763	УИК  764	УИК  765	УИК  766	УИК  767	УИК  768	УИК  769	УИК  770	УИК  771	УИК  772	УИК  773	УИК  774	УИК  775	УИК  776	УИК  777	УИК  778	УИК  779	УИК  780	УИК  781	УИК  782	УИК  783	УИК  784	УИК  785	УИК  786	УИК  787	УИК  788	УИК  789	УИК №790					
1	"Число избирателей, внесенных в список"	41237	797	1458	1087	640	773	899	1094	1061	1795	1221	1087	888	1515	1245	862	1668	1500	1600	458	560	1880	1270	808	1358	1717	278	236	1389	1176	759	803	95	2544	774	2004	164	88	201	111	259	633	324	158					
2	Число полученных избирательных бюллетеней	43897	806	1446	1108	702	821	949	1116	1138	1875	1324	1110	936	1667	1282	877	1746	1567	1644	505	712	2156	1369	907	1319	1635	351	256	1462	1282	788	883	115	2619	801	2506	175	95	229	120	262	712	342	182					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	22505	411	838	622	377	439	411	492	633	942	739	593	414	685	628	439	897	857	913	219	265	965	629	463	689	1140	127	233	744	645	326	477	66	1463	409	1094	134	65	164	81	135	299	185	158					
5	"Число избирательных бюллетеней, выданных вне помещения"	2258	12	58	144	31	24	68	65	21	75	43	70	67	102	17	60	56	79	41	56	55	118	74	25	57	45	39	3	77	41	71	105	0	105	74	114	10	18	17	10	33	47	31	0					
6	Число погашенных избирательных бюллетеней	19134	383	550	342	294	358	470	559	484	858	542	447	455	880	637	378	793	631	690	230	392	1073	666	419	573	450	185	20	641	596	391	301	49	1051	318	1298	31	12	48	29	94	366	126	24					
7	Число избирательных бюллетеней в переносных ящиках	2258	12	58	144	31	24	68	65	21	75	43	70	67	102	17	60	56	79	41	56	55	118	74	25	57	45	39	3	77	41	71	105	0	105	74	114	10	18	17	10	33	47	31	0					
8	Число бюллетеней в стационарных ящиках для голосования	22505	411	838	622	377	439	411	492	633	942	739	593	414	685	628	439	897	857	913	219	265	965	629	463	689	1140	127	233	744	645	326	477	66	1463	409	1094	134	65	164	81	135	299	185	158					
9	Число недействительных избирательных бюллетеней	341	2	12	10	14	9	8	2	8	17	3	8	7	9	4	5	0	12	17	2	2	17	9	7	17	10	2	0	13	12	3	4	0	46	11	14	6	1	5	0	4	7	1	1					
10	Число действительных избирательных бюллетеней	24422	421	884	756	394	454	471	555	646	1000	779	655	474	778	641	494	953	924	937	273	318	1066	694	481	729	1175	164	236	808	674	394	578	66	1522	472	1194	138	82	176	91	164	339	215	157					
