Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Краснокаменская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК  421	УИК  422	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459					
1	"Число избирателей, внесенных в список"	51610	1763	1498	1258	1276	1247	1230	1410	1453	1512	1502	1946	1683	1641	1595	1908	2020	1538	1524	2009	1843	1507	1928	1664	1997	1999	2052	157	1629	548	1008	1269	890	522	223	503	549	765	346	198					
2	Число полученных избирательных бюллетеней	49100	1700	1400	1200	1200	1200	1100	1400	1400	1400	1400	1800	1600	1500	1500	1800	1900	1500	1400	1900	1700	1400	1800	1600	1900	1900	1900	600	1500	500	900	1200	850	500	200	500	550	750	350	200					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	28266	1032	818	706	677	675	514	730	792	821	891	1084	973	933	863	1071	916	912	840	1121	1049	825	1126	906	1096	1091	1113	71	788	287	499	591	487	349	136	315	316	458	225	169					
5	"Число избирательных бюллетеней, выданных вне помещения"	726	12	18	9	13	12	22	16	14	18	11	18	10	13	20	27	10	5	10	19	5	11	10	2	13	13	16	76	14	26	59	42	36	15	31	21	14	28	13	4					
6	Число погашенных избирательных бюллетеней	20108	656	564	485	510	513	564	654	594	561	498	698	617	554	617	702	974	583	550	760	646	564	664	692	791	796	771	453	698	187	342	567	327	136	33	164	220	264	112	27					
7	Число избирательных бюллетеней в переносных ящиках	726	12	18	9	13	12	22	16	14	18	11	18	10	13	20	27	10	5	10	19	5	11	10	2	13	13	16	76	14	26	59	42	36	15	31	21	14	28	13	4					
8	Число бюллетеней в стационарных ящиках для голосования	28244	1032	818	706	676	675	514	730	791	821	891	1084	971	933	862	1070	915	912	840	1120	1048	823	1126	905	1095	1091	1111	71	788	287	499	584	487	349	136	315	316	458	225	169					
9	Число недействительных избирательных бюллетеней	256	8	7	13	6	11	4	8	6	2	7	6	14	11	8	10	13	3	2	6	1	3	5	3	4	2	11	1	13	8	8	9	6	9	1	6	6	12	2	1					
10	Число действительных избирательных бюллетеней	28714	1036	829	702	683	676	532	738	799	837	895	1096	967	935	874	1087	912	914	848	1133	1052	831	1131	904	1104	1102	1116	146	789	305	550	617	517	355	166	330	324	474	236	172					
11	Число полученных открепительных  удостоверений	660	20	20	20	20	20	20	25	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	25	20	20	0	20	10	10	10	10	10	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	353	18	10	6	11	7	7	21	7	10	10	10	15	10	10	15	18	11	15	12	15	14	6	5	18	17	11	0	11	5	3	3	1	5	2	1	3	3	4	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	228	3	3	0	2	3	19	0	0	1	1	3	2	2	1	0	2	1	5	3	1	2	1	0	0	2	1	147	3	0	0	7	3	2	0	0	3	2	2	1					
14	Число неиспользованных открепительных удостоверений	307	2	10	14	9	13	13	4	13	10	10	10	5	10	10	5	2	9	5	8	5	6	14	15	7	3	9	0	9	5	7	7	9	5	8	9	7	7	6	7					
15	"Число открепительных удостоверений, выданных в ТИК"	27	2	2	0	1	2	0	0	1	0	0	0	0	1	0	1	1	3	1	1	1	0	1	2	1	1	4	0	1	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																														
