Выборы Президента Российской Федерации																														
																														
Наименование Избирательной комиссии:    Троснянская																														
																														
Итоги голосования 																														
																														
		Сумма	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694					
1	"Число избирателей, внесенных в список"	9128	1974	101	180	139	506	127	750	248	336	121	376	251	159	120	443	470	504	171	749	252	414	416	321					
2	Число полученных избирательных бюллетеней	9375	2027	102	180	138	512	128	768	249	341	130	387	261	167	130	448	472	508	174	777	255	467	432	322					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7983	1451	101	144	117	427	110	638	234	311	101	342	247	158	103	432	443	435	162	742	245	334	392	314					
5	"Число избирательных бюллетеней, выданных вне помещения"	556	96	0	34	20	57	16	84	9	15	17	18	0	0	10	3	13	61	3	4	5	70	21	0					
6	Число погашенных избирательных бюллетеней	836	480	1	2	1	28	2	46	6	15	12	27	14	9	17	13	16	12	9	31	5	63	19	8					
7	Число избирательных бюллетеней в переносных ящиках	556	96	0	34	20	57	16	84	9	15	17	18	0	0	10	3	13	61	3	4	5	70	21	0					
8	Число бюллетеней в стационарных ящиках для голосования	7983	1451	101	144	117	427	110	638	234	311	101	342	247	158	103	432	443	435	162	742	245	334	392	314					
9	Число недействительных избирательных бюллетеней	31	15	0	7	0	1	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	1	0	1					
10	Число действительных избирательных бюллетеней	8508	1532	101	171	137	483	126	721	243	326	118	360	247	158	113	435	451	496	165	746	250	403	413	313					
11	Число полученных открепительных  удостоверений	170	60	3	4	4	6	2	8	4	4	2	5	5	3	7	7	7	7	3	8	3	6	6	6					
12	Число выданных открепительных удостоверений	69	45	0	2	0	0	0	3	0	0	0	1	0	0	5	3	4	0	0	3	2	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	92	20	4	3	3	1	1	4	2	1	1	2	2	2	3	2	4	25	4	3	1	1	1	2					
14	Число неиспользованных открепительных удостоверений	101	15	3	2	4	6	2	5	4	4	2	4	5	3	2	4	3	7	3	5	1	6	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	23	2	4	0	2	2	0	2	0	1	0	0	2	0	0	0	0	0	0	2	0	1	1	4					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																														
18	. Глазьев Сергей Юрьевич	145	57	2	5	3	2	0	7	3	0	0	5	4	5	0	10	10	4	3	14	0	3	7	1					
		1.70%	3.68%	1.98%	2.81%	2.19%	0.41%	0.00%	0.97%	1.23%	0.00%	0.00%	1.39%	1.62%	3.16%	0.00%	2.30%	2.19%	0.81%	1.82%	1.88%	0.00%	0.74%	1.69%	0.32%					
19	. Малышкин Олег Александрович	181	54	5	2	1	16	2	14	9	1	9	6	1	0	2	6	14	14	0	9	0	4	2	10					
		2.12%	3.49%	4.95%	1.12%	0.73%	3.31%	1.59%	1.94%	3.70%	0.31%	7.63%	1.67%	0.40%	0.00%	1.77%	1.38%	3.07%	2.82%	0.00%	1.21%	0.00%	0.99%	0.48%	3.18%					
20	. Миронов Сергей Михайлович	65	23	0	2	0	4	0	9	3	3	0	3	0	0	2	1	0	5	0	6	1	1	2	0					
		0.76%	1.49%	0.00%	1.12%	0.00%	0.83%	0.00%	1.25%	1.23%	0.92%	0.00%	0.83%	0.00%	0.00%	1.77%	0.23%	0.00%	1.01%	0.00%	0.80%	0.40%	0.25%	0.48%	0.00%					
21	. Путин Владимир Владимирович	6013	878	68	130	95	350	70	549	193	278	80	223	217	114	86	312	267	361	143	662	184	302	332	119					
		70.42%	56.76%	67.33%	73.03%	69.34%	72.31%	55.56%	76.04%	79.42%	85.28%	67.80%	61.94%	87.85%	72.15%	76.11%	71.72%	58.55%	72.78%	86.67%	88.74%	73.60%	74.75%	80.39%	37.90%					
22	. Хакамада Ирина Муцуовна	122	41	1	4	4	2	1	7	2	2	0	2	0	0	3	8	7	7	1	7	1	1	12	9					
		1.43%	2.65%	0.99%	2.25%	2.92%	0.41%	0.79%	0.97%	0.82%	0.61%	0.00%	0.56%	0.00%	0.00%	2.65%	1.84%	1.54%	1.41%	0.61%	0.94%	0.40%	0.25%	2.91%	2.87%					
23	. Харитонов Николай Михайлович	1833	426	23	28	29	103	50	127	31	41	29	118	23	37	19	86	139	86	16	43	64	91	55	169					
		21.47%	27.54%	22.77%	15.73%	21.17%	21.28%	39.68%	17.59%	12.76%	12.58%	24.58%	32.78%	9.31%	23.42%	16.81%	19.77%	30.48%	17.34%	9.70%	5.76%	25.60%	22.52%	13.32%	53.82%					
																														
24	Против всех	149	53	2	0	5	6	3	8	2	1	0	3	2	2	1	12	14	19	2	5	0	1	3	5					
		1.74%	3.43%	1.98%	0.00%	3.65%	1.24%	2.38%	1.11%	0.82%	0.31%	0.00%	0.83%	0.81%	1.27%	0.88%	2.76%	3.07%	3.83%	1.21%	0.67%	0.00%	0.25%	0.73%	1.59%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
