Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Тенькинская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131					
1	"Число избирателей, внесенных в список"	5782	199	1958	1786	219	106	477	543	279	134	81					
2	Число полученных избирательных бюллетеней	5876	225	1935	1736	227	100	538	557	287	171	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	163	0	88	75	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3088	156	911	839	150	81	259	319	164	130	79					
5	"Число избирательных бюллетеней, выданных вне помещения"	198	7	75	39	10	5	32	22	4	4	0					
6	Число погашенных избирательных бюллетеней	2427	62	861	783	67	14	247	216	119	37	21					
7	Число избирательных бюллетеней в переносных ящиках	361	7	163	114	10	5	32	22	4	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	3088	156	911	839	150	81	259	319	164	130	79					
9	Число недействительных избирательных бюллетеней	14	0	1	5	1	1	1	3	2	0	0					
10	Число действительных избирательных бюллетеней	3435	163	1073	948	159	85	290	338	166	134	79					
11	Число полученных открепительных  удостоверений	180	15	35	30	15	15	15	15	15	15	10					
12	Число выданных открепительных удостоверений	44	11	8	7	0	0	2	4	0	11	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	23	0	16	3	0	1	0	0	2	1	0					
14	Число неиспользованных открепительных удостоверений	136	4	27	23	15	15	13	11	15	4	9					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	137	6	51	37	11	5	6	11	6	3	1					
		3.97%	3.68%	4.75%	3.88%	6.88%	5.81%	2.06%	3.23%	3.57%	2.24%	1.27%					
19	. Малышкин Олег Александрович	126	6	46	43	6	0	5	9	6	5	0					
		3.65%	3.68%	4.28%	4.51%	3.75%	0.00%	1.72%	2.64%	3.57%	3.73%	0.00%					
20	. Миронов Сергей Михайлович	28	0	16	8	0	0	1	2	0	1	0					
		0.81%	0.00%	1.49%	0.84%	0.00%	0.00%	0.34%	0.59%	0.00%	0.75%	0.00%					
21	. Путин Владимир Владимирович	2560	124	765	685	121	74	243	267	127	91	63					
		74.22%	76.07%	71.23%	71.88%	75.62%	86.05%	83.51%	78.30%	75.60%	67.91%	79.75%					
22	. Хакамада Ирина Муцуовна	133	6	45	49	3	3	10	8	3	4	2					
		3.86%	3.68%	4.19%	5.14%	1.88%	3.49%	3.44%	2.35%	1.79%	2.99%	2.53%					
23	. Харитонов Николай Михайлович	310	10	99	86	11	2	20	32	18	20	12					
		8.99%	6.13%	9.22%	9.02%	6.88%	2.33%	6.87%	9.38%	10.71%	14.93%	15.19%					
																	
24	Против всех	141	11	51	40	7	1	5	9	6	10	1					
		4.09%	6.75%	4.75%	4.20%	4.38%	1.16%	1.72%	2.64%	3.57%	7.46%	1.27%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
