Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Ахвахская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  65	УИК  66	УИК  67	УИК  68	УИК  69	УИК  70	УИК  71	УИК  72	УИК  73	УИК  74	УИК  75	УИК  76	УИК  77	УИК  78	УИК  79	УИК  80	УИК  81	УИК  82	УИК  83	УИК  84	УИК  85	УИК  86	УИК  87	УИК  88	УИК  89	УИК  90	УИК  91					
1	"Число избирателей, внесенных в список"	12081	2661	151	431	122	256	334	529	417	281	352	682	743	316	413	154	338	618	407	386	319	266	229	64	78	247	960	327					
2	Число полученных избирательных бюллетеней	12007	2656	151	423	121	250	329	521	413	279	351	678	743	315	410	154	336	618	404	381	315	264	226	64	77	244	959	325					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	10766	2542	142	383	109	216	316	486	389	234	322	651	667	283	390	147	312	560	381	353	291	250	215	60	71	234	453	309					
5	"Число избирательных бюллетеней, выданных вне помещения"	278	34	0	10	5	22	0	15	2	28	11	0	50	19	8	1	4	33	7	13	5	9	0	0	2	0	0	0					
6	Число погашенных избирательных бюллетеней	963	80	9	30	7	12	13	20	22	17	18	27	26	13	12	6	20	25	16	15	19	5	11	4	4	10	506	16					
7	Число избирательных бюллетеней в переносных ящиках	278	34	0	10	5	22	0	15	2	28	11	0	50	19	8	1	4	33	7	13	5	9	0	0	2	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	10732	2533	138	383	104	216	315	486	389	234	322	651	667	276	384	145	312	560	381	353	291	250	215	60	71	234	453	309					
9	Число недействительных избирательных бюллетеней	50	9	1	0	1	3	0	5	4	0	2	0	0	0	3	0	0	7	0	2	0	9	0	0	0	1	0	3					
10	Число действительных избирательных бюллетеней	10960	2558	137	393	108	235	315	496	387	262	331	651	717	295	389	146	316	586	388	364	296	250	215	60	73	233	453	306					
11	Число полученных открепительных  удостоверений	300	40	5	10	5	5	10	13	12	10	10	13	15	10	12	5	10	13	12	10	10	10	10	5	5	10	20	10					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	300	40	5	10	5	5	10	13	12	10	10	13	15	10	12	5	10	13	12	10	10	10	10	5	5	10	20	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																		
18	. Глазьев Сергей Юрьевич	99	3	1	2	3	4	8	6	9	3	1	4	9	4	2	3	2	9	8	3	1	1	4	7	1	0	0	1					
		0.90%	0.12%	0.72%	0.51%	2.75%	1.68%	2.54%	1.20%	2.30%	1.15%	0.30%	0.61%	1.26%	1.36%	0.51%	2.05%	0.63%	1.52%	2.06%	0.82%	0.34%	0.39%	1.86%	11.67%	1.37%	0.00%	0.00%	0.32%					
19	. Малышкин Олег Александрович	53	1	0	0	0	6	0	3	0	5	4	1	0	1	0	4	0	3	3	9	1	0	8	2	0	2	0	0					
