Выборы Президента Российской Федерации																																											
																																											
Наименование Избирательной комиссии:    Чаплыгинская территориальная избирательная комиссия																																											
																																											
Итоги голосования 																																											
																																											
		Сумма	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893					
1	"Число избирателей, внесенных в список"	25976	2876	2658	2406	2251	324	291	489	335	123	334	690	676	339	298	355	1699	913	1024	377	469	294	112	335	383	278	125	928	387	354	737	671	113	386	371	915	660					
2	Число полученных избирательных бюллетеней	26071	2862	2591	2415	2133	334	303	519	337	122	344	717	700	345	299	354	1745	919	1039	387	477	302	118	358	388	287	122	934	399	352	677	709	104	403	388	912	676					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13880	1600	1317	1369	1155	171	192	248	219	57	287	314	365	137	110	163	864	502	558	213	195	197	71	140	213	161	74	547	219	101	413	432	58	166	149	485	418					
5	"Число избирательных бюллетеней, выданных вне помещения"	4721	174	225	136	199	126	71	169	77	48	32	183	180	167	119	170	163	89	71	101	244	67	36	163	122	90	27	218	119	173	116	140	23	180	181	204	118					
6	Число погашенных избирательных бюллетеней	7470	1088	1049	910	779	37	40	102	41	17	25	220	155	41	70	21	718	328	410	73	38	38	11	55	53	36	21	169	61	78	148	137	23	57	58	223	140					
7	Число избирательных бюллетеней в переносных ящиках	4721	174	225	136	199	126	71	169	77	48	32	183	180	167	119	170	163	89	71	101	244	67	36	163	122	90	27	218	119	173	116	140	23	180	181	204	118					
8	Число бюллетеней в стационарных ящиках для голосования	13878	1599	1316	1369	1155	171	192	248	219	57	287	314	365	137	110	163	864	502	558	213	195	197	71	140	213	161	74	547	219	101	413	432	58	166	149	485	418					
9	Число недействительных избирательных бюллетеней	183	16	16	7	11	2	3	3	4	0	4	9	6	1	2	3	9	11	8	4	1	1	1	2	4	1	1	8	3	0	9	2	0	11	1	11	8					
10	Число действительных избирательных бюллетеней	18416	1757	1525	1498	1343	295	260	414	292	105	315	488	539	303	227	330	1018	580	621	310	438	263	106	301	331	250	100	757	335	274	520	570	81	335	329	678	528					
11	Число полученных открепительных  удостоверений	653	60	50	50	50	15	10	22	13	5	10	20	20	11	10	11	35	20	20	11	10	10	5	10	11	10	5	20	11	10	15	25	5	15	13	20	15					
12	Число выданных открепительных удостоверений	414	28	29	15	26	15	10	14	13	0	8	20	20	10	6	10	17	4	13	11	10	7	0	0	11	1	0	19	6	0	9	22	0	15	11	19	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	153	15	11	19	21	3	1	7	1	1	2	1	1	3	2	6	8	5	2	0	1	1	0	2	2	1	3	6	2	0	5	7	3	1	3	5	2					
14	Число неиспользованных открепительных удостоверений	239	32	21	35	24	0	0	8	0	5	2	0	0	1	4	1	18	16	7	0	0	3	5	10	0	9	5	1	5	10	6	3	5	0	2	1	0					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																											
18	. Глазьев Сергей Юрьевич	440	69	57	52	49	0	3	8	6	2	1	4	7	11	2	0	19	15	15	3	7	4	0	2	3	3	0	10	3	10	17	15	0	4	9	8	22					
		2.37%	3.89%	3.70%	3.46%	3.62%	0.00%	1.14%	1.92%	2.03%	1.90%	0.31%	0.80%	1.28%	3.62%	0.87%	0.00%	1.85%	2.54%	2.38%	0.96%	1.59%	1.52%	0.00%	0.66%	0.90%	1.20%	0.00%	1.31%	0.89%	3.65%	3.21%	2.62%	0.00%	1.16%	2.73%	1.16%	4.10%					
19	. Малышкин Олег Александрович	450	43	46	38	34	8	4	8	4	1	1	10	13	6	3	4	20	19	18	18	9	1	1	4	5	5	6	17	3	13	18	17	1	4	11	9	28					
		2.42%	2.43%	2.99%	2.52%	2.51%	2.69%	1.52%	1.92%	1.35%	0.95%	0.31%	2.01%	2.39%	1.97%	1.31%	1.20%	1.95%	3.21%	2.86%	5.73%	2.05%	0.38%	0.93%	1.32%	1.49%	1.99%	5.94%	2.22%	0.89%	4.74%	3.40%	2.97%	1.23%	1.16%	3.33%	1.31%	5.22%					
20	. Миронов Сергей Михайлович	100	8	12	15	3	3	0	3	1	0	0	2	4	1	1	0	6	5	3	3	0	1	1	1	3	2	0	3	3	3	1	3	0	1	2	5	1					
		0.54%	0.45%	0.78%	1.00%	0.22%	1.01%	0.00%	0.72%	0.34%	0.00%	0.00%	0.40%	0.73%	0.33%	0.44%	0.00%	0.58%	0.85%	0.48%	0.96%	0.00%	0.38%	0.93%	0.33%	0.90%	0.80%	0.00%	0.39%	0.89%	1.09%	0.19%	0.52%	0.00%	0.29%	0.61%	0.73%	0.19%					
21	. Путин Владимир Владимирович	12922	1175	952	952	889	187	184	325	204	87	283	404	369	245	173	298	736	419	449	162	344	147	76	219	236	151	70	565	245	193	409	449	40	242	230	482	331					
		69.48%	66.27%	61.78%	63.26%	65.66%	62.96%	69.96%	77.94%	68.92%	82.86%	88.71%	81.29%	67.71%	80.59%	75.55%	89.49%	71.67%	70.90%	71.38%	51.59%	78.36%	55.68%	71.03%	72.28%	70.45%	60.16%	69.31%	73.86%	72.49%	70.44%	77.32%	78.50%	49.38%	69.94%	69.70%	69.96%	61.75%					
22	. Хакамада Ирина Муцуовна	225	34	18	18	25	1	5	1	3	1	2	3	1	4	4	4	15	14	8	7	2	2	0	5	5	0	1	12	6	4	4	4	0	1	1	3	7					
		1.21%	1.92%	1.17%	1.20%	1.85%	0.34%	1.90%	0.24%	1.01%	0.95%	0.63%	0.60%	0.18%	1.32%	1.75%	1.20%	1.46%	2.37%	1.27%	2.23%	0.46%	0.76%	0.00%	1.65%	1.49%	0.00%	0.99%	1.57%	1.78%	1.46%	0.76%	0.70%	0.00%	0.29%	0.30%	0.44%	1.31%					
23	. Харитонов Николай Михайлович	3794	369	380	349	298	91	64	63	65	14	24	59	130	34	41	22	196	93	109	110	72	105	25	67	70	87	17	124	71	47	62	62	40	79	71	159	125					
		20.40%	20.81%	24.66%	23.19%	22.01%	30.64%	24.33%	15.11%	21.96%	13.33%	7.52%	11.87%	23.85%	11.18%	17.90%	6.61%	19.08%	15.74%	17.33%	35.03%	16.40%	39.77%	23.36%	22.11%	20.90%	34.66%	16.83%	16.21%	21.01%	17.15%	11.72%	10.84%	49.38%	22.83%	21.52%	23.08%	23.32%					
																																											
24	Против всех	485	59	60	74	45	5	0	6	9	0	4	6	15	2	3	2	26	15	19	7	4	3	3	3	9	2	6	26	4	4	9	20	0	4	5	12	14					
		2.61%	3.33%	3.89%	4.92%	3.32%	1.68%	0.00%	1.44%	3.04%	0.00%	1.25%	1.21%	2.75%	0.66%	1.31%	0.60%	2.53%	2.54%	3.02%	2.23%	0.91%	1.14%	2.80%	0.99%	2.69%	0.80%	5.94%	3.40%	1.18%	1.46%	1.70%	3.50%	0.00%	1.16%	1.52%	1.74%	2.61%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
