Выборы Президента Российской Федерации																										
																										
Наименование Избирательной комиссии:    Шимская																										
																										
Итоги голосования 																										
																										
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569					
1	"Число избирателей, внесенных в список"	9705	186	119	443	198	465	270	290	112	2962	411	164	271	221	114	1369	1251	376	196	287					
2	Число полученных избирательных бюллетеней	9694	180	119	451	198	463	272	299	115	2992	414	164	268	199	108	1363	1256	352	198	283					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	5272	114	85	252	127	274	196	152	75	1439	205	121	148	132	90	660	647	225	156	174					
5	"Число избирательных бюллетеней, выданных вне помещения"	673	23	9	21	19	60	7	38	9	103	75	10	41	27	10	107	71	25	0	18					
6	Число погашенных избирательных бюллетеней	3749	43	25	178	52	129	69	109	31	1450	134	33	79	40	8	596	538	102	42	91					
7	Число избирательных бюллетеней в переносных ящиках	673	23	9	21	19	60	7	38	9	103	75	10	41	27	10	107	71	25	0	18					
8	Число бюллетеней в стационарных ящиках для голосования	5271	114	85	252	127	274	196	152	75	1439	205	121	148	132	90	660	646	225	156	174					
9	Число недействительных избирательных бюллетеней	22	0	0	3	0	0	0	0	0	7	0	0	1	0	0	6	4	1	0	0					
10	Число действительных избирательных бюллетеней	5922	137	94	270	146	334	203	190	84	1535	280	131	188	159	100	761	713	249	156	192					
11	Число полученных открепительных  удостоверений	195	5	5	10	5	15	5	10	5	30	10	5	10	10	5	20	20	10	5	10					
12	Число выданных открепительных удостоверений	51	1	0	5	0	1	0	1	0	17	1	1	2	2	0	14	6	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	57	3	1	2	1	3	1	1	2	5	3	6	3	0	0	7	13	5	1	0					
14	Число неиспользованных открепительных удостоверений	144	4	5	5	5	14	5	9	5	13	9	4	8	8	5	6	14	10	5	10					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																										
18	. Глазьев Сергей Юрьевич	125	4	3	6	5	10	4	3	2	38	8	2	0	3	2	11	17	6	0	1					
		2.10%	2.92%	3.19%	2.20%	3.42%	2.99%	1.97%	1.58%	2.38%	2.46%	2.86%	1.53%	0.00%	1.89%	2.00%	1.43%	2.37%	2.40%	0.00%	0.52%					
19	. Малышкин Олег Александрович	181	2	1	9	4	8	8	10	2	51	2	4	16	8	0	27	17	5	3	4					
		3.05%	1.46%	1.06%	3.30%	2.74%	2.40%	3.94%	5.26%	2.38%	3.31%	0.71%	3.05%	8.47%	5.03%	0.00%	3.52%	2.37%	2.00%	1.92%	2.08%					
20	. Миронов Сергей Михайлович	54	0	0	3	2	2	5	1	2	15	2	0	1	5	1	7	2	4	2	0					
		0.91%	0.00%	0.00%	1.10%	1.37%	0.60%	2.46%	0.53%	2.38%	0.97%	0.71%	0.00%	0.53%	3.14%	1.00%	0.91%	0.28%	1.60%	1.28%	0.00%					
21	. Путин Владимир Владимирович	4474	108	64	161	105	266	156	146	64	1155	230	109	143	116	77	587	528	184	126	149					
		75.27%	78.83%	68.09%	58.97%	71.92%	79.64%	76.85%	76.84%	76.19%	74.90%	82.14%	83.21%	75.66%	72.96%	77.00%	76.53%	73.64%	73.60%	80.77%	77.60%					
22	. Хакамада Ирина Муцуовна	129	0	4	4	8	6	3	1	6	40	5	2	4	0	0	10	18	11	2	5					
		2.17%	0.00%	4.26%	1.47%	5.48%	1.80%	1.48%	0.53%	7.14%	2.59%	1.79%	1.53%	2.12%	0.00%	0.00%	1.30%	2.51%	4.40%	1.28%	2.60%					
23	. Харитонов Николай Михайлович	836	22	22	80	22	34	26	26	7	188	29	10	22	25	18	93	122	38	21	31					
		14.06%	16.06%	23.40%	29.30%	15.07%	10.18%	12.81%	13.68%	8.33%	12.19%	10.36%	7.63%	11.64%	15.72%	18.00%	12.13%	17.02%	15.20%	13.46%	16.15%					
																										
24	Против всех	123	1	0	7	0	8	1	3	1	48	4	4	2	2	2	26	9	1	2	2					
		2.07%	0.73%	0.00%	2.56%	0.00%	2.40%	0.49%	1.58%	1.19%	3.11%	1.43%	3.05%	1.06%	1.26%	2.00%	3.39%	1.26%	0.40%	1.28%	1.04%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
