Выборы Президента Российской Федерации																																																																
																																																																
Наименование Избирательной комиссии:    Великоустюгская																																																																
																																																																
Итоги голосования 																																																																
																																																																
		Сумма	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170					
1	"Число избирателей, внесенных в список"	51101	1029	1022	2299	1854	2360	1451	1840	2123	1486	1508	1471	1326	1942	1375	2268	1192	150	594	311	1575	1703	1578	1669	312	150	367	241	806	433	1217	124	196	414	347	340	169	1311	289	111	347	118	172	119	2314	297	203	747	371	417	839	251	1148	590	174	549	1202	290					
2	Число полученных избирательных бюллетеней	49520	1000	1000	2100	1900	2300	1400	1700	2100	1400	1400	1500	1200	2000	1300	2200	1100	150	500	300	1500	1700	1600	1600	300	150	400	250	800	450	1100	150	200	400	350	350	170	1300	250	100	350	100	150	150	2200	300	200	750	350	400	850	250	1100	550	150	550	1200	250					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	27521	512	585	1232	1017	1327	865	982	1080	714	772	772	755	1066	700	1181	578	84	315	249	830	931	880	983	189	84	155	153	493	311	684	76	109	259	149	207	97	610	175	86	146	90	134	82	1153	142	99	399	177	318	422	135	577	334	89	274	531	172					
5	"Число избирательных бюллетеней, выданных вне помещения"	3718	34	18	52	78	54	49	54	49	63	61	56	31	91	80	113	122	6	39	0	85	71	76	88	43	43	105	25	53	19	20	24	28	48	87	64	35	222	70	14	128	8	15	18	209	97	57	39	17	39	131	64	154	114	46	73	180	59					
6	Число погашенных избирательных бюллетеней	18281	454	397	816	805	919	486	664	971	623	567	672	414	843	520	906	400	60	146	51	585	698	644	529	68	23	140	72	254	120	396	50	63	93	114	79	38	468	5	0	76	2	1	50	838	61	44	312	156	43	297	51	369	102	15	203	489	19					
7	Число избирательных бюллетеней в переносных ящиках	3718	34	18	52	78	54	49	54	49	63	61	56	31	91	80	113	122	6	39	0	85	71	76	88	43	43	105	25	53	19	20	24	28	48	87	64	35	222	70	14	128	8	15	18	209	97	57	39	17	39	131	64	154	114	46	73	180	59					
8	Число бюллетеней в стационарных ящиках для голосования	27517	512	585	1232	1017	1327	865	982	1080	714	772	772	755	1066	700	1177	578	84	315	249	830	931	880	983	189	84	155	153	493	311	684	76	109	259	149	207	97	610	175	86	146	90	134	82	1153	142	99	399	177	318	422	135	577	334	89	274	531	172					
9	Число недействительных избирательных бюллетеней	200	2	8	8	4	3	8	3	8	7	6	8	3	13	5	4	7	0	2	2	7	11	7	6	3	1	0	0	3	0	0	0	0	5	1	6	2	2	0	0	1	0	2	0	5	1	1	4	1	0	5	7	6	5	1	1	5	0					
10	Число действительных избирательных бюллетеней	31035	544	595	1276	1091	1378	906	1033	1121	770	827	820	783	1144	775	1286	693	90	352	247	908	991	949	1065	229	126	260	178	543	330	704	100	137	302	235	265	130	830	245	100	273	98	147	100	1357	238	155	434	193	357	548	192	725	443	134	346	706	231					
11	Число полученных открепительных  удостоверений	500	5	5	10	20	20	20	20	10	10	10	5	10	20	5	20	10	5	5	0	20	20	20	20	5	5	5	5	20	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	10	10	5	10	5					
12	Число выданных открепительных удостоверений	263	0	3	10	6	10	10	7	7	6	5	4	9	13	5	12	7	1	3	0	14	14	10	1	0	0	1	5	11	0	4	0	1	3	3	10	2	4	5	0	2	2	2	1	5	1	4	3	3	3	4	0	4	9	3	2	8	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	199	4	3	5	5	8	2	4	7	25	23	9	7	2	3	2	2	1	2	7	1	2	4	2	3	3	1	0	4	1	3	0	4	1	5	3	1	3	3	1	1	2	1	2	0	1	2	4	1	0	1	3	4	1	1	3	2	4					
14	Число неиспользованных открепительных удостоверений	237	5	2	0	14	10	10	13	3	4	5	1	1	7	0	8	3	4	2	0	6	6	10	19	5	5	4	0	9	5	1	5	4	2	2	0	3	1	0	5	3	3	3	4	0	4	1	7	2	2	1	5	1	1	7	3	2	4					
15	"Число открепительных удостоверений, выданных в ТИК"	35	0	1	1	0	3	1	4	2	2	0	2	0	5	1	0	0	0	0	0	2	3	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																
18	. Глазьев Сергей Юрьевич	862	9	30	33	33	65	37	20	50	33	38	21	20	36	25	27	25	1	12	11	14	39	35	23	10	2	3	2	8	6	24	0	1	9	4	2	4	12	4	1	12	1	3	1	25	4	3	4	2	15	12	7	10	6	2	10	13	3					
		2.76%	1.65%	4.98%	2.57%	3.01%	4.71%	4.05%	1.93%	4.43%	4.25%	4.56%	2.54%	2.54%	3.11%	3.21%	2.09%	3.57%	1.11%	3.39%	4.42%	1.53%	3.89%	3.66%	2.15%	4.31%	1.57%	1.15%	1.12%	1.47%	1.82%	3.41%	0.00%	0.73%	2.93%	1.69%	0.74%	3.03%	1.44%	1.63%	1.00%	4.38%	1.02%	2.01%	1.00%	1.84%	1.67%	1.92%	0.91%	1.03%	4.20%	2.17%	3.52%	1.37%	1.34%	1.48%	2.88%	1.83%	1.30%					
19	. Малышкин Олег Александрович	610	12	19	24	25	11	16	18	28	15	15	28	24	24	23	29	26	3	3	5	28	9	18	16	2	2	4	2	8	4	6	1	3	4	1	6	5	19	5	1	2	1	0	0	23	2	2	11	2	11	11	3	12	8	3	9	10	8					
		1.95%	2.20%	3.15%	1.87%	2.28%	0.80%	1.75%	1.74%	2.48%	1.93%	1.80%	3.38%	3.05%	2.07%	2.95%	2.25%	3.71%	3.33%	0.85%	2.01%	3.06%	0.90%	1.88%	1.49%	0.86%	1.57%	1.54%	1.12%	1.47%	1.21%	0.85%	1.00%	2.19%	1.30%	0.42%	2.21%	3.79%	2.28%	2.04%	1.00%	0.73%	1.02%	0.00%	0.00%	1.69%	0.84%	1.28%	2.51%	1.03%	3.08%	1.99%	1.51%	1.64%	1.79%	2.22%	2.59%	1.41%	3.46%					
20	. Миронов Сергей Михайлович	381	6	10	17	17	25	9	16	17	6	12	18	19	15	4	18	10	1	3	0	18	13	15	18	2	0	3	3	4	7	4	0	0	2	4	1	2	5	2	0	1	1	0	0	6	1	3	4	3	2	1	1	12	2	4	5	8	1					
		1.22%	1.10%	1.66%	1.32%	1.55%	1.81%	0.98%	1.54%	1.51%	0.77%	1.44%	2.17%	2.42%	1.30%	0.51%	1.40%	1.43%	1.11%	0.85%	0.00%	1.97%	1.30%	1.57%	1.68%	0.86%	0.00%	1.15%	1.69%	0.73%	2.12%	0.57%	0.00%	0.00%	0.65%	1.69%	0.37%	1.52%	0.60%	0.82%	0.00%	0.36%	1.02%	0.00%	0.00%	0.44%	0.42%	1.92%	0.91%	1.55%	0.56%	0.18%	0.50%	1.64%	0.45%	2.96%	1.44%	1.13%	0.43%					
21	. Путин Владимир Владимирович	23681	414	440	930	804	979	649	778	832	565	599	607	558	835	580	943	518	78	281	181	719	754	730	856	171	101	196	154	441	269	569	91	113	221	185	226	101	673	202	83	216	85	123	88	1106	212	132	357	168	230	433	147	496	352	101	265	563	181					
		75.82%	75.82%	72.97%	72.43%	73.42%	70.89%	71.01%	75.10%	73.69%	72.72%	71.91%	73.31%	70.99%	72.17%	74.36%	73.10%	74.00%	86.67%	79.38%	72.69%	78.58%	75.25%	76.36%	79.93%	73.71%	79.53%	75.38%	86.52%	80.77%	81.52%	80.82%	91.00%	82.48%	71.99%	78.39%	83.39%	76.52%	80.89%	82.45%	83.00%	78.83%	86.73%	82.55%	88.00%	81.20%	88.70%	84.62%	81.51%	86.60%	64.43%	78.30%	73.87%	67.85%	78.57%	74.81%	76.37%	79.18%	78.35%					
22	. Хакамада Ирина Муцуовна	751	5	13	39	40	56	25	22	37	30	26	23	26	26	22	34	13	1	7	3	24	18	12	21	0	2	1	3	13	5	9	0	2	12	5	2	1	11	6	1	4	0	1	1	33	2	3	14	3	7	10	3	18	10	3	13	25	5					
		2.40%	0.92%	2.16%	3.04%	3.65%	4.06%	2.74%	2.12%	3.28%	3.86%	3.12%	2.78%	3.31%	2.25%	2.82%	2.64%	1.86%	1.11%	1.98%	1.20%	2.62%	1.80%	1.26%	1.96%	0.00%	1.57%	0.38%	1.69%	2.38%	1.52%	1.28%	0.00%	1.46%	3.91%	2.12%	0.74%	0.76%	1.32%	2.45%	1.00%	1.46%	0.00%	0.67%	1.00%	2.42%	0.84%	1.92%	3.20%	1.55%	1.96%	1.81%	1.51%	2.46%	2.23%	2.22%	3.75%	3.52%	2.16%					
23	. Харитонов Николай Михайлович	4158	84	67	199	149	210	144	149	132	88	116	109	116	185	109	207	88	3	44	40	89	142	124	114	41	16	47	13	62	37	91	8	16	43	34	26	17	98	25	14	34	10	17	8	149	15	10	39	14	83	70	26	163	64	17	38	77	28					
		13.31%	15.38%	11.11%	15.50%	13.61%	15.21%	15.75%	14.38%	11.69%	11.33%	13.93%	13.16%	14.76%	15.99%	13.97%	16.05%	12.57%	3.33%	12.43%	16.06%	9.73%	14.17%	12.97%	10.64%	17.67%	12.60%	18.08%	7.30%	11.36%	11.21%	12.93%	8.00%	11.68%	14.01%	14.41%	9.59%	12.88%	11.78%	10.20%	14.00%	12.41%	10.20%	11.41%	8.00%	10.94%	6.28%	6.41%	8.90%	7.22%	23.25%	12.66%	13.07%	22.30%	14.29%	12.59%	10.95%	10.83%	12.12%					
																																																																
24	Против всех	592	14	16	34	23	32	26	30	25	33	21	14	20	23	12	28	13	3	2	7	16	16	15	17	3	3	6	1	7	2	1	0	2	11	2	2	0	12	1	0	4	0	3	2	15	2	2	5	1	9	11	5	14	1	4	6	10	5					
		1.90%	2.56%	2.65%	2.65%	2.10%	2.32%	2.84%	2.90%	2.21%	4.25%	2.52%	1.69%	2.54%	1.99%	1.54%	2.17%	1.86%	3.33%	0.56%	2.81%	1.75%	1.60%	1.57%	1.59%	1.29%	2.36%	2.31%	0.56%	1.28%	0.61%	0.14%	0.00%	1.46%	3.58%	0.85%	0.74%	0.00%	1.44%	0.41%	0.00%	1.46%	0.00%	2.01%	2.00%	1.10%	0.84%	1.28%	1.14%	0.52%	2.52%	1.99%	2.51%	1.92%	0.22%	2.96%	1.73%	1.41%	2.16%					
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
																																																																
