Выборы Президента Российской Федерации										
										
Наименование Избирательной комиссии:    район Куркино										
										
Итоги голосования 										
										
		Сумма	УИК №2686	УИК №2687	УИК №3192					
1	"Число избирателей, внесенных в список"	3498	1490	1579	429					
2	Число полученных избирательных бюллетеней	2700	1200	1000	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	2034	952	901	181					
5	"Число избирательных бюллетеней, выданных вне помещения"	282	34	9	239					
6	Число погашенных избирательных бюллетеней	384	214	90	80					
7	Число избирательных бюллетеней в переносных ящиках	282	34	9	239					
8	Число бюллетеней в стационарных ящиках для голосования	2034	952	901	181					
9	Число недействительных избирательных бюллетеней	13	6	2	5					
10	Число действительных избирательных бюллетеней	2303	980	908	415					
11	Число полученных открепительных  удостоверений	100	70	30	0					
12	Число выданных открепительных удостоверений	66	54	12	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	69	34	21	14					
14	Число неиспользованных открепительных удостоверений	34	16	18	0					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"										
18	. Глазьев Сергей Юрьевич	122	41	69	12					
		5.27%	4.16%	7.58%	2.86%					
19	. Малышкин Олег Александрович	17	8	7	2					
		0.73%	0.81%	0.77%	0.48%					
20	. Миронов Сергей Михайлович	10	2	5	3					
		0.43%	0.20%	0.55%	0.71%					
21	. Путин Владимир Владимирович	1630	745	548	337					
		70.38%	75.56%	60.22%	80.24%					
22	. Хакамада Ирина Муцуовна	247	76	158	13					
		10.66%	7.71%	17.36%	3.10%					
23	. Харитонов Николай Михайлович	96	46	40	10					
		4.15%	4.67%	4.40%	2.38%					
										
24	Против всех	181	62	81	38					
		7.82%	6.29%	8.90%	9.05%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
