Выборы Президента Российской Федерации																																																								
																																																								
Наименование Избирательной комиссии:    Кизлярская																																																								
																																																								
Итоги голосования 																																																								
																																																								
		Сумма	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726					
1	"Число избирателей, внесенных в список"	35413	1673	292	1351	289	1047	1220	352	1016	241	1207	227	1228	820	230	457	358	1190	1024	1216	210	552	1005	1032	614	675	471	1278	806	855	535	378	833	683	736	321	577	496	326	571	1428	307	567	1683	375	855	289	372	738	407					
2	Число полученных избирательных бюллетеней	35159	1673	263	1351	276	1047	1220	347	1012	241	1208	227	1228	792	230	457	358	1190	982	1203	210	534	1005	1042	614	659	471	1280	806	855	540	378	850	683	736	340	577	441	326	562	1416	307	567	1683	369	855	289	369	708	382					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	31933	1506	263	1229	276	954	1100	342	864	216	1147	205	1140	720	210	380	325	1071	900	1045	179	497	892	891	546	511	424	1225	699	770	477	347	789	628	667	306	510	420	259	516	1349	296	538	1535	308	792	262	347	703	357					
5	"Число избирательных бюллетеней, выданных вне помещения"	308	0	0	5	0	0	0	0	48	0	0	0	20	0	0	36	0	0	0	0	0	32	38	23	0	49	0	0	0	0	7	0	0	0	0	0	20	0	30	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2918	167	0	117	0	93	120	5	100	25	61	22	68	72	20	41	33	119	82	158	31	5	75	128	68	99	47	55	107	85	56	31	61	55	69	34	47	21	37	46	67	11	29	148	61	63	27	22	5	25					
7	Число избирательных бюллетеней в переносных ящиках	308	0	0	5	0	0	0	0	48	0	0	0	20	0	0	36	0	0	0	0	0	32	38	23	0	49	0	0	0	0	7	0	0	0	0	0	20	0	30	0	0	0	0	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	31933	1506	263	1229	276	954	1100	342	864	216	1147	205	1140	720	210	380	325	1071	900	1045	179	497	892	891	546	511	424	1225	699	770	477	347	789	628	667	306	510	420	259	516	1349	296	538	1535	308	792	262	347	703	357					
9	Число недействительных избирательных бюллетеней	111	4	0	1	3	0	0	0	0	1	7	1	2	2	0	2	4	0	4	4	2	0	6	1	2	0	1	0	7	6	7	0	1	3	3	1	3	0	0	3	0	2	1	8	0	2	1	2	14	0					
10	Число действительных избирательных бюллетеней	32130	1502	263	1233	273	954	1100	342	912	215	1140	204	1158	718	210	414	321	1071	896	1041	177	529	924	913	544	560	423	1225	692	764	477	347	788	625	664	305	527	420	289	513	1349	294	537	1527	308	790	261	345	689	357					
11	Число полученных открепительных  удостоверений	500	11	10	10	10	10	12	10	10	10	10	10	12	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	15	10	10	10	10	10	10					
12	Число выданных открепительных удостоверений	59	1	1	1	0	2	0	0	7	2	0	0	7	0	0	2	3	0	0	5	0	0	0	0	0	0	3	1	1	1	0	4	0	0	1	2	0	1	3	7	0	0	3	0	0	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0					
14	Число неиспользованных открепительных удостоверений	441	10	9	9	10	8	12	10	3	8	10	10	5	10	10	8	7	10	10	5	10	10	10	10	10	10	7	9	9	9	10	6	10	10	9	8	10	9	7	3	10	10	7	15	10	9	10	10	10	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																								
18	. Глазьев Сергей Юрьевич	100	8	1	0	0	5	0	3	0	0	7	0	0	2	4	4	0	4	6	7	0	0	10	6	2	5	2	2	0	3	3	3	0	0	0	1	0	2	0	0	0	0	0	0	0	6	0	3	1	0					
		0.31%	0.53%	0.38%	0.00%	0.00%	0.52%	0.00%	0.88%	0.00%	0.00%	0.61%	0.00%	0.00%	0.28%	1.90%	0.96%	0.00%	0.37%	0.67%	0.67%	0.00%	0.00%	1.08%	0.66%	0.37%	0.89%	0.47%	0.16%	0.00%	0.39%	0.62%	0.86%	0.00%	0.00%	0.00%	0.33%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.86%	0.14%	0.00%					
19	. Малышкин Олег Александрович	43	0	2	0	0	4	0	0	0	0	3	0	0	2	0	2	0	1	5	0	2	3	4	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	3	0	4	0	2					
		0.13%	0.00%	0.76%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.28%	0.00%	0.48%	0.00%	0.09%	0.56%	0.00%	1.12%	0.57%	0.43%	0.11%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.38%	0.00%	1.15%	0.00%	0.56%					
20	. Миронов Сергей Михайлович	55	5	0	0	0	2	0	0	1	0	0	0	1	2	2	0	0	3	2	3	2	3	2	2	1	0	5	0	0	1	1	2	0	0	2	0	0	0	2	0	0	0	0	4	0	3	0	3	0	1					
		0.17%	0.33%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.09%	0.28%	0.95%	0.00%	0.00%	0.28%	0.22%	0.29%	1.12%	0.57%	0.22%	0.22%	0.18%	0.00%	1.18%	0.00%	0.00%	0.13%	0.21%	0.58%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.38%	0.00%	0.86%	0.00%	0.28%					
21	. Путин Владимир Владимирович	29102	1339	233	1097	246	855	1021	331	827	181	1041	181	1090	638	187	371	285	1035	845	880	160	479	827	807	508	487	380	1152	628	685	431	315	703	577	612	273	476	370	263	461	1202	264	488	1375	287	703	233	288	663	322					
		90.26%	88.91%	88.59%	88.90%	89.13%	89.62%	92.82%	96.78%	90.68%	83.80%	90.76%	88.29%	93.97%	88.61%	89.05%	89.18%	87.69%	96.64%	93.89%	84.21%	89.39%	90.55%	88.92%	88.29%	93.04%	86.96%	89.62%	94.04%	89.84%	88.96%	89.05%	90.78%	89.10%	91.88%	91.75%	89.22%	89.81%	88.10%	91.00%	89.34%	89.10%	89.19%	90.71%	89.58%	93.18%	88.76%	88.93%	83.00%	94.31%	90.20%					
22	. Хакамада Ирина Муцуовна	96	5	0	0	0	2	10	1	6	3	6	0	3	0	0	2	0	3	5	6	0	0	6	5	4	2	0	2	0	0	3	2	10	0	0	0	0	0	0	0	0	0	0	0	2	5	0	1	1	1					
		0.30%	0.33%	0.00%	0.00%	0.00%	0.21%	0.91%	0.29%	0.66%	1.39%	0.52%	0.00%	0.26%	0.00%	0.00%	0.48%	0.00%	0.28%	0.56%	0.57%	0.00%	0.00%	0.65%	0.55%	0.73%	0.36%	0.00%	0.16%	0.00%	0.00%	0.62%	0.58%	1.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.63%	0.00%	0.29%	0.14%	0.28%					
23	. Харитонов Николай Михайлович	2555	87	27	136	24	84	53	7	78	30	83	22	60	74	16	33	36	25	27	142	13	43	65	89	23	63	35	68	64	65	36	20	69	48	48	26	50	48	23	52	147	27	49	145	17	61	28	40	20	29					
		7.92%	5.78%	10.27%	11.02%	8.70%	8.81%	4.82%	2.05%	8.55%	13.89%	7.24%	10.73%	5.17%	10.28%	7.62%	7.93%	11.08%	2.33%	3.00%	13.59%	7.26%	8.13%	6.99%	9.74%	4.21%	11.25%	8.25%	5.55%	9.16%	8.44%	7.44%	5.76%	8.75%	7.64%	7.20%	8.50%	9.43%	11.43%	7.96%	10.08%	10.90%	9.12%	9.11%	9.45%	5.52%	7.70%	10.69%	11.53%	2.84%	8.12%					
																																																								
24	Против всех	179	58	0	0	3	2	16	0	0	1	0	1	4	0	1	2	0	0	6	3	0	1	10	3	5	3	1	1	0	10	3	5	6	0	2	5	1	0	0	0	0	3	0	0	2	9	0	6	4	2					
		0.56%	3.85%	0.00%	0.00%	1.09%	0.21%	1.45%	0.00%	0.00%	0.46%	0.00%	0.49%	0.34%	0.00%	0.48%	0.48%	0.00%	0.00%	0.67%	0.29%	0.00%	0.19%	1.08%	0.33%	0.92%	0.54%	0.24%	0.08%	0.00%	1.30%	0.62%	1.44%	0.76%	0.00%	0.30%	1.63%	0.19%	0.00%	0.00%	0.00%	0.00%	1.01%	0.00%	0.00%	0.65%	1.14%	0.00%	1.73%	0.57%	0.56%					
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
																																																								
