Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Донская городская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311					
1	"Число избирателей, внесенных в список"	52262	378	1574	2438	1691	2101	2564	80	1764	1321	1934	1564	1819	530	1698	1021	1242	141	1126	673	746	1765	1555	2196	1530	2097	2209	1552	325	37	922	1411	1774	34	1309	1763	494	1560	2473	851					
2	Число полученных избирательных бюллетеней	52143	380	1600	2500	1700	2100	2450	80	1750	1300	1950	1550	1850	500	1650	1000	1200	143	1100	650	750	1800	1550	2200	1500	2100	2200	1500	320	80	950	1400	1800	40	1300	1750	550	1550	2500	850					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25594	185	828	1162	835	1008	1226	66	933	757	940	783	924	238	759	486	440	60	593	339	221	896	761	1025	738	1018	1114	783	142	3	412	736	1056	12	706	1057	205	690	1220	237					
5	"Число избирательных бюллетеней, выданных вне помещения"	2458	36	23	80	33	69	66	6	24	33	59	27	44	36	59	58	167	81	27	33	103	46	31	41	49	47	69	36	25	34	144	165	85	22	118	90	72	93	53	174					
6	Число погашенных избирательных бюллетеней	24091	159	749	1258	832	1023	1158	8	793	510	951	740	882	226	832	456	593	2	480	278	426	858	758	1134	713	1035	1017	681	153	43	394	499	659	6	476	603	273	767	1227	439					
7	Число избирательных бюллетеней в переносных ящиках	2458	36	23	80	33	69	66	6	24	33	59	27	44	36	59	58	167	81	27	33	103	46	31	41	49	47	69	36	25	34	144	165	85	22	118	90	72	93	53	174					
8	Число бюллетеней в стационарных ящиках для голосования	25594	185	828	1162	835	1008	1226	66	933	757	940	783	924	238	759	486	440	60	593	339	221	896	761	1025	738	1018	1114	783	142	3	412	736	1056	12	706	1057	205	690	1220	237					
9	Число недействительных избирательных бюллетеней	260	4	8	6	9	9	4	0	8	6	6	7	8	3	4	4	3	1	9	1	3	16	4	14	8	13	7	6	1	0	2	37	17	0	5	3	3	6	13	2					
10	Число действительных избирательных бюллетеней	27792	217	843	1236	859	1068	1288	72	949	784	993	803	960	271	814	540	604	140	611	371	321	926	788	1052	779	1052	1176	813	166	37	554	864	1124	34	819	1144	274	777	1260	409					
11	Число полученных открепительных  удостоверений	1066	10	30	40	30	40	50	0	40	30	30	30	30	10	20	10	20	0	30	20	10	30	30	40	40	30	40	20	10	0	30	50	70	0	40	30	10	40	50	26					
