Выборы Президента Российской Федерации																																																																										
																																																																										
Наименование Избирательной комиссии:    Березниковская городская																																																																										
																																																																										
Итоги голосования 																																																																										
																																																																										
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367					
1	"Число избирателей, внесенных в список"	132600	2665	2285	2551	203	1161	278	2096	1827	2547	1986	180	1032	2126	2452	2916	966	2295	1860	1103	2368	2532	2470	1832	1669	1397	2211	2135	2847	2082	2332	2964	2770	2658	2507	2643	2286	2266	999	1849	2514	2348	2630	1654	1216	2136	2624	1936	2384	1880	2381	2015	2739	2570	2930	2816	1955	2300	2150	2188	2982	2508	1720	1563	125	255	623	112					
2	Число полученных избирательных бюллетеней	121954	2460	2025	2325	185	1110	270	1950	1565	2550	1800	155	940	1960	2220	2684	870	2030	1660	970	2150	2295	2230	1665	1550	1260	1990	1965	2510	1905	2120	2700	2445	2415	2290	2360	2050	2080	1630	1690	2340	2130	2375	1545	1110	2020	2410	1735	2190	1730	2210	1830	2490	2365	2660	2575	1760	2080	1940	1940	2730	2280	1575	1450	95	500	700	160					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	75247	1557	1263	1332	49	570	152	1078	992	1432	1273	67	557	1144	1269	1713	633	1166	1108	618	1435	1402	1355	1092	988	757	1215	1189	1442	1253	1290	1620	1352	1586	1531	1502	1288	1379	955	1137	1535	1389	1493	1063	766	1247	1583	1132	1336	1043	1298	1069	1582	1415	1740	1631	1064	1319	1133	1067	1717	1176	835	805	78	255	623	112					
5	"Число избирательных бюллетеней, выданных вне помещения"	3841	44	112	67	55	91	16	49	168	103	60	33	19	93	87	52	37	91	117	66	80	112	106	68	82	66	44	35	91	33	37	29	98	45	42	71	66	56	44	32	28	42	34	16	32	22	25	23	47	63	83	32	81	68	45	23	29	20	28	42	63	195	61	125	17	0	0	0					
6	Число погашенных избирательных бюллетеней	42866	859	650	926	81	449	102	823	405	1015	467	55	364	723	864	919	200	773	435	286	635	781	769	505	480	437	731	741	977	619	793	1051	995	784	717	787	696	645	631	521	777	699	848	466	312	751	802	580	807	624	829	729	827	882	875	921	667	741	779	831	950	909	679	520	0	245	77	48					
7	Число избирательных бюллетеней в переносных ящиках	3840	43	112	67	55	91	16	49	168	103	60	33	19	93	87	52	37	91	117	66	80	112	106	68	82	66	44	35	91	33	37	29	98	45	42	71	66	56	44	32	28	42	34	16	32	22	25	23	47	63	83	32	81	68	45	23	29	20	28	42	63	195	61	125	17	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	75210	1557	1263	1332	49	570	152	1078	976	1431	1273	67	557	1144	1269	1713	633	1166	1106	618	1435	1402	1355	1085	988	757	1215	1189	1442	1252	1289	1620	1352	1586	1528	1500	1288	1379	955	1137	1535	1389	1493	1063	766	1247	1583	1132	1336	1043	1298	1069	1582	1415	1740	1631	1064	1317	1131	1067	1717	1176	835	805	78	255	623	112					
9	Число недействительных избирательных бюллетеней	417	4	8	5	0	2	1	8	5	7	0	0	2	7	9	11	1	7	2	2	7	7	7	2	5	7	9	8	8	5	5	6	15	10	10	12	4	7	4	6	15	12	8	2	5	13	7	6	3	5	12	4	6	7	5	12	4	6	8	14	7	10	10	4	0	1	6	0					
10	Число действительных избирательных бюллетеней	78633	1596	1367	1394	104	659	167	1119	1139	1527	1333	100	574	1230	1347	1754	669	1250	1221	682	1508	1507	1454	1151	1065	816	1250	1216	1525	1280	1321	1643	1435	1621	1560	1559	1350	1428	995	1163	1548	1419	1519	1077	793	1256	1601	1149	1380	1101	1369	1097	1657	1476	1780	1642	1089	1331	1151	1095	1773	1361	886	926	95	254	617	112					
