Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Варненская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639					
1	"Число избирателей, внесенных в список"	22280	778	227	421	1079	156	1270	1415	2489	1694	2086	241	448	133	591	155	142	222	261	76	741	204	183	279	104	872	239	646	87	779	296	242	210	715	325	282	220	146	928	255	643					
2	Число полученных избирательных бюллетеней	21501	750	228	400	1000	157	1200	1300	2400	1700	1950	240	450	135	580	152	139	220	250	74	700	200	192	260	102	810	220	630	90	750	290	270	210	700	300	290	220	152	940	250	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	15690	526	203	385	989	134	676	735	1340	1022	975	202	352	124	495	143	124	186	185	54	574	139	147	246	95	754	205	473	73	584	251	209	141	499	278	267	191	120	813	242	539					
5	"Число избирательных бюллетеней, выданных вне помещения"	1187	33	8	9	0	0	156	165	165	130	98	14	25	0	13	4	6	0	19	5	30	8	8	10	5	18	6	42	0	37	13	11	10	35	22	5	10	14	29	0	24					
6	Число погашенных избирательных бюллетеней	4624	191	17	6	11	23	368	400	895	548	877	24	73	11	72	5	9	34	46	15	96	53	37	4	2	38	9	115	17	129	26	50	59	166	0	18	19	18	98	8	37					
7	Число избирательных бюллетеней в переносных ящиках	1187	33	8	9	0	0	156	165	165	130	98	14	25	0	13	4	6	0	19	5	30	8	8	10	5	18	6	42	0	37	13	11	10	35	22	5	10	14	29	0	24					
8	Число бюллетеней в стационарных ящиках для голосования	15688	526	203	385	989	134	676	734	1340	1022	975	202	352	124	495	143	124	186	184	54	574	139	147	246	95	754	205	473	73	584	251	209	141	499	278	267	191	120	813	242	539					
9	Число недействительных избирательных бюллетеней	172	7	3	2	11	3	14	15	11	13	15	0	9	0	4	0	0	2	1	2	6	1	0	0	1	1	4	12	1	11	0	0	1	7	1	6	0	2	4	2	0					
10	Число действительных избирательных бюллетеней	16703	552	208	392	978	131	818	884	1494	1139	1058	216	368	124	504	147	130	184	202	57	598	146	155	256	99	771	207	503	72	610	264	220	150	527	299	266	201	132	838	240	563					
11	Число полученных открепительных  удостоверений	190	5	3	3	7	3	7	7	10	7	15	3	5	3	5	3	3	3	3	3	7	3	3	3	3	7	3	10	3	7	3	3	3	7	3	3	3	3	7	3	5					
12	Число выданных открепительных удостоверений	97	4	2	0	2	0	7	6	9	7	14	0	5	0	0	1	0	0	1	2	4	0	0	0	3	3	0	8	0	3	0	3	1	6	0	0	0	3	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	2	0	1	0	1	1	17	12	4	4	0	2	0	1	0	0	3	2	0	2	1	0	0	1	2	2	3	0	3	1	1	0	0	0	0	1	1	3	0	2					
14	Число неиспользованных открепительных удостоверений	93	1	1	3	5	3	0	1	1	0	1	3	0	3	5	2	3	3	2	1	3	3	3	3	0	4	3	2	3	4	3	0	2	1	3	3	3	0	5	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	422	6	1	8	22	0	21	35	56	37	26	4	5	3	7	3	2	2	4	0	26	1	0	12	1	25	5	7	0	4	5	3	16	16	20	7	2	2	17	1	10					
		2.50%	1.07%	0.47%	2.03%	2.22%	0.00%	2.52%	3.89%	3.72%	3.21%	2.42%	1.85%	1.33%	2.42%	1.38%	2.04%	1.54%	1.08%	1.97%	0.00%	4.30%	0.68%	0.00%	4.69%	1.00%	3.24%	2.37%	1.36%	0.00%	0.64%	1.89%	1.36%	10.60%	3.00%	6.67%	2.57%	1.00%	1.49%	2.02%	0.41%	1.78%					
19	. Малышкин Олег Александрович	462	12	2	6	22	4	23	19	39	32	34	1	12	2	18	0	1	11	10	4	18	10	8	4	3	16	7	10	2	9	8	16	2	17	10	10	7	5	20	14	14					
		2.74%	2.15%	0.95%	1.52%	2.22%	2.99%	2.76%	2.11%	2.59%	2.78%	3.17%	0.46%	3.18%	1.61%	3.54%	0.00%	0.77%	5.91%	4.93%	6.78%	2.98%	6.80%	5.16%	1.56%	3.00%	2.07%	3.32%	1.94%	2.74%	1.45%	3.03%	7.27%	1.32%	3.18%	3.33%	3.68%	3.48%	3.73%	2.38%	5.79%	2.49%					
20	. Миронов Сергей Михайлович	97	10	2	0	6	2	9	6	7	5	2	0	1	0	5	0	0	0	5	0	8	0	0	2	0	2	2	2	0	4	1	0	1	5	1	0	2	1	1	3	2					
