Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Чернская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833					
		13.73%	18.97%	17.76%	6.93%	8.59%	4.51%	15.76%	11.76%	6.25%	9.65%	14.09%	4.25%	17.62%	17.09%	8.89%	11.38%	6.49%	7.57%	9.09%	4.19%	16.85%	6.64%	15.61%	14.57%	17.65%	7.35%	12.79%	14.36%	30.30%	15.07%	11.08%	13.68%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	140	23	24	6	5	0	1	1	2	11	1	0	1	8	3	7	4	3	3	0	2	1	0	1	2	1	4	6	5	2	9	4					
		1.22%	1.50%	1.50%	0.61%	0.89%	0.00%	0.30%	0.31%	1.25%	2.72%	0.67%	0.00%	0.44%	5.06%	1.11%	2.15%	1.53%	1.62%	0.94%	0.00%	1.09%	0.44%	0.00%	0.50%	0.69%	0.74%	1.83%	3.08%	0.89%	0.91%	2.32%	1.71%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7438	892	873	762	387	109	205	226	126	304	83	158	128	107	205	189	192	123	215	177	113	180	172	150	170	109	133	118	276	130	271	155					
		65.03%	58.15%	54.39%	77.68%	69.23%	81.95%	62.12%	69.97%	78.75%	75.25%	55.70%	74.53%	56.39%	67.72%	75.93%	58.15%	73.28%	66.49%	67.40%	82.33%	61.41%	79.65%	72.57%	75.38%	58.82%	80.15%	60.73%	60.51%	49.20%	59.36%	69.85%	66.24%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	38	5	7	6	0	0	3	0	0	0	0	0	0	1	2	0	1	3	3	0	0	0	1	0	0	1	1	1	1	2	0	0					
		0.33%	0.33%	0.44%	0.61%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.74%	0.00%	0.38%	1.62%	0.94%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.74%	0.46%	0.51%	0.18%	0.91%	0.00%	0.00%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
