Выборы Президента Российской Федерации																																																
																																																
Наименование Избирательной комиссии:    Панинская																																																
																																																
Итоги голосования 																																																
																																																
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК  2839	УИК  2840	УИК  2841					
1	"Число избирателей, внесенных в список"	23809	1788	1814	1102	1048	203	1595	1112	321	221	322	248	382	402	343	424	245	1610	407	209	99	305	627	247	668	674	714	423	761	380	842	226	229	190	604	234	773	317	660	263	292	485					
2	Число полученных избирательных бюллетеней	23571	1760	1720	1040	980	200	1550	1070	342	225	323	246	387	397	343	421	245	1600	415	216	103	303	611	240	705	706	732	425	756	377	854	226	232	198	623	246	776	317	640	258	279	484					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	12513	979	1023	555	631	114	661	580	194	170	174	64	232	159	88	142	92	1044	208	156	52	118	246	59	350	318	381	273	479	176	715	179	105	53	347	84	266	149	331	178	130	258					
5	"Число избирательных бюллетеней, выданных вне помещения"	6520	195	227	186	146	77	264	150	96	36	134	149	128	218	250	273	152	154	159	50	44	142	280	162	263	239	259	89	232	178	70	20	121	102	190	136	242	148	185	60	113	201					
6	Число погашенных избирательных бюллетеней	4538	586	470	299	203	9	625	340	52	19	15	33	27	20	5	6	1	402	48	10	7	43	85	19	92	149	92	63	45	23	69	27	6	43	86	26	268	20	124	20	36	25					
7	Число избирательных бюллетеней в переносных ящиках	6520	195	227	186	146	77	264	150	96	36	134	149	128	218	250	273	152	154	159	50	44	142	280	162	263	239	259	89	232	178	70	20	121	102	190	136	242	148	185	60	113	201					
8	Число бюллетеней в стационарных ящиках для голосования	12513	979	1023	555	631	114	661	580	194	170	174	64	232	159	88	142	92	1044	208	156	52	118	246	59	350	318	381	273	479	176	715	179	105	53	347	84	266	149	331	178	130	258					
9	Число недействительных избирательных бюллетеней	119	9	8	12	7	0	11	6	0	0	1	2	1	2	0	0	0	16	0	3	0	3	0	0	0	4	2	1	2	2	15	0	0	0	7	0	1	0	2	1	0	1					
10	Число действительных избирательных бюллетеней	18914	1165	1242	729	770	191	914	724	290	206	307	211	359	375	338	415	244	1182	367	203	96	257	526	221	613	553	638	361	709	352	770	199	226	155	530	220	507	297	514	237	243	458					
