Выборы Президента Российской Федерации																																																																	
Дата голосования: 18.03.2018																																																																	
																																																																	
Наименование Избирательной комиссии:    Пензенская 																																																																	
																																																																	
Сводная таблица итогов голосования																																																																	
																																																																	
	Число участковых избирательных комиссий	54																																																															
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	54																																																															
																																																																	
		Сумма	УИК №557	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №953	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964									
		7.09%	4.99%	12.65%	5.46%	2.99%	0.87%	5.69%	13.25%	13.68%	14.29%	5.18%	7.09%	5.33%	6.70%	12.86%	5.38%	6.07%	6.99%	17.90%	1.41%	2.80%	2.92%	4.67%	10.91%	5.41%	9.07%	8.55%	10.43%	3.46%	7.82%	8.98%	3.10%	5.51%	4.27%	1.40%	1.66%	7.65%	2.17%	6.21%	5.35%	6.66%	3.90%	6.75%	9.76%	4.86%	5.15%	1.77%	4.64%	8.17%	1.97%	7.33%	9.43%	7.28%	8.96%	11.14%									
15	Жириновский Владимир Вольфович	1749	48	46	43	15	6	49	79	14	6	24	59	27	9	48	84	32	41	5	11	22	6	43	75	28	71	40	69	27	8	11	9	16	23	4	6	42	22	46	18	76	65	49	7	5	14	10	4	12	4	41	16	72	72	70									
		4.18%	2.01%	2.52%	3.56%	3.45%	2.60%	2.73%	6.09%	6.60%	7.14%	4.01%	5.73%	5.53%	1.31%	4.61%	4.56%	3.67%	4.78%	1.54%	7.75%	4.73%	4.38%	2.64%	5.68%	3.98%	5.03%	3.64%	7.27%	6.24%	2.72%	4.49%	3.10%	12.60%	5.17%	2.80%	1.66%	10.37%	5.98%	4.60%	5.07%	4.02%	2.59%	2.80%	1.29%	2.70%	4.24%	3.53%	1.24%	4.67%	2.63%	4.56%	4.57%	7.59%	7.68%	7.72%									
16	Путин Владимир Владимирович	35862	2128	1497	1051	406	219	1596	1004	159	62	523	869	425	620	827	1595	774	730	256	129	425	126	1477	1055	612	1162	936	734	377	257	210	264	102	397	136	345	317	328	857	315	1608	2285	1541	473	169	293	266	304	222	142	767	298	773	726	693									
		85.80%	89.26%	81.98%	87.00%	93.33%	94.81%	89.01%	77.35%	75.00%	73.81%	87.46%	84.45%	87.09%	90.25%	79.37%	86.64%	88.66%	85.08%	79.01%	90.85%	91.40%	91.97%	90.84%	79.92%	87.06%	82.29%	85.09%	77.34%	87.07%	87.41%	85.71%	91.03%	80.31%	89.21%	95.10%	95.57%	78.27%	89.13%	85.79%	88.73%	84.99%	90.99%	88.11%	87.11%	91.35%	88.79%	93.99%	94.12%	86.38%	93.42%	85.22%	85.14%	81.54%	77.48%	76.41%									
17	Собчак Ксения Анатольевна	351	15	21	14	0	1	13	16	3	0	2	3	4	1	14	16	3	11	1	0	2	1	13	12	12	8	6	15	1	0	1	1	0	1	0	2	6	4	6	0	32	31	10	1	0	2	0	0	2	2	6	1	14	12	9									
		0.84%	0.63%	1.15%	1.16%	0.00%	0.43%	0.73%	1.23%	1.42%	0.00%	0.33%	0.29%	0.82%	0.15%	1.34%	0.87%	0.34%	1.28%	0.31%	0.00%	0.43%	0.73%	0.80%	0.91%	1.71%	0.57%	0.55%	1.58%	0.23%	0.00%	0.41%	0.34%	0.00%	0.22%	0.00%	0.55%	1.48%	1.09%	0.60%	0.00%	1.69%	1.23%	0.57%	0.18%	0.00%	0.61%	0.00%	0.00%	0.78%	1.32%	0.67%	0.29%	1.48%	1.28%	0.99%									
18	Сурайкин Максим Александрович	191	8	6	9	0	0	6	10	0	0	3	9	0	4	5	5	3	4	0	0	3	0	5	9	4	6	10	5	4	2	0	1	0	1	0	1	0	2	6	0	9	7	5	5	0	1	0	0	0	0	2	0	7	11	13									
		0.46%	0.34%	0.33%	0.75%	0.00%	0.00%	0.33%	0.77%	0.00%	0.00%	0.50%	0.87%	0.00%	0.58%	0.48%	0.27%	0.34%	0.47%	0.00%	0.00%	0.65%	0.00%	0.31%	0.68%	0.57%	0.42%	0.91%	0.53%	0.92%	0.68%	0.00%	0.34%	0.00%	0.22%	0.00%	0.28%	0.00%	0.54%	0.60%	0.00%	0.48%	0.28%	0.29%	0.92%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.74%	1.17%	1.43%									
19	Титов Борис Юрьевич	159	6	13	4	0	0	3	4	1	1	10	8	1	0	4	10	2	2	1	0	0	0	3	9	2	5	1	1	1	0	0	0	2	1	1	1	3	2	4	0	12	6	13	0	1	2	1	0	0	0	0	2	4	7	5									
		0.38%	0.25%	0.71%	0.33%	0.00%	0.00%	0.17%	0.31%	0.47%	1.19%	1.67%	0.78%	0.20%	0.00%	0.38%	0.54%	0.23%	0.23%	0.31%	0.00%	0.00%	0.00%	0.18%	0.68%	0.28%	0.35%	0.09%	0.11%	0.23%	0.00%	0.00%	0.00%	1.57%	0.22%	0.70%	0.28%	0.74%	0.54%	0.40%	0.00%	0.63%	0.24%	0.74%	0.00%	0.54%	0.61%	0.35%	0.00%	0.00%	0.00%	0.00%	0.57%	0.42%	0.75%	0.55%									
20	Явлинский Григорий Алексеевич	159	48	9	6	0	0	7	2	3	0	1	4	0	1	1	7	0	4	0	0	0	0	1	2	1	10	1	6	0	1	0	0	0	0	0	0	4	0	6	0	8	11	5	0	1	0	0	0	0	0	1	0	0	4	4									
		0.38%	2.01%	0.49%	0.50%	0.00%	0.00%	0.39%	0.15%	1.42%	0.00%	0.17%	0.39%	0.00%	0.15%	0.10%	0.38%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.06%	0.15%	0.14%	0.71%	0.09%	0.63%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.60%	0.00%	0.42%	0.44%	0.29%	0.00%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.43%	0.44%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
