Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Пензенская																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099					
1	"Число избирателей, внесенных в список"	32684	1360	526	146	1108	2872	267	138	150	81	1151	557	667	168	1560	105	1843	670	191	1801	2111	150	556	2330	506	934	351	1337	405	1095	590	219	360	479	1030	406	1092	2603	541	63	165					
2	Число полученных избирательных бюллетеней	32580	1367	470	137	1103	2919	260	136	148	78	1159	546	667	167	1570	104	1822	660	181	1803	2129	137	562	2327	501	913	342	1310	398	1098	584	214	361	489	1046	405	1093	2627	525	63	159					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18968	699	312	78	645	1905	170	98	107	46	662	327	360	95	858	66	1013	378	117	876	1157	73	355	1198	342	581	200	795	262	749	363	111	182	293	609	260	639	1476	349	56	106					
5	"Число избирательных бюллетеней, выданных вне помещения"	2500	124	24	40	55	54	24	6	2	10	133	31	128	31	79	10	125	78	27	162	95	43	43	219	48	78	27	88	14	71	53	44	55	53	98	33	101	134	32	0	28					
6	Число погашенных избирательных бюллетеней	11112	544	134	19	403	960	66	32	39	22	364	188	179	41	633	28	684	204	37	765	877	21	164	910	111	254	115	427	122	278	168	59	124	143	339	112	353	1017	144	7	25					
7	Число избирательных бюллетеней в переносных ящиках	2500	124	24	40	55	54	24	6	2	10	133	31	128	31	79	10	125	78	27	162	95	43	43	219	48	78	27	88	14	71	53	44	55	53	98	33	101	134	32	0	28					
8	Число бюллетеней в стационарных ящиках для голосования	18963	698	312	78	645	1905	170	98	107	46	662	327	360	95	858	66	1013	378	117	876	1157	73	355	1196	342	581	200	795	262	749	363	111	180	293	609	260	639	1476	349	56	106					
9	Число недействительных избирательных бюллетеней	249	1	5	1	17	31	3	2	0	0	7	3	3	1	14	0	19	6	3	7	9	1	4	18	3	7	0	5	1	6	2	0	4	2	15	9	4	28	8	0	0					
10	Число действительных избирательных бюллетеней	21214	821	331	117	683	1928	191	102	109	56	788	355	485	125	923	76	1119	450	141	1031	1243	115	394	1397	387	652	227	878	275	814	414	155	231	344	692	284	736	1582	373	56	134					
11	Число полученных открепительных  удостоверений	400	13	7	3	12	38	5	0	0	0	12	10	10	5	17	1	18	10	5	15	18	5	7	20	8	10	5	15	5	10	8	5	6	8	15	8	10	40	8	3	5					
12	Число выданных открепительных удостоверений	292	13	3	2	3	38	0	0	0	0	7	5	9	3	17	0	12	6	1	15	18	5	6	8	0	10	2	15	5	10	2	0	6	8	15	1	5	33	8	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	280	10	65	10	3	7	2	1	1	3	4	10	3	1	7	1	8	5	4	2	6	15	2	15	6	8	7	24	3	5	1	5	4	1	6	1	11	6	2	1	4					
14	Число неиспользованных открепительных удостоверений	108	0	4	1	9	0	5	0	0	0	5	5	1	2	0	1	6	4	4	0	0	0	1	12	8	0	3	0	0	0	6	5	0	0	0	7	5	7	0	2	5					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																															
18	. Глазьев Сергей Юрьевич	998	63	20	2	35	52	13	5	8	0	44	15	20	6	44	1	45	20	6	60	50	15	32	70	4	31	7	39	16	50	24	10	15	8	30	3	24	95	9	1	6					
		4.65%	7.66%	5.95%	1.69%	5.00%	2.65%	6.70%	4.81%	7.34%	0.00%	5.53%	4.19%	4.10%	4.76%	4.70%	1.32%	3.95%	4.39%	4.17%	5.78%	3.99%	12.93%	8.04%	4.95%	1.03%	4.70%	3.08%	4.42%	5.80%	6.10%	5.77%	6.45%	6.38%	2.31%	4.24%	1.02%	3.24%	5.90%	2.36%	1.79%	4.48%					
19	. Малышкин Олег Александрович	576	20	7	5	30	53	8	4	0	0	27	19	6	6	31	4	37	10	2	14	24	3	4	23	12	14	10	27	15	24	8	2	7	8	28	8	20	51	1	1	3					
		2.68%	2.43%	2.08%	4.24%	4.29%	2.71%	4.12%	3.85%	0.00%	0.00%	3.40%	5.31%	1.23%	4.76%	3.31%	5.26%	3.25%	2.19%	1.39%	1.35%	1.92%	2.59%	1.01%	1.63%	3.08%	2.12%	4.41%	3.06%	5.43%	2.93%	1.92%	1.29%	2.98%	2.31%	3.96%	2.73%	2.70%	3.17%	0.26%	1.79%	2.24%					
20	. Миронов Сергей Михайлович	113	2	0	1	6	6	0	0	0	0	4	4	1	0	3	1	5	0	0	9	12	0	5	6	2	0	0	2	4	11	2	0	5	3	4	2	2	11	0	0	0					
		0.53%	0.24%	0.00%	0.85%	0.86%	0.31%	0.00%	0.00%	0.00%	0.00%	0.50%	1.12%	0.20%	0.00%	0.32%	1.32%	0.44%	0.00%	0.00%	0.87%	0.96%	0.00%	1.26%	0.42%	0.51%	0.00%	0.00%	0.23%	1.45%	1.34%	0.48%	0.00%	2.13%	0.87%	0.57%	0.68%	0.27%	0.68%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	14659	561	208	77	452	1472	131	76	78	43	565	239	318	97	631	54	743	239	94	654	852	79	280	967	281	499	178	678	194	563	275	120	153	257	459	193	513	969	279	40	98					
		68.30%	68.25%	61.90%	65.25%	64.57%	75.14%	67.53%	73.08%	71.56%	76.79%	71.07%	66.76%	65.16%	76.98%	67.34%	71.05%	65.29%	52.41%	65.28%	63.01%	68.05%	68.10%	70.35%	68.34%	72.05%	75.72%	78.41%	76.78%	70.29%	68.66%	66.11%	77.42%	65.11%	74.28%	64.92%	65.87%	69.32%	60.19%	73.23%	71.43%	73.13%					
22	. Хакамада Ирина Муцуовна	404	24	8	3	9	29	2	2	3	1	18	13	9	2	19	3	10	6	2	21	14	2	8	19	3	15	3	18	8	18	10	2	5	2	22	9	19	33	7	0	3					
		1.88%	2.92%	2.38%	2.54%	1.29%	1.48%	1.03%	1.92%	2.75%	1.79%	2.26%	3.63%	1.84%	1.59%	2.03%	3.95%	0.88%	1.32%	1.39%	2.02%	1.12%	1.72%	2.01%	1.34%	0.77%	2.28%	1.32%	2.04%	2.90%	2.20%	2.40%	1.29%	2.13%	0.58%	3.11%	3.07%	2.57%	2.05%	1.84%	0.00%	2.24%					
23	. Харитонов Николай Михайлович	3959	137	76	28	134	273	32	15	18	12	104	60	111	13	175	12	255	162	35	248	272	15	58	282	82	86	22	90	30	121	83	16	42	64	121	67	144	364	66	13	21					
		18.45%	16.67%	22.62%	23.73%	19.14%	13.94%	16.49%	14.42%	16.51%	21.43%	13.08%	16.76%	22.75%	10.32%	18.68%	15.79%	22.41%	35.53%	24.31%	23.89%	21.73%	12.93%	14.57%	19.93%	21.03%	13.05%	9.69%	10.19%	10.87%	14.76%	19.95%	10.32%	17.87%	18.50%	17.11%	22.87%	19.46%	22.61%	17.32%	23.21%	15.67%					
																																															
24	Против всех	505	14	12	1	17	43	5	0	2	0	26	5	20	1	20	1	24	13	2	25	19	1	7	30	3	7	7	24	8	27	12	5	4	2	28	2	14	59	11	1	3					
