Выборы Президента Российской Федерации															
															
Наименование Избирательной комиссии:    Кумторкалинская															
															
Итоги голосования 															
															
		Сумма	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
1	"Число избирателей, внесенных в список"	12264	2250	2054	2400	2186	814	956	946	658					
2	Число полученных избирательных бюллетеней	12270	2235	2056	2406	2191	811	961	950	660					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11372	2049	1912	2220	2081	746	890	862	612					
5	"Число избирательных бюллетеней, выданных вне помещения"	89	29	0	19	0	0	13	27	1					
6	Число погашенных избирательных бюллетеней	809	157	144	167	110	65	58	61	47					
7	Число избирательных бюллетеней в переносных ящиках	89	29	0	19	0	0	13	27	1					
8	Число бюллетеней в стационарных ящиках для голосования	11372	2049	1912	2220	2081	746	890	862	612					
9	Число недействительных избирательных бюллетеней	33	8	10	0	9	3	0	3	0					
10	Число действительных избирательных бюллетеней	11428	2070	1902	2239	2072	743	903	886	613					
11	Число полученных открепительных  удостоверений	250	40	40	40	40	20	25	25	20					
12	Число выданных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	250	40	40	40	40	20	25	25	20					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"															
18	. Глазьев Сергей Юрьевич	68	8	7	3	17	8	8	9	8					
		0.59%	0.38%	0.37%	0.13%	0.82%	1.07%	0.89%	1.01%	1.31%					
19	. Малышкин Олег Александрович	24	2	1	2	13	2	0	1	3					
		0.21%	0.10%	0.05%	0.09%	0.62%	0.27%	0.00%	0.11%	0.49%					
20	. Миронов Сергей Михайлович	18	0	0	5	4	0	4	4	1					
		0.16%	0.00%	0.00%	0.22%	0.19%	0.00%	0.44%	0.45%	0.16%					
21	. Путин Владимир Владимирович	10921	1974	1820	2149	1976	716	861	843	582					
		95.29%	95.00%	95.19%	95.98%	94.95%	95.98%	95.35%	94.83%	94.94%					
22	. Хакамада Ирина Муцуовна	43	0	2	10	24	0	4	1	2					
		0.38%	0.00%	0.10%	0.45%	1.15%	0.00%	0.44%	0.11%	0.33%					
23	. Харитонов Николай Михайлович	330	80	67	63	32	17	26	28	17					
		2.88%	3.85%	3.50%	2.81%	1.54%	2.28%	2.88%	3.15%	2.77%					
															
24	Против всех	24	6	5	7	6	0	0	0	0					
		0.21%	0.29%	0.26%	0.31%	0.29%	0.00%	0.00%	0.00%	0.00%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
