Выборы Президента Российской Федерации																												
																												
Наименование Избирательной комиссии:    Смидовичская																												
																												
Итоги голосования 																												
																												
		Сумма	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89					
1	"Число избирателей, внесенных в список"	19220	509	297	1406	1355	1312	654	695	842	1593	142	590	847	1045	1318	1416	1443	516	1166	1317	99	658					
2	Число полученных избирательных бюллетеней	19547	540	297	1500	1376	1256	652	713	861	1613	146	603	869	1058	1302	1473	1425	531	1222	1353	99	658					
3	"Число избирательных бюллетеней, выданных  досрочно"	95	0	0	0	59	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	13154	340	271	965	805	911	515	550	531	1025	135	511	640	686	892	1050	769	447	675	774	94	568					
5	"Число избирательных бюллетеней, выданных вне помещения"	1784	73	24	130	158	161	23	49	125	127	6	23	22	91	62	126	140	40	187	154	0	63					
6	Число погашенных избирательных бюллетеней	4514	127	2	405	354	184	114	114	205	461	5	69	171	281	348	297	516	44	360	425	5	27					
7	Число избирательных бюллетеней в переносных ящиках	1879	73	24	130	217	161	23	49	125	127	6	23	58	91	62	126	140	40	187	154	0	63					
8	Число бюллетеней в стационарных ящиках для голосования	13151	340	271	965	805	911	515	550	531	1025	135	511	640	686	892	1050	769	447	675	771	94	568					
9	Число недействительных избирательных бюллетеней	172	4	4	22	6	0	0	2	24	15	0	16	15	1	7	0	9	13	11	13	1	9					
10	Число действительных избирательных бюллетеней	14858	409	291	1073	1016	1072	538	597	632	1137	141	518	683	776	947	1176	900	474	851	912	93	622					
11	Число полученных открепительных  удостоверений	585	35	15	30	20	25	15	15	15	20	15	15	15	30	40	30	30	30	75	45	30	40					
12	Число выданных открепительных удостоверений	367	33	0	7	7	7	10	15	13	12	0	6	15	22	30	28	24	14	71	24	9	20					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	148	7	4	4	8	10	2	2	19	12	2	0	4	3	9	4	4	3	15	14	10	12					
14	Число неиспользованных открепительных удостоверений	218	2	15	23	13	18	5	0	2	8	15	9	0	8	10	2	6	16	4	21	21	20					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																												
18	. Глазьев Сергей Юрьевич	506	9	4	24	34	38	8	18	23	48	7	21	7	44	27	40	36	9	34	46	3	26					
		3.37%	2.18%	1.36%	2.19%	3.33%	3.54%	1.49%	3.01%	3.51%	4.17%	4.96%	3.93%	1.00%	5.66%	2.83%	3.40%	3.96%	1.85%	3.94%	4.97%	3.19%	4.12%					
19	. Малышкин Олег Александрович	623	16	8	39	32	52	31	29	53	71	1	24	14	36	37	34	27	25	39	38	0	17					
		4.15%	3.87%	2.71%	3.56%	3.13%	4.85%	5.76%	4.84%	8.08%	6.16%	0.71%	4.49%	2.01%	4.63%	3.88%	2.89%	2.97%	5.13%	4.52%	4.11%	0.00%	2.69%					
20	. Миронов Сергей Михайлович	124	5	2	9	10	13	5	6	10	10	1	2	1	10	4	7	9	3	9	4	0	4					
		0.83%	1.21%	0.68%	0.82%	0.98%	1.21%	0.93%	1.00%	1.52%	0.87%	0.71%	0.37%	0.14%	1.29%	0.42%	0.60%	0.99%	0.62%	1.04%	0.43%	0.00%	0.63%					
21	. Путин Владимир Владимирович	10953	292	234	750	700	727	415	453	441	822	107	383	587	546	718	919	607	383	590	658	80	541					
		72.87%	70.70%	79.32%	68.49%	68.49%	67.82%	77.14%	75.63%	67.23%	71.35%	75.89%	71.72%	84.10%	70.27%	75.26%	78.15%	66.78%	78.64%	68.45%	71.14%	85.11%	85.74%					
22	. Хакамада Ирина Муцуовна	363	10	4	36	39	37	16	6	11	19	1	9	17	23	27	18	15	8	35	21	4	7					
		2.42%	2.42%	1.36%	3.29%	3.82%	3.45%	2.97%	1.00%	1.68%	1.65%	0.71%	1.69%	2.44%	2.96%	2.83%	1.53%	1.65%	1.64%	4.06%	2.27%	4.26%	1.11%					
23	. Харитонов Николай Михайлович	1825	62	38	158	147	182	47	71	77	132	13	65	38	88	109	137	183	38	112	103	1	24					
		12.14%	15.01%	12.88%	14.43%	14.38%	16.98%	8.74%	11.85%	11.74%	11.46%	9.22%	12.17%	5.44%	11.33%	11.43%	11.65%	20.13%	7.80%	12.99%	11.14%	1.06%	3.80%					
																												
24	Против всех	464	15	1	57	54	23	16	14	17	35	11	14	19	29	25	21	23	8	32	42	5	3					
		3.09%	3.63%	0.34%	5.21%	5.28%	2.15%	2.97%	2.34%	2.59%	3.04%	7.80%	2.62%	2.72%	3.73%	2.62%	1.79%	2.53%	1.64%	3.71%	4.54%	5.32%	0.48%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
