Выборы Президента Российской Федерации																																														
																																														
Наименование Избирательной комиссии:    Икрянинская																																														
																																														
Итоги голосования 																																														
																																														
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165					
1	"Число избирателей, внесенных в список"	36898	1324	2214	2282	2617	324	1909	405	388	3135	2741	2267	125	660	149	458	225	303	601	348	310	284	2005	198	559	592	314	926	1091	575	784	837	453	1519	128	729	559	1291	837	432					
2	Число полученных избирательных бюллетеней	37110	1346	2269	2173	2615	337	1931	386	392	2968	2643	2254	114	680	157	461	220	309	617	372	310	287	2070	197	563	599	317	955	1096	625	841	844	491	1578	137	733	574	1342	872	435					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	19367	716	1097	909	1349	147	836	287	274	1545	1437	948	83	449	99	316	184	159	313	228	221	172	943	146	327	314	189	412	600	285	396	550	219	801	92	406	333	771	555	259					
5	"Число избирательных бюллетеней, выданных вне помещения"	1994	107	122	89	45	46	150	8	22	72	100	52	12	51	3	19	11	34	48	46	36	17	44	12	26	36	9	68	29	46	36	59	78	130	25	55	72	82	45	52					
6	Число погашенных избирательных бюллетеней	15749	523	1050	1175	1221	144	945	91	96	1351	1106	1254	19	180	55	126	25	116	256	98	53	98	1083	39	210	249	119	475	467	294	409	235	194	647	20	272	169	489	272	124					
7	Число избирательных бюллетеней в переносных ящиках	1994	107	122	89	45	46	150	8	22	72	100	52	12	51	3	19	11	34	48	46	36	17	44	12	26	36	9	68	29	46	36	59	78	130	25	55	72	82	45	52					
8	Число бюллетеней в стационарных ящиках для голосования	19366	716	1097	909	1349	147	836	287	274	1545	1437	948	83	448	99	316	184	159	313	228	221	172	943	146	327	314	189	412	600	285	396	550	219	801	92	406	333	771	555	259					
9	Число недействительных избирательных бюллетеней	242	7	24	12	18	1	5	0	8	12	10	1	4	4	0	7	0	2	2	3	6	3	12	1	0	5	4	3	7	3	14	8	1	24	1	8	3	11	3	5					
10	Число действительных избирательных бюллетеней	21118	816	1195	986	1376	192	981	295	288	1605	1527	999	91	495	102	328	195	191	359	271	251	186	975	157	353	345	194	477	622	328	418	601	296	907	116	453	402	842	597	306					
