Выборы Президента Российской Федерации																																																						
																																																						
Наименование Избирательной комиссии:    Акушинская																																																						
																																																						
Итоги голосования 																																																						
																																																						
		Сумма	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64					
1	"Число избирателей, внесенных в список"	28147	1029	274	935	372	699	546	1401	626	910	960	914	379	781	125	339	179	981	183	640	237	343	182	215	106	393	170	455	694	1649	169	438	1127	260	540	912	796	522	788	1146	564	837	911	273	442	1306	227	172					
2	Число полученных избирательных бюллетеней	28147	1029	274	935	372	699	546	1401	626	910	960	914	379	781	125	339	179	981	183	640	237	343	182	215	106	393	170	455	694	1649	169	438	1127	260	540	912	796	522	788	1146	564	837	911	273	442	1306	227	172					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	25603	935	249	846	338	658	500	1263	566	870	917	826	343	705	114	307	158	886	165	510	222	312	154	183	97	356	134	409	625	1492	158	425	985	259	489	829	722	471	708	1035	508	762	886	246	438	1178	210	154					
5	"Число избирательных бюллетеней, выданных вне помещения"	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	14	13	0	0	19	0	0	0	0	0	30	0	0	37	34	0	0	0	0	0	0	0	4	0	0	0					
6	Число погашенных избирательных бюллетеней	2323	94	25	89	34	41	46	138	60	40	43	88	36	76	11	32	21	95	18	60	15	31	14	19	9	37	17	46	69	157	11	13	112	1	51	46	40	51	80	111	56	75	25	27	0	128	17	18					
7	Число избирательных бюллетеней в переносных ящиках	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	0	0	14	13	0	0	19	0	0	0	0	0	30	0	0	37	34	0	0	0	0	0	0	0	4	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	25603	935	249	846	338	658	500	1263	566	870	917	826	343	705	114	307	158	886	165	510	222	312	154	183	97	356	134	409	625	1492	158	425	985	259	489	829	722	471	708	1035	508	762	886	246	438	1178	210	154					
9	Число недействительных избирательных бюллетеней	58	1	2	0	0	4	0	4	0	0	0	2	0	0	0	3	0	2	0	4	0	0	0	0	0	0	3	0	3	4	0	0	0	0	0	7	3	0	3	13	0	0	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	25766	934	247	846	338	654	500	1259	566	870	917	824	343	705	114	304	158	884	165	576	222	312	168	196	97	356	150	409	622	1488	158	425	1015	259	489	859	753	471	705	1022	508	762	886	246	442	1178	210	154					
