Выборы Президента Российской Федерации																	
																	
Наименование Избирательной комиссии:    Барун-Хемчикская																	
																	
Итоги голосования 																	
																	
		Сумма	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54					
1	"Число избирателей, внесенных в список"	6655	814	1694	483	293	412	362	739	282	649	927					
2	Число полученных избирательных бюллетеней	6670	810	1653	447	318	416	371	744	280	697	934					
3	"Число избирательных бюллетеней, выданных  досрочно"	493	0	0	47	14	94	167	32	0	105	34					
4	"Число избирательных бюллетеней, выданных в день голосования"	4306	442	962	358	239	287	168	538	237	391	684					
5	"Число избирательных бюллетеней, выданных вне помещения"	190	18	74	10	5	4	0	15	29	15	20					
6	Число погашенных избирательных бюллетеней	1681	350	617	32	60	31	36	159	14	186	196					
7	Число избирательных бюллетеней в переносных ящиках	683	18	74	57	19	98	167	47	29	120	54					
8	Число бюллетеней в стационарных ящиках для голосования	4304	442	962	358	239	287	168	537	237	390	684					
9	Число недействительных избирательных бюллетеней	64	1	26	2	2	3	0	11	1	2	16					
10	Число действительных избирательных бюллетеней	4923	459	1010	413	256	382	335	573	265	508	722					
11	Число полученных открепительных  удостоверений	138	14	14	14	13	14	14	14	13	14	14					
12	Число выданных открепительных удостоверений	28	1	7	2	1	0	0	3	0	9	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	2	4	1	2	0	1	5	1	0	0					
14	Число неиспользованных открепительных удостоверений	110	13	7	12	12	14	14	11	13	5	9					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																	
18	. Глазьев Сергей Юрьевич	16	5	3	0	1	3	0	0	0	3	1					
		0.32%	1.09%	0.29%	0.00%	0.39%	0.78%	0.00%	0.00%	0.00%	0.59%	0.14%					
19	. Малышкин Олег Александрович	11	1	1	0	0	1	0	2	1	0	5					
		0.22%	0.22%	0.10%	0.00%	0.00%	0.26%	0.00%	0.34%	0.38%	0.00%	0.68%					
20	. Миронов Сергей Михайлович	11	0	3	0	1	0	1	1	1	1	3					
		0.22%	0.00%	0.29%	0.00%	0.39%	0.00%	0.30%	0.17%	0.38%	0.20%	0.41%					
21	. Путин Владимир Владимирович	4703	429	935	401	251	369	332	557	255	487	687					
		94.31%	93.26%	90.25%	96.63%	97.29%	95.84%	99.10%	95.38%	95.86%	95.49%	93.09%					
22	. Хакамада Ирина Муцуовна	42	2	16	2	0	1	0	4	1	6	10					
		0.84%	0.43%	1.54%	0.48%	0.00%	0.26%	0.00%	0.68%	0.38%	1.18%	1.36%					
23	. Харитонов Николай Михайлович	122	20	44	7	2	8	2	9	6	11	13					
		2.45%	4.35%	4.25%	1.69%	0.78%	2.08%	0.60%	1.54%	2.26%	2.16%	1.76%					
																	
24	Против всех	18	2	8	3	1	0	0	0	1	0	3					
		0.36%	0.43%	0.77%	0.72%	0.39%	0.00%	0.00%	0.00%	0.38%	0.00%	0.41%					
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
