Выборы Президента Российской Федерации																																																												
																																																												
"Наименование Избирательной комиссии:    Воронеж, Железнодорожная"																																																												
																																																												
Итоги голосования 																																																												
																																																												
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948	УИК №949	УИК №950	УИК №951	УИК №952	УИК №953					
1	"Число избирателей, внесенных в список"	103584	2195	1276	1913	1982	2198	2050	2028	2152	1668	2286	2068	2318	1708	2072	2058	2107	2083	1627	1854	1731	2089	2064	1969	1888	1654	1987	2027	1734	1899	1856	1715	1997	2115	2032	2252	2160	2205	1713	1890	1907	2546	2472	2187	2457	2172	2239	2616	2435	1191	1118	1347	1614	663					
2	Число полученных избирательных бюллетеней	96000	2000	1200	1800	1800	2000	1900	1900	2000	1500	2100	1900	2200	1600	1900	1900	2000	1900	1500	1700	1600	1900	1900	1800	1800	1500	1800	1900	1600	1700	1700	1600	1800	2000	1800	2100	2000	2100	1600	1800	1800	2400	2300	2000	2300	2000	2100	2500	2200	1100	1100	1300	1500	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	51364	994	486	830	971	1406	1135	1102	1101	1087	1278	1519	1158	972	1119	1308	1188	1065	965	1060	990	1122	1124	1089	1088	902	908	974	755	844	1017	935	1046	1129	1015	1196	1066	1055	753	826	853	1020	976	1149	831	828	882	998	1011	381	394	552	583	328					
5	"Число избирательных бюллетеней, выданных вне помещения"	2049	37	18	33	29	33	13	14	30	61	27	31	22	20	13	11	15	10	19	16	29	14	15	15	20	19	32	24	18	50	13	17	14	18	10	21	34	16	42	47	61	55	44	9	168	114	108	121	66	119	47	98	104	15					
6	Число погашенных избирательных бюллетеней	42587	969	696	937	800	561	752	784	869	352	795	350	1020	608	768	581	797	825	516	624	581	764	761	696	692	579	860	902	827	806	670	648	740	853	775	883	900	1029	805	927	886	1325	1280	842	1301	1058	1110	1381	1123	600	659	650	813	257					
7	Число избирательных бюллетеней в переносных ящиках	2049	37	18	33	29	33	13	14	30	61	27	31	22	20	13	11	15	10	19	16	29	14	15	15	20	19	32	24	18	50	13	17	14	18	10	21	34	16	42	47	61	55	44	9	168	114	108	121	66	119	47	98	104	15					
8	Число бюллетеней в стационарных ящиках для голосования	51337	994	486	830	971	1406	1135	1102	1101	1087	1278	1507	1158	969	1119	1308	1188	1065	964	1059	989	1118	1124	1088	1088	902	907	974	755	844	1017	935	1046	1129	1014	1195	1066	1054	753	826	853	1020	976	1149	831	828	882	998	1011	381	394	552	583	328					
9	Число недействительных избирательных бюллетеней	317	5	2	6	5	4	5	1	7	4	5	8	6	4	5	3	11	9	5	10	11	2	5	4	8	4	4	16	1	3	2	7	17	9	8	9	6	7	5	8	7	4	3	6	16	5	7	5	10	2	4	3	1	3					
10	Число действительных избирательных бюллетеней	53069	1026	502	857	995	1435	1143	1115	1124	1144	1300	1530	1174	985	1127	1316	1192	1066	978	1065	1007	1130	1134	1099	1100	917	935	982	772	891	1028	945	1043	1138	1016	1207	1094	1063	790	865	907	1071	1017	1152	983	937	983	1114	1067	498	437	647	686	340					
