Выборы Президента Российской Федерации								
								
Наименование Избирательной комиссии:    Солнечная поселковая								
								
Итоги голосования 								
								
		Сумма	УИК  962					
1	"Число избирателей, внесенных в список"	1705	1705					
2	Число полученных избирательных бюллетеней	1750	1750					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	933	933					
5	"Число избирательных бюллетеней, выданных вне помещения"	24	24					
6	Число погашенных избирательных бюллетеней	793	793					
7	Число избирательных бюллетеней в переносных ящиках	24	24					
8	Число бюллетеней в стационарных ящиках для голосования	933	933					
9	Число недействительных избирательных бюллетеней	6	6					
10	Число действительных избирательных бюллетеней	951	951					
11	Число полученных открепительных  удостоверений	97	97					
12	Число выданных открепительных удостоверений	12	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	4	4					
14	Число неиспользованных открепительных удостоверений	85	85					
15	"Число открепительных удостоверений, выданных в ТИК"	3	3					
16	Число утраченных избирательных бюллетеней	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0					
"Число голосов избирателей, поданных за каждый список"								
18	. Глазьев Сергей Юрьевич	62	62					
		6.48%	6.48%					
19	. Малышкин Олег Александрович	10	10					
		1.04%	1.04%					
20	. Миронов Сергей Михайлович	6	6					
		0.63%	0.63%					
21	. Путин Владимир Владимирович	634	634					
		66.25%	66.25%					
22	. Хакамада Ирина Муцуовна	42	42					
		4.39%	4.39%					
23	. Харитонов Николай Михайлович	128	128					
		13.38%	13.38%					
								
24	Против всех	69	69					
		7.21%	7.21%					
								
								
								
								
								
								
								
								
								
								
								
								
								
								
								
