Выборы Президента Российской Федерации																																													
																																													
"Наименование Избирательной комиссии:    Орск, Октябрьская"																																													
																																													
Итоги голосования 																																													
																																													
		Сумма	УИК №1215	УИК №1216	УИК №1217	УИК №1218	УИК №1219	УИК №1220	УИК №1221	УИК №1222	УИК №1223	УИК №1224	УИК №1225	УИК №1226	УИК №1227	УИК №1228	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233	УИК №1234	УИК №1235	УИК №1236	УИК №1237	УИК №1238	УИК №1239	УИК №1240	УИК №1241	УИК №1242	УИК №1243	УИК №1244	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252					
1	"Число избирателей, внесенных в список"	78276	2885	387	280	1046	2379	2161	1863	2394	1682	1967	1965	1535	1540	2191	2637	1972	1453	1830	2769	1042	1415	1996	1672	2260	2690	2458	2448	2599	2600	2869	2755	2346	2273	2549	3022	2806	460	3080					
2	Число полученных избирательных бюллетеней	78794	2900	380	284	1050	2400	2100	1900	2400	1700	2000	1910	1500	1570	2200	2600	1900	1450	1800	2800	1080	1300	2000	1700	2300	3000	2500	2500	2710	2600	2990	2800	2400	2300	2500	3000	2800	470	3000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	38037	1163	273	151	442	1060	971	834	1042	853	1015	963	734	744	1156	1298	886	545	988	1369	459	598	802	673	1122	1449	1396	1238	1322	1226	1466	1334	982	1122	1114	1819	1613	244	1571					
5	"Число избирательных бюллетеней, выданных вне помещения"	1338	25	0	9	16	26	62	47	42	27	69	64	50	41	42	43	28	48	32	40	26	43	57	63	17	36	19	26	33	27	33	94	36	27	31	16	5	9	29					
6	Число погашенных избирательных бюллетеней	39419	1712	107	124	592	1314	1067	1019	1316	820	916	883	716	785	1002	1259	986	857	780	1391	595	659	1141	964	1161	1515	1085	1236	1355	1347	1491	1372	1382	1151	1355	1165	1182	217	1400					
7	Число избирательных бюллетеней в переносных ящиках	1338	25	0	9	16	26	62	47	42	27	69	64	50	41	42	43	28	48	32	40	26	43	57	63	17	36	19	26	33	27	33	94	36	27	31	16	5	9	29					
8	Число бюллетеней в стационарных ящиках для голосования	37982	1163	273	151	442	1014	971	834	1042	853	1015	963	734	744	1156	1298	886	545	988	1369	459	598	802	673	1116	1449	1396	1238	1322	1226	1466	1334	979	1122	1114	1819	1613	244	1571					
9	Число недействительных избирательных бюллетеней	500	11	8	6	8	12	13	6	9	11	8	12	4	8	0	7	17	6	7	36	8	2	6	9	7	24	9	12	6	16	94	17	11	17	11	18	9	4	31					
10	Число действительных избирательных бюллетеней	38820	1177	265	154	450	1028	1020	875	1075	869	1076	1015	780	777	1198	1334	897	587	1013	1373	477	639	853	727	1126	1461	1406	1252	1349	1237	1405	1411	1004	1132	1134	1817	1609	249	1569					
