Выборы Президента Российской Федерации																																															
																																															
Наименование Избирательной комиссии:    Жуковская 																																															
																																															
Итоги голосования 																																															
																																															
		Сумма	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422					
1	"Число избирателей, внесенных в список"	29953	2324	1962	1567	1902	760	1000	1284	2164	256	1989	410	636	396	104	321	543	331	500	117	269	192	71	741	801	79	1258	535	101	330	572	679	659	320	1513	386	159	1066	629	714	313					
2	Число полученных избирательных бюллетеней	31080	2340	2040	1640	2010	770	930	1360	2230	310	2030	410	660	380	110	320	560	330	550	120	280	180	70	830	830	80	1320	550	110	360	590	730	700	340	1520	410	170	1310	580	700	320					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	20469	1533	1368	873	1191	442	591	791	1302	196	1483	368	486	328	70	236	384	200	384	94	226	126	68	531	465	55	1021	354	59	241	322	515	328	239	1349	360	136	659	383	452	260					
5	"Число избирательных бюллетеней, выданных вне помещения"	3047	91	78	191	122	126	121	107	235	51	156	0	91	38	16	12	44	63	60	19	26	26	0	109	88	5	146	64	21	56	165	77	160	42	21	22	0	169	132	67	30					
6	Число погашенных избирательных бюллетеней	7564	716	594	576	697	202	218	462	693	63	391	42	83	14	24	72	132	67	106	7	28	28	2	190	277	20	153	132	30	63	103	138	212	59	150	28	34	482	65	181	30					
7	Число избирательных бюллетеней в переносных ящиках	3043	91	78	191	122	126	121	107	231	51	156	0	91	38	16	12	44	63	60	19	26	26	0	109	88	5	146	64	21	56	165	77	160	42	21	22	0	169	132	67	30					
8	Число бюллетеней в стационарных ящиках для голосования	20372	1442	1368	873	1191	442	589	791	1302	196	1483	368	486	328	70	236	384	200	384	94	226	126	68	531	465	55	1021	354	59	241	322	515	328	239	1349	360	136	655	383	452	260					
9	Число недействительных избирательных бюллетеней	181	14	10	15	11	3	9	9	12	3	5	1	6	0	1	5	0	2	8	0	0	3	0	11	1	0	9	2	0	0	5	6	7	2	0	0	0	6	10	4	1					
10	Число действительных избирательных бюллетеней	23234	1519	1436	1049	1302	565	701	889	1521	244	1634	367	571	366	85	243	428	261	436	113	252	149	68	629	552	60	1158	416	80	297	482	586	481	279	1370	382	136	818	505	515	289					
11	Число полученных открепительных  удостоверений	887	33	66	25	38	12	26	26	33	0	40	2	35	0	5	15	17	7	40	8	5	5	5	55	30	5	29	22	6	45	35	50	24	10	79	11	0	20	10	12	1					
12	Число выданных открепительных удостоверений	852	33	66	21	38	11	25	26	33	0	40	2	31	0	5	15	17	7	40	8	4	1	5	55	28	5	29	22	6	45	35	50	24	10	70	6	0	17	10	11	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	437	30	25	17	18	13	17	8	16	2	10	3	17	7	4	4	4	6	8	6	4	5	4	9	6	4	17	12	0	8	7	11	4	0	8	2	0	102	6	10	3					
14	Число неиспользованных открепительных удостоверений	35	0	0	4	0	1	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0	0	0	0	0	0	0	9	5	0	3	0	1	0					
