Выборы Президента Российской Федерации																																		
																																		
Наименование Избирательной комиссии:    Зареченская городская																																		
																																		
Итоги голосования 																																		
																																		
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27					
1	"Число избирателей, внесенных в список"	51673	2379	2107	2240	2310	2134	943	1873	2148	2050	2119	2033	2226	2112	2243	2209	2133	1931	1990	2005	1934	2255	2011	1965	1883	613	870	957					
2	Число полученных избирательных бюллетеней	51080	2300	2100	2250	2250	2150	900	1850	2150	2000	2100	2000	2200	2100	2250	2200	2100	1950	2000	2000	1900	2250	2000	1900	1850	600	850	880					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	30057	1367	1269	1262	1428	1377	516	1101	1251	1184	1302	1147	1331	1101	1249	1251	1231	1101	1159	1078	1119	1393	1206	1158	1029	335	404	708					
5	"Число избирательных бюллетеней, выданных вне помещения"	628	13	30	18	30	30	3	19	30	23	40	29	20	5	14	23	18	17	24	9	23	38	28	20	22	20	48	34					
6	Число погашенных избирательных бюллетеней	20395	920	801	970	792	743	381	730	869	793	758	824	849	994	987	926	851	832	817	913	758	819	766	722	799	245	398	138					
7	Число избирательных бюллетеней в переносных ящиках	628	13	30	18	30	30	3	19	30	23	40	29	20	5	14	23	18	17	24	9	23	38	28	20	22	20	48	34					
8	Число бюллетеней в стационарных ящиках для голосования	30047	1367	1269	1261	1428	1375	516	1101	1251	1184	1302	1147	1331	1096	1249	1251	1231	1100	1159	1078	1119	1393	1206	1157	1029	335	404	708					
9	Число недействительных избирательных бюллетеней	199	8	8	9	13	3	4	10	10	6	9	8	9	5	4	13	5	15	4	5	10	3	16	5	7	3	3	4					
10	Число действительных избирательных бюллетеней	30476	1372	1291	1270	1445	1402	515	1110	1271	1201	1333	1168	1342	1096	1259	1261	1244	1102	1179	1082	1132	1428	1218	1172	1044	352	449	738					
11	Число полученных открепительных  удостоверений	606	30	25	25	25	25	15	20	25	25	25	25	25	25	25	25	25	26	20	25	20	25	25	25	20	10	10	10					
12	Число выданных открепительных удостоверений	353	11	18	21	13	20	6	17	14	15	19	16	7	12	22	16	14	23	10	8	12	19	15	7	12	2	2	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	114	9	3	7	3	3	7	2	2	6	6	4	1	3	4	1	3	6	4	0	7	2	4	3	3	1	3	17					
14	Число неиспользованных открепительных удостоверений	253	19	7	4	12	5	9	3	11	10	6	9	18	13	3	9	11	3	10	17	8	6	10	18	8	8	8	8					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0					
