Выборы Президента Российской Федерации																													
																													
Наименование Избирательной комиссии:    Казачинская																													
																													
Итоги голосования 																													
																													
		Сумма	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351					
1	"Число избирателей, внесенных в список"	9030	127	116	353	1053	108	339	108	184	2955	130	115	268	575	640	192	314	306	158	423	187	315	64					
2	Число полученных избирательных бюллетеней	9000	125	115	350	1060	108	340	105	184	2940	130	121	262	580	620	200	310	300	160	420	190	315	65					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	4709	85	73	202	453	90	246	67	105	1273	85	39	161	305	321	115	256	169	91	225	117	188	43					
5	"Число избирательных бюллетеней, выданных вне помещения"	425	0	0	6	39	4	23	4	17	124	7	36	0	23	31	26	0	31	6	22	0	26	0					
6	Число погашенных избирательных бюллетеней	3866	40	42	142	568	14	71	34	62	1543	38	46	101	252	268	59	54	100	63	173	73	101	22					
7	Число избирательных бюллетеней в переносных ящиках	425	0	0	6	39	4	23	4	17	124	7	36	0	23	31	26	0	31	6	22	0	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	4709	85	73	202	453	90	246	67	105	1273	85	39	161	305	321	115	256	169	91	225	117	188	43					
9	Число недействительных избирательных бюллетеней	30	0	1	1	0	2	1	0	0	3	3	0	0	2	5	0	5	0	3	0	1	3	0					
10	Число действительных избирательных бюллетеней	5104	85	72	207	492	92	268	71	122	1394	89	75	161	326	347	141	251	200	94	247	116	211	43					
11	Число полученных открепительных  удостоверений	120	3	4	7	12	5	6	3	5	15	3	3	5	7	5	5	5	3	5	7	5	4	3					
12	Число выданных открепительных удостоверений	31	0	0	5	1	0	0	0	0	9	0	2	0	4	4	0	4	0	0	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	24	0	1	0	1	0	1	0	0	10	0	1	0	3	3	1	0	1	0	0	0	1	1					
14	Число неиспользованных открепительных удостоверений	89	3	4	2	11	5	6	3	5	6	3	1	5	3	1	5	1	3	5	6	5	4	2					
15	"Число открепительных удостоверений, выданных в ТИК"	22	2	0	1	2	0	0	0	1	6	0	3	0	1	2	1	0	0	0	3	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																													
18	. Глазьев Сергей Юрьевич	614	11	7	23	46	19	21	3	17	253	2	5	10	29	46	15	27	18	11	32	5	13	1					
		11.96%	12.94%	9.59%	11.06%	9.35%	20.21%	7.81%	4.23%	13.93%	18.11%	2.17%	6.67%	6.21%	8.84%	13.07%	10.64%	10.55%	9.00%	11.34%	12.96%	4.27%	6.07%	2.33%					
19	. Малышкин Олег Александрович	134	3	0	6	21	2	7	0	10	22	7	1	5	8	11	6	3	3	3	9	0	3	4					
		2.61%	3.53%	0.00%	2.88%	4.27%	2.13%	2.60%	0.00%	8.20%	1.57%	7.61%	1.33%	3.11%	2.44%	3.12%	4.26%	1.17%	1.50%	3.09%	3.64%	0.00%	1.40%	9.30%					
20	. Миронов Сергей Михайлович	37	2	0	0	3	0	0	2	4	7	2	0	1	2	1	6	0	4	1	1	0	0	1					
		0.72%	2.35%	0.00%	0.00%	0.61%	0.00%	0.00%	2.82%	3.28%	0.50%	2.17%	0.00%	0.62%	0.61%	0.28%	4.26%	0.00%	2.00%	1.03%	0.40%	0.00%	0.00%	2.33%					
21	. Путин Владимир Владимирович	3219	45	47	146	333	49	193	54	68	771	51	65	106	239	238	88	136	126	60	141	90	139	34					
		62.70%	52.94%	64.38%	70.19%	67.68%	52.13%	71.75%	76.06%	55.74%	55.19%	55.43%	86.67%	65.84%	72.87%	67.61%	62.41%	53.12%	63.00%	61.86%	57.09%	76.92%	64.95%	79.07%					
22	. Хакамада Ирина Муцуовна	119	2	0	0	17	2	6	3	1	53	3	0	2	5	4	0	2	3	2	6	1	7	0					
		2.32%	2.35%	0.00%	0.00%	3.46%	2.13%	2.23%	4.23%	0.82%	3.79%	3.26%	0.00%	1.24%	1.52%	1.14%	0.00%	0.78%	1.50%	2.06%	2.43%	0.85%	3.27%	0.00%					
23	. Харитонов Николай Михайлович	891	20	15	30	58	20	38	7	21	253	22	4	37	40	37	23	81	43	16	56	20	47	3					
		17.35%	23.53%	20.55%	14.42%	11.79%	21.28%	14.13%	9.86%	17.21%	18.11%	23.91%	5.33%	22.98%	12.20%	10.51%	16.31%	31.64%	21.50%	16.49%	22.67%	17.09%	21.96%	6.98%					
																													
24	Против всех	90	2	3	2	14	0	3	2	1	35	2	0	0	3	10	3	2	3	1	2	0	2	0					
		1.75%	2.35%	4.11%	0.96%	2.85%	0.00%	1.12%	2.82%	0.82%	2.51%	2.17%	0.00%	0.00%	0.91%	2.84%	2.13%	0.78%	1.50%	1.03%	0.81%	0.00%	0.93%	0.00%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
