Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Район Куркино										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК  2686	УИК  2687	УИК  3192					
1	"Число избирателей, внесенных в списки"	2724	1320	1052	352					
2	"Число бюллетеней, полученных участковыми комиссиями"	2330	1030	900	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1829	890	806	133					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	281	64	6	211					
6	Число погашенных бюллетеней	220	76	88	56					
7	Число бюллетеней в переносных ящиках для голосования	281	64	6	211					
8	Число бюллетеней в стационарных ящиках для голосования	1829	890	806	133					
9	Число недействительных бюллетеней	19	7	7	5					
10	Число действительных бюллетеней	2091	947	805	339					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	70	40	30	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	38	22	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	61	24	17	20					
14	Число погашенных открепительных удостоверений	10	2	8	0					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	25	10	11	4					
		1.18%	1.04%	1.35%	1.16%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	184	70	104	10					
		8.72%	7.33%	12.80%	2.90%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	41	13	12	16					
		1.94%	1.36%	1.47%	4.65%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	179	77	81	21					
		8.48%	8.07%	9.97%	6.10%					
22	"5. ""За Русь Святую"""	7	3	3	1					
		0.33%	0.31%	0.36%	0.29%					
23	"6. ""Объединенная Российская партия ""Русь"""	8	3	4	1					
		0.37%	0.31%	0.49%	0.29%					
24	"7. ""Новый курс - Автомобильная Россия"""	27	12	14	1					
		1.27%	1.25%	1.72%	0.29%					
25	"8. ""Народно-республиканская партия России"""	4	3	1	0					
		0.18%	0.31%	0.12%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	4	11	0					
		0.71%	0.41%	1.35%	0.0%					
27	"10. ""Аграрная партия России"""	22	9	10	3					
		1.04%	0.94%	1.23%	0.87%					
28	"11. ""Истинные патриоты России"""	2	0	2	0					
		0.09%	0.0%	0.24%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	24	13	7	4					
		1.13%	1.36%	0.86%	1.16%					
30	"13. ""Демократическая партия России"""	7	2	3	2					
		0.33%	0.20%	0.36%	0.58%					
31	"14. ""Великая Россия - Евразийский Союз"""	5	1	3	1					
		0.23%	0.10%	0.36%	0.29%					
32	"15. ""Партия СЛОН"""	3	2	0	1					
		0.14%	0.20%	0.0%	0.29%					
33	"16. ""Родина"" (народно-патриотический союз)"""	215	93	110	12					
		10.18%	9.74%	13.54%	3.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	6	2	3	1					
		0.28%	0.20%	0.36%	0.29%					
35	"18. ""ЛДПР"""	176	108	31	37					
		8.34%	11.32%	3.81%	10.75%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	11	5	5	1					
		0.52%	0.52%	0.61%	0.29%					
37	"20. ""Политическая партия ""Единая Россия"""	849	379	285	185					
		40.23%	39.72%	35.09%	53.77%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	0	2	2					
		0.18%	0.0%	0.24%	0.58%					
39	"22. ""Развитие предпринимательства"""	3	3	0	0					
		0.14%	0.31%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	82	36	34	12					
		3.88%	3.77%	4.18%	3.48%					
										
41	Против всех	192	99	69	24					
		9.09%	10.37%	8.49%	6.97%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
