Выборы Президента Российской Федерации																																																	
																																																	
Наименование Избирательной комиссии:    Сергачская																																																	
																																																	
Итоги голосования 																																																	
																																																	
		Сумма	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161					
1	"Число избирателей, внесенных в список"	28078	1397	1334	1714	1572	1537	1504	1359	1345	1358	1489	1312	1617	1209	205	629	662	424	96	139	122	146	459	404	251	455	240	134	129	433	131	724	622	440	483	182	239	174	210	143	358	582	115					
2	Число полученных избирательных бюллетеней	27243	1400	1300	1800	1500	1400	1400	1400	1300	1300	1400	1300	1500	1100	200	600	650	400	107	142	128	157	450	400	250	450	230	142	132	400	131	700	600	440	450	155	240	175	220	149	350	550	145					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	14369	836	579	863	702	768	735	596	607	659	676	550	749	655	113	300	361	196	73	93	61	60	194	234	165	268	138	86	68	257	83	431	422	257	251	107	183	105	147	76	193	387	85					
5	"Число избирательных бюллетеней, выданных вне помещения"	2169	89	120	31	87	46	55	85	67	66	121	109	75	28	62	101	119	47	9	16	19	61	159	38	12	26	25	11	21	98	22	30	31	29	86	18	22	14	36	26	17	15	20					
6	Число погашенных избирательных бюллетеней	10705	475	601	906	711	586	610	719	626	575	603	641	676	417	25	199	170	157	25	33	48	36	97	128	73	156	67	45	43	45	26	239	147	154	113	30	35	56	37	47	140	148	40					
7	Число избирательных бюллетеней в переносных ящиках	2169	89	120	31	87	46	55	85	67	66	121	109	75	28	62	101	119	47	9	16	19	61	159	38	12	26	25	11	21	98	22	30	31	29	86	18	22	14	36	26	17	15	20					
8	Число бюллетеней в стационарных ящиках для голосования	14341	836	579	863	702	768	735	596	607	659	676	550	749	627	113	300	361	196	73	93	61	60	194	234	165	268	138	86	68	257	83	431	422	257	251	107	183	105	147	76	193	387	85					
9	Число недействительных избирательных бюллетеней	190	6	7	15	10	6	5	16	22	4	10	0	5	4	4	11	0	2	0	0	1	0	0	5	4	0	0	0	1	3	1	3	8	3	3	1	9	0	4	0	2	14	1					
10	Число действительных избирательных бюллетеней	16320	919	692	879	779	808	785	665	652	721	787	659	819	651	171	390	480	241	82	109	79	121	353	267	173	294	163	97	88	352	104	458	445	283	334	124	196	119	179	102	208	388	104					
11	Число полученных открепительных  удостоверений	408	15	15	15	15	15	15	15	15	15	15	15	15	15	5	10	10	10	5	5	5	5	10	10	5	10	5	5	5	10	5	10	10	10	10	5	13	5	5	5	5	10	5					
12	Число выданных открепительных удостоверений	99	7	5	6	2	9	1	6	8	3	0	1	7	3	2	0	0	1	0	0	1	0	0	6	0	2	0	0	0	0	0	2	8	4	1	0	13	0	0	0	1	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	75	3	2	1	3	1	10	1	14	3	4	1	7	2	2	3	0	2	0	0	0	0	2	0	0	1	0	0	1	1	3	1	2	0	1	0	3	0	1	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	309	8	10	9	13	6	14	9	7	12	15	14	8	12	3	10	10	9	5	5	4	5	10	4	5	8	5	5	5	10	5	8	2	6	9	5	0	5	5	5	4	10	5					
15	"Число открепительных удостоверений, выданных в ТИК"	41	1	1	2	6	10	4	1	0	1	0	3	2	4	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																	
18	. Глазьев Сергей Юрьевич	470	33	21	38	22	41	46	18	25	27	21	23	32	24	2	11	7	4	0	1	1	4	3	2	4	7	6	2	2	8	0	7	7	0	7	1	3	1	3	1	1	2	2					
		2.85%	3.57%	3.00%	4.25%	2.79%	5.04%	5.82%	2.64%	3.71%	3.72%	2.63%	3.49%	3.88%	3.66%	1.14%	2.74%	1.46%	1.65%	0.00%	0.92%	1.25%	3.31%	0.85%	0.74%	2.26%	2.38%	3.68%	2.06%	2.25%	2.25%	0.00%	1.52%	1.55%	0.00%	2.08%	0.80%	1.46%	0.84%	1.64%	0.98%	0.48%	0.50%	1.90%					
19	. Малышкин Олег Александрович	380	12	15	31	21	27	17	7	24	21	15	14	20	14	0	11	8	4	0	2	4	1	10	9	5	6	1	1	3	4	1	15	3	1	7	3	6	15	5	7	2	3	5					
		2.30%	1.30%	2.15%	3.47%	2.66%	3.32%	2.15%	1.03%	3.56%	2.90%	1.88%	2.12%	2.43%	2.14%	0.00%	2.74%	1.67%	1.65%	0.00%	1.83%	5.00%	0.83%	2.83%	3.31%	2.82%	2.04%	0.61%	1.03%	3.37%	1.13%	0.95%	3.25%	0.66%	0.35%	2.08%	2.40%	2.93%	12.61%	2.73%	6.86%	0.95%	0.75%	4.76%					
20	. Миронов Сергей Михайлович	131	5	8	11	4	6	4	8	10	8	5	10	7	6	0	9	3	1	0	0	0	0	0	0	6	1	0	2	0	0	3	2	0	0	0	1	3	1	1	0	1	3	2					
		0.79%	0.54%	1.14%	1.23%	0.51%	0.74%	0.51%	1.17%	1.48%	1.10%	0.63%	1.52%	0.85%	0.92%	0.00%	2.24%	0.62%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.39%	0.34%	0.00%	2.06%	0.00%	0.00%	2.86%	0.43%	0.00%	0.00%	0.00%	0.80%	1.46%	0.84%	0.55%	0.00%	0.48%	0.75%	1.90%					
21	. Путин Владимир Владимирович	10458	648	399	493	570	443	419	455	435	460	546	448	502	395	123	226	369	167	52	64	47	68	228	152	121	199	78	55	59	234	40	344	321	201	237	77	129	77	138	44	116	216	63					
		63.34%	70.05%	57.08%	55.15%	72.24%	54.42%	53.04%	66.81%	64.54%	63.45%	68.51%	67.98%	60.92%	60.31%	70.29%	56.36%	76.88%	68.72%	63.41%	58.72%	58.75%	56.20%	64.59%	55.88%	68.36%	67.69%	47.85%	56.70%	66.29%	65.92%	38.10%	74.62%	70.86%	70.28%	70.33%	61.60%	62.93%	64.71%	75.41%	43.14%	55.24%	53.73%	60.00%					
22	. Хакамада Ирина Муцуовна	273	17	17	16	21	19	11	5	20	18	15	10	18	15	1	7	2	4	0	0	0	1	4	7	2	1	2	0	1	3	1	4	4	7	6	3	2	2	2	1	0	3	1					
