Выборы Президента Российской Федерации																																																				
																																																				
"Наименование Избирательной комиссии:    Владимир, Фрунзенская"																																																				
																																																				
Итоги голосования 																																																				
																																																				
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464					
1	"Число избирателей, внесенных в список"	99929	1802	1550	1240	1111	2882	2124	2085	2910	2894	2141	2343	2250	2240	2300	2272	2340	2473	2321	2462	2127	2316	2137	2331	2652	2811	2545	2660	2671	2482	2105	1987	2127	2480	2364	2775	2472	2615	2602	2759	2772	2749	102	2670	260	618					
2	Число полученных избирательных бюллетеней	94313	1660	1520	1160	1000	2600	1980	1860	2750	2750	1870	2200	2200	2100	2200	2150	2200	2250	2200	2250	2050	2200	2050	2250	2500	2600	2400	2550	2550	2400	2000	1900	2050	2350	2250	2650	2400	2500	2500	2600	2600	2600	103	2500	260	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	53253	773	696	757	400	1558	1113	958	1551	1612	991	1146	1157	1202	1304	1264	1184	1348	1273	1515	1186	1295	1250	1339	1310	1542	1224	1435	1459	1376	1187	1034	1203	1342	1331	1447	1306	1458	1375	1408	1515	1482	62	1377	260	248					
5	"Число избирательных бюллетеней, выданных вне помещения"	2216	61	46	18	7	25	179	227	40	61	291	36	37	29	40	29	51	36	26	4	40	47	29	29	16	36	25	47	41	36	41	63	47	18	23	19	29	12	21	38	13	15	13	27	0	248					
6	Число погашенных избирательных бюллетеней	38844	826	778	385	593	1017	688	675	1159	1077	588	1018	1006	869	856	857	965	866	901	731	824	858	771	882	1174	1022	1151	1068	1050	988	772	803	800	990	896	1184	1065	1030	1104	1154	1072	1103	28	1096	0	104					
7	Число избирательных бюллетеней в переносных ящиках	2216	61	46	18	7	25	179	227	40	61	291	36	37	29	40	29	51	36	26	4	40	47	29	29	16	36	25	47	41	36	41	63	47	18	23	19	29	12	21	38	13	15	13	27	0	248					
8	Число бюллетеней в стационарных ящиках для голосования	53234	772	695	757	400	1558	1113	956	1550	1612	991	1146	1157	1202	1304	1264	1184	1348	1271	1515	1186	1294	1250	1338	1309	1542	1224	1435	1459	1375	1187	1034	1203	1342	1331	1447	1306	1458	1375	1407	1515	1475	62	1377	260	248					
9	Число недействительных избирательных бюллетеней	583	13	6	5	4	6	11	7	26	13	15	14	10	25	10	16	11	10	24	9	22	17	21	5	15	20	8	19	15	18	13	2	11	6	13	12	20	8	16	13	22	16	1	29	2	4					
10	Число действительных избирательных бюллетеней	54867	820	735	770	403	1577	1281	1176	1564	1660	1267	1168	1184	1206	1334	1277	1224	1374	1273	1510	1204	1324	1258	1362	1310	1558	1241	1463	1485	1393	1215	1095	1239	1354	1341	1454	1315	1462	1380	1432	1506	1474	74	1375	258	492					
11	Число полученных открепительных  удостоверений	905	20	20	20	20	20	20	20	20	40	20	20	20	20	20	20	20	20	20	20	30	30	20	20	20	20	20	20	30	30	20	20	20	20	20	20	20	20	20	20	20	20	5	20	0	0					
12	Число выданных открепительных удостоверений	636	9	16	7	6	18	16	20	15	33	8	11	13	18	19	19	17	19	10	16	20	24	13	18	19	14	13	15	27	20	14	13	8	13	11	16	16	14	9	9	14	16	0	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	692	48	12	12	14	16	53	24	13	7	15	8	3	10	17	10	9	18	6	22	15	10	17	14	14	13	9	14	13	12	14	10	7	15	19	8	7	21	7	6	11	10	2	7	64	36					
