Выборы Президента Российской Федерации													
													
Наименование Избирательной комиссии:    Губкинская городская													
													
Итоги голосования 													
													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6					
1	"Число избирателей, внесенных в список"	14656	2382	2791	2377	2371	2596	2139					
2	Число полученных избирательных бюллетеней	13850	2300	2600	2300	2200	2350	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	2563	0	530	0	883	1150	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9039	1848	1555	1815	1014	1079	1728					
5	"Число избирательных бюллетеней, выданных вне помещения"	92	3	80	6	1	0	2					
6	Число погашенных избирательных бюллетеней	2156	449	435	479	302	121	370					
7	Число избирательных бюллетеней в переносных ящиках	2654	3	610	6	883	1150	2					
8	Число бюллетеней в стационарных ящиках для голосования	9033	1845	1553	1815	1013	1079	1728					
9	Число недействительных избирательных бюллетеней	55	9	7	6	14	12	7					
10	Число действительных избирательных бюллетеней	11632	1839	2156	1815	1882	2217	1723					
11	Число полученных открепительных  удостоверений	240	40	40	40	40	40	40					
12	Число выданных открепительных удостоверений	55	17	8	5	7	2	16					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	10	11	5	1	5	0					
14	Число неиспользованных открепительных удостоверений	185	23	32	35	33	38	24					
15	"Число открепительных удостоверений, выданных в ТИК"	28	3	8	4	7	1	5					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"													
18	. Глазьев Сергей Юрьевич	63	9	11	13	9	13	8					
		0.54%	0.49%	0.51%	0.71%	0.47%	0.58%	0.46%					
19	. Малышкин Олег Александрович	72	11	13	11	11	16	10					
		0.62%	0.60%	0.60%	0.60%	0.58%	0.72%	0.58%					
20	. Миронов Сергей Михайлович	23	4	4	4	4	4	3					
		0.20%	0.22%	0.18%	0.22%	0.21%	0.18%	0.17%					
21	. Путин Владимир Владимирович	10530	1664	1943	1640	1710	2014	1559					
		90.10%	90.04%	89.83%	90.06%	90.19%	90.35%	90.12%					
22	. Хакамада Ирина Муцуовна	233	32	36	60	32	44	29					
		1.99%	1.73%	1.66%	3.29%	1.69%	1.97%	1.68%					
23	. Харитонов Николай Михайлович	424	74	85	41	76	80	68					
		3.63%	4.00%	3.93%	2.25%	4.01%	3.59%	3.93%					
													
24	Против всех	287	45	64	46	40	46	46					
		2.46%	2.44%	2.96%	2.53%	2.11%	2.06%	2.66%					
													
													
													
													
													
													
													
													
													
													
													
													
													
													
													
